latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
47.820661;7.304833;232.51;137.7;2;0;3800;0;155.23;9;real;
47.820769;7.304622;232.74;143.8;2;0;3800;0.02;155.21;;;
47.820875;7.304406;233.26;143.8;2;20;3780;0.04;155.19;;;
47.820972;7.304181;233.71;148.2;2;20;3780;0.06;155.17;;;
47.821072;7.303958;234.15;146.1;2;20;3780;0.08;155.15;;;
47.821169;7.303736;234.55;147.8;2;20;3780;0.1;155.13;;;
47.821272;7.303514;234.99;144.6;2;20;3780;0.12;155.11;;;
47.821497;7.3031;235.68;139.2;1;21;3779;0.16;155.07;;;
47.821631;7.302917;235.77;132.4;1;21;3779;0.18;155.05;;;
47.821769;7.30275;235.88;128.9;0;21;3779;0.2;155.03;;;
47.821919;7.3026;235.88;123.9;0;21;3779;0.22;155.01;;;
47.822072;7.302461;235.83;120;0;22;3778;0.24;154.99;;;
47.822233;7.302347;235.79;114;0;22;3778;0.26;154.97;10;;
47.822578;7.302183;235.63;105.2;0;22;3778;0.3;154.93;;;
47.82275;7.302108;235.11;105.7;0;22;3778;0.32;154.91;;;
47.822922;7.302033;235.7;105.7;0;22;3778;0.34;154.89;;;
47.823094;7.301961;235.75;105.7;0;22;3778;0.36;154.87;;;
47.823269;7.301892;235.63;105.4;0;22;3778;0.38;154.85;;;
47.823442;7.301819;235.61;106.1;0;22;3778;0.4;154.83;;;
47.823617;7.30175;235.63;104;0;22;3778;0.42;154.81;;;
47.823789;7.301678;235.68;105.7;0;22;3778;0.44;154.79;;;
47.823961;7.301608;235.67;105.7;0;22;3778;0.46;154.77;;;
47.824136;7.301539;235.7;104.4;0;22;3778;0.48;154.75;;;
47.824308;7.301467;235.8;105.7;0;22;3778;0.5;154.73;;;
47.824483;7.301394;235.87;106.1;0;22;3778;0.52;154.71;;;
47.824656;7.301322;235.82;105.5;0;22;3778;0.54;154.69;;;
47.825178;7.301125;235.91;101;0;22;3778;0.6;154.63;;;
47.825356;7.301075;236.04;99.4;0;22;3778;0.62;154.61;;;
47.825533;7.301031;236.2;99.4;0;22;3778;0.64;154.59;;;
47.825711;7.301003;236.32;94.7;0;22;3778;0.66;154.57;;;
47.825892;7.300989;236.27;93.3;0;22;3778;0.68;154.55;;;
47.826069;7.300978;236.27;92.2;0;22;3778;0.7;154.53;;;
47.82625;7.300972;236.28;90;0;22;3778;0.72;154.51;;;
47.826431;7.300978;236.25;88.7;0;22;3778;0.74;154.49;;;
47.826611;7.300981;236.18;90;0;22;3778;0.76;154.47;;;
47.826789;7.300981;236.15;90;0;22;3778;0.78;154.45;;;
47.826969;7.300986;236.07;88.7;0;22;3778;0.8;154.43;;;
47.82715;7.300989;236.07;88.7;0;22;3778;0.82;154.41;;;
47.827331;7.300992;235.93;90;0;22;3778;0.84;154.39;;;
47.827508;7.300997;235.74;88.7;0;22;3778;0.86;154.37;;;
47.827689;7.301;235.69;88.7;0;22;3778;0.88;154.35;;;
47.827869;7.301003;235.56;88.7;0;22;3778;0.9;154.33;;;
47.82805;7.301006;235.5;88.7;0;22;3778;0.92;154.31;;;
47.828228;7.301006;235.47;90;0;22;3778;0.94;154.29;;;
47.828408;7.301008;235.5;90;0;22;3778;0.96;154.27;;;
47.828589;7.301014;235.49;88.7;0;22;3778;0.98;154.25;;;
47.828769;7.301019;235.5;89.2;0;22;3778;1;154.23;;;
47.828947;7.301019;235.42;90;0;22;3778;1.02;154.21;;;
47.829128;7.301019;235.35;90;0;22;3778;1.04;154.19;;;
47.829308;7.301022;235.41;88.7;0;22;3778;1.06;154.17;;;
47.829489;7.301028;235.41;88.7;0;22;3778;1.08;154.15;;;
47.830386;7.301042;235.22;88.7;0;22;3778;1.18;154.05;11;;
47.830567;7.301044;235.25;89.1;0;22;3778;1.2;154.03;;;
47.830747;7.30105;235.35;88.7;0;22;3778;1.22;154.01;;;
47.830928;7.30105;235.29;90;0;22;3778;1.24;153.99;;;
47.831106;7.30105;235.21;90;0;22;3778;1.26;153.97;;;
47.831286;7.30105;235.12;90;0;22;3778;1.28;153.95;;;
47.831467;7.30105;235.12;90;0;22;3778;1.3;153.93;;;
47.831647;7.301053;235.01;90;0;22;3778;1.32;153.91;;;
47.831825;7.301056;235.04;90;0;22;3778;1.34;153.89;;;
47.832006;7.301061;235.11;88.7;0;22;3778;1.36;153.87;;;
47.832186;7.301061;235.14;90;0;22;3778;1.38;153.85;;;
47.832367;7.301061;235.16;90;0;22;3778;1.4;153.83;;;
47.832544;7.301061;235.16;90;0;22;3778;1.42;153.81;;;
47.832725;7.301069;235.11;87.8;0;22;3778;1.44;153.79;;;
47.832906;7.301075;235.07;88.7;0;22;3778;1.46;153.77;;;
47.833086;7.301083;235.03;89.2;0;22;3778;1.48;153.75;;;
47.833264;7.301094;235.01;87.8;0;22;3778;1.5;153.73;;;
47.833444;7.301103;235.01;88.7;0;22;3778;1.52;153.71;;;
47.833625;7.301108;234.9;89.2;0;22;3778;1.54;153.69;;;
47.833806;7.301117;234.84;87.5;0;22;3778;1.56;153.67;;;
47.833983;7.301131;234.76;86.1;-1;22;3778;1.58;153.65;;;
47.834147;7.301025;234.51;114;-1;22;3778;1.6;153.63;;;
47.834314;7.300917;234.37;112.8;-1;22;3778;1.62;153.61;;;
47.834478;7.300808;234.17;114.1;-1;22;3778;1.64;153.59;;;
47.834642;7.300697;234.13;114.1;-1;22;3778;1.66;153.57;;;
47.834806;7.300589;233.97;113;-1;22;3778;1.68;153.55;;;
47.834969;7.300478;233.77;114;-1;22;3778;1.7;153.53;;;
47.835133;7.300372;233.47;114;-1;22;3778;1.72;153.51;;;
47.8353;7.300269;233.23;113.2;-1;22;3778;1.74;153.49;;;
47.835467;7.300164;233;113;-1;22;3778;1.76;153.47;;;
47.835631;7.300058;232.83;113;0;22;3778;1.78;153.45;;;
47.835794;7.29995;232.74;114;0;22;3778;1.8;153.43;;;
47.835961;7.299844;232.59;113.2;0;22;3778;1.82;153.41;;;
47.836128;7.299742;232.46;112.6;0;22;3778;1.84;153.39;;;
47.836292;7.299639;232.4;111.8;0;22;3778;1.86;153.37;;;
