latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
47.820661;7.304833;232.51;137.7;2;0;3800;0;155.2;9;real;
47.821169;7.303736;234.55;147.8;2;20;3780;0.1;155.1;;;
47.821769;7.30275;235.88;128.9;0;21;3779;0.2;155;;;
47.822578;7.302183;235.63;105.2;0;22;3778;0.3;154.9;10;;
47.823442;7.301819;235.61;106.1;0;22;3778;0.4;154.8;;;
47.824308;7.301467;235.8;105.7;0;22;3778;0.5;154.7;;;
47.825178;7.301125;235.91;101;0;22;3778;0.6;154.6;;;
47.826069;7.300978;236.27;92.2;0;22;3778;0.7;154.5;;;
47.826969;7.300986;236.07;88.7;0;22;3778;0.8;154.4;;;
47.827869;7.301003;235.56;88.7;0;22;3778;0.9;154.3;;;
47.828769;7.301019;235.5;89.2;0;22;3778;1;154.2;;;
47.829667;7.301031;235.4;90;0;22;3778;1.1;154.1;11;;
47.830567;7.301044;235.25;89.1;0;22;3778;1.2;154;;;
47.831467;7.30105;235.12;90;0;22;3778;1.3;153.9;;;
47.832367;7.301061;235.16;90;0;22;3778;1.4;153.8;;;
47.833264;7.301094;235.01;87.8;0;22;3778;1.5;153.7;;;
47.834147;7.301025;234.51;114;-1;22;3778;1.6;153.6;;;
47.834969;7.300478;233.77;114;-1;22;3778;1.7;153.5;;;
47.835794;7.29995;232.74;114;0;22;3778;1.8;153.4;;;
47.836622;7.299428;232.53;114;0;22;3778;1.9;153.3;;;
47.837453;7.298908;231.8;113;-1;22;3778;2;153.2;;;
47.838186;7.298183;231.62;146.1;0;22;3778;2.1;153.1;;;
47.838342;7.296881;231.75;174.2;1;23;3777;2.2;153;;;
47.838403;7.295547;232.44;174.3;1;23;3777;2.3;152.9;;;
47.838486;7.294217;233;176.8;1;24;3776;2.4;152.8;;;
47.838586;7.292892;233.92;167.7;0;24;3776;2.5;152.7;;;
47.839097;7.291819;233.97;133.1;0;25;3775;2.6;152.6;;;
47.839753;7.290906;234.43;132.4;1;25;3775;2.7;152.5;;;
47.8404;7.289978;235.48;134.6;1;26;3774;2.8;152.4;;;
47.841044;7.289044;235.9;135.3;0;26;3774;2.9;152.3;;;
47.841689;7.288114;236.07;132.7;0;27;3773;3;152.2;;;
47.842333;7.287183;236.37;134;-2;27;3773;3.1;152.1;;;
47.842981;7.286258;232.69;134;2;27;3773;3.2;152;;;
47.843628;7.285328;236.11;134.6;0;27;3773;3.3;151.9;12;;
47.844258;7.284375;235.24;134.6;-1;27;3773;3.4;151.8;;;
47.844894;7.283431;234.76;135;0;27;3773;3.5;151.7;;;
47.845564;7.282558;234.96;123.9;0;27;3773;3.6;151.6;;;
47.846222;7.281653;234.29;133.7;0;27;3773;3.7;151.5;;;
47.846875;7.280733;234.6;134.9;1;27;3773;3.8;151.4;;;
47.847539;7.279833;234.75;130.7;0;27;3773;3.9;151.3;;;
47.848183;7.279019;234.55;82.4;-1;27;3773;4;151.2;13;;
47.848731;7.278128;233.43;132.3;0;27;3773;4.1;151.1;;;
47.849383;7.277211;233.05;133.1;0;27;3773;4.2;151;;;
47.850042;7.2763;233.33;132.7;1;28;3772;4.3;150.9;;;
47.850697;7.275383;234.28;133.1;2;28;3772;4.4;150.8;;;
47.85135;7.274467;235.39;133.7;0;29;3771;4.5;150.7;;;
47.852006;7.27355;235.05;132.7;0;29;3771;4.6;150.6;14;;
47.852658;7.272633;235.07;134;0;29;3771;4.7;150.5;;;
47.853311;7.271714;235.41;134;0;29;3771;4.8;150.4;;;
47.853967;7.2708;235.16;134;0;29;3771;4.9;150.3;;;
47.854622;7.269883;235.17;133.1;0;29;3771;5;150.2;;;
47.855236;7.268911;234.77;144.6;-1;29;3771;5.1;150.1;;;
47.855586;7.267683;234.31;160.3;0;29;3771;5.2;150;;;
47.856031;7.266544;234.65;134.9;0;29;3771;5.3;149.9;15;;
47.8567;7.265653;234.91;130.7;0;29;3771;5.4;149.8;;;
47.857519;7.265489;235.06;71.9;-1;29;3771;5.5;149.7;;;
47.858242;7.264811;234.07;131.7;-1;29;3771;5.6;149.6;;;
47.858903;7.263903;233.25;133.7;-1;29;3771;5.7;149.5;;;
47.859369;7.262808;232.61;169.7;0;29;3771;5.8;149.4;;;
47.859539;7.261547;232.8;178;0;29;3771;5.9;149.3;;;
47.8599;7.260381;232.49;159.7;1;29;3771;6;149.2;;;
47.860053;7.259161;233.09;-149.1;-1;30;3770;6.1;149.1;;;
47.859453;7.258175;232.78;-134.6;1;30;3770;6.2;149;;;
47.858775;7.257303;233.43;-128.9;1;30;3770;6.3;148.9;;;
47.858067;7.256478;233.96;-127.7;1;31;3769;6.4;148.8;;;
47.857422;7.255547;234.73;-136.9;1;32;3768;6.5;148.7;;;
47.856842;7.254528;235.58;-144.3;1;32;3768;6.6;148.6;;;
47.856508;7.253294;236.56;-167.2;1;33;3767;6.7;148.5;;;
47.856292;7.252;237.09;-158.5;0;33;3767;6.8;148.4;;;
47.855906;7.250794;237.11;-154.7;0;34;3766;6.9;148.3;;;
47.855503;7.249597;237.62;-153;1;35;3765;7;148.2;;;
47.855119;7.248392;238.13;-157.4;1;36;3764;7.1;148.1;;;
47.854906;7.247097;239.6;-171.6;1;37;3763;7.2;148;;;
47.854892;7.245764;241.18;178.1;2;39;3761;7.3;147.9;;;
47.854958;7.244431;242.67;174.9;3;41;3759;7.4;147.8;;;
