latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.715181;5.925767;569.92;-62.4;5;22;3928;0;183.82;5;real;
46.715028;5.925903;570.82;-58.4;5;23;3927;0.02;183.8;;;
46.714872;5.926036;572.15;-59.5;5;24;3926;0.04;183.78;;;
46.714719;5.926169;573.47;-58.9;5;25;3925;0.06;183.76;;;
46.714564;5.926306;574.29;-58.4;5;26;3924;0.08;183.74;;;
46.714408;5.926433;575.13;-61.8;5;27;3923;0.1;183.72;;;
46.71425;5.926561;576.03;-60.6;5;28;3922;0.12;183.7;;;
46.713933;5.926811;577.98;-62.7;5;30;3920;0.16;183.66;;;
46.713778;5.926939;579.12;-60.6;6;31;3919;0.18;183.64;;;
46.713619;5.927064;579.92;-61.8;6;32;3918;0.2;183.62;;;
46.713461;5.927192;580.94;-61.6;6;33;3917;0.22;183.6;;;
46.713303;5.927317;582.09;-61.3;6;34;3916;0.24;183.58;;;
46.713147;5.927442;583.12;-61.8;6;35;3915;0.26;183.56;;;
46.712836;5.927706;586.03;-58.5;5;37;3913;0.3;183.52;;;
46.712681;5.927836;586.93;-59.2;5;38;3912;0.32;183.5;;;
46.712525;5.927969;587.84;-59.9;5;39;3911;0.34;183.48;;;
46.712369;5.928103;588.61;-59.5;5;40;3910;0.36;183.46;;;
46.712217;5.928239;589.62;-59.2;5;41;3909;0.38;183.44;;;
46.712064;5.928375;590.84;-58.5;5;42;3908;0.4;183.42;;;
46.711906;5.9285;591.8;-63.6;5;43;3907;0.42;183.4;;;
46.711744;5.928622;592.74;-62.7;5;44;3906;0.44;183.38;;;
46.711586;5.928742;593.52;-62.7;5;45;3905;0.46;183.36;;;
46.711422;5.928853;594.24;-65.4;5;46;3904;0.48;183.34;;;
46.711261;5.928964;594.96;-64.6;5;47;3903;0.5;183.32;;;
46.711097;5.929078;595.98;-63.5;5;48;3902;0.52;183.3;;;
46.710933;5.929186;597.03;-66.6;5;49;3901;0.54;183.28;;;
46.710439;5.9295;599.95;-66.4;6;52;3898;0.6;183.22;;;
46.710275;5.929606;601.08;-66.4;6;53;3897;0.62;183.2;;;
46.710111;5.929711;602.28;-65.8;6;54;3896;0.64;183.18;;;
46.709944;5.929817;603.38;-66.6;6;55;3895;0.66;183.16;;;
46.709781;5.929922;604.55;-66.4;6;56;3894;0.68;183.14;;;
46.709617;5.930031;605.7;-66.4;6;58;3892;0.7;183.12;;;
46.709453;5.930139;606.76;-65.2;6;59;3891;0.72;183.1;;;
46.709292;5.93025;607.96;-64.4;6;60;3890;0.74;183.08;;;
46.709128;5.930361;609.19;-64.8;6;61;3889;0.76;183.06;;;
46.708964;5.930472;610.46;-65.6;6;62;3888;0.78;183.04;;;
46.708803;5.930583;611.72;-66;5;63;3887;0.8;183.02;;;
46.708639;5.930692;612.72;-65.6;5;64;3886;0.82;183;;;
46.708467;5.930769;613.59;-74;5;65;3885;0.84;182.98;;;
46.708292;5.930836;614.67;-77;5;66;3884;0.86;182.96;;;
46.708119;5.9309;615.54;-76.3;5;66;3884;0.88;182.94;;;
46.707944;5.930967;616.66;-75;4;67;3883;0.9;182.92;;;
46.707769;5.931031;617.43;-75.3;4;68;3882;0.92;182.9;;;
46.707597;5.931097;618.25;-75.3;4;69;3881;0.94;182.88;;;
46.707422;5.931161;619.03;-76.5;4;70;3880;0.96;182.86;;;
46.707247;5.931228;619.82;-74.8;4;71;3879;0.98;182.84;;;
46.707072;5.931292;620.68;-76.6;4;72;3878;1;182.82;;;
46.7069;5.931358;621.44;-75.3;4;73;3877;1.02;182.8;;;
46.706725;5.931419;622.06;-76.5;4;74;3876;1.04;182.78;;;
46.70655;5.931481;623;-76.1;4;75;3875;1.06;182.76;;;
46.706375;5.931542;623.93;-76.1;5;76;3874;1.08;182.74;;;
46.705494;5.931808;629.09;-80.4;5;81;3869;1.18;182.64;;;
46.705317;5.931856;630.1;-80;5;82;3868;1.2;182.62;;;
46.705139;5.9319;631.08;-80.4;5;83;3867;1.22;182.6;;;
46.704961;5.931933;631.99;-85.2;5;84;3866;1.24;182.58;;;
46.704783;5.931956;632.81;-84.7;5;84;3866;1.26;182.56;;;
46.704603;5.931981;633.73;-83.8;5;85;3865;1.28;182.54;;;
46.704422;5.931997;634.65;-86.6;4;86;3864;1.3;182.52;;;
46.704244;5.932011;635.32;-87.8;4;86;3864;1.32;182.5;;;
46.704064;5.932019;636.25;-90;4;87;3863;1.34;182.48;;;
46.703883;5.932019;637.02;-90;4;88;3862;1.36;182.46;;;
46.703706;5.931997;637.69;-97.5;4;89;3861;1.38;182.44;;;
46.703528;5.931958;638.3;-98.8;3;89;3861;1.4;182.42;;;
46.70335;5.931917;639.08;-98.3;3;90;3860;1.42;182.4;;;
46.703172;5.931875;639.72;-99.6;3;91;3859;1.44;182.38;;;
46.702994;5.931833;640.23;-100;3;92;3858;1.46;182.36;;;
46.702817;5.931794;640.85;-98.8;3;92;3858;1.48;182.34;;;
46.702639;5.931753;641.47;-99.6;3;93;3857;1.5;182.32;;;
46.702461;5.931717;642.2;-97;3;93;3857;1.52;182.3;;;
46.702283;5.931686;642.81;-96.2;3;93;3857;1.54;182.28;;;
46.702103;5.931653;643.46;-97;3;94;3856;1.56;182.26;;;
46.701925;5.931622;644.03;-96.2;3;94;3856;1.58;182.24;;;
46.701747;5.931586;644.63;-97.5;2;94;3856;1.6;182.22;;;
46.701569;5.93155;645.1;-97.5;2;95;3855;1.62;182.2;;;
46.701392;5.931508;645.38;-98.8;2;95;3855;1.64;182.18;;;
46.701214;5.931469;645.51;-98.8;1;95;3855;1.66;182.16;;;
46.701036;5.931431;645.57;-98.3;1;96;3854;1.68;182.14;;;
46.700858;5.931392;645.68;-98.3;1;96;3854;1.7;182.12;;;
46.700681;5.931353;645.63;-98.4;0;96;3854;1.72;182.1;;;
46.700503;5.931311;645.66;-99.6;0;97;3853;1.74;182.08;;;
46.700322;5.931272;645.64;-98.8;0;97;3853;1.76;182.06;;;
46.700144;5.931236;645.69;-98.8;0;97;3853;1.78;182.04;;;
46.699967;5.931197;645.7;-98.8;0;97;3853;1.8;182.02;;;
46.699789;5.931158;645.71;-98.8;0;97;3853;1.82;182;;;
46.699611;5.931119;645.74;-98.8;0;97;3853;1.84;181.98;;;
46.699433;5.931081;645.84;-98.3;0;98;3852;1.86;181.96;;;
46.699256;5.931044;646;-97.5;1;98;3852;1.88;181.94;;;
46.699078;5.931006;646.13;-98.3;1;98;3852;1.9;181.92;;;
46.6989;5.930969;646.25;-98.8;1;98;3852;1.92;181.9;;;
46.698722;5.930933;646.41;-98.8;1;98;3852;1.94;181.88;;;
46.698544;5.930897;646.68;-97.5;1;98;3852;1.96;181.86;;;
46.698364;5.930864;646.9;-96.2;2;98;3852;1.98;181.84;;;
46.698186;5.930844;647.16;-95.3;2;99;3851;2;181.82;;;
46.698006;5.930833;647.36;-90;2;99;3851;2.02;181.8;;;
46.697825;5.930847;647.69;-87.9;2;100;3850;2.04;181.78;;;
46.697647;5.930883;648.2;-81.7;3;100;3850;2.06;181.76;;;
46.697469;5.930922;649.07;-81.7;3;101;3849;2.08;181.74;;;
46.697292;5.930961;649.98;-81.7;3;102;3848;2.1;181.72;;;
46.697114;5.931;651.09;-81.7;4;102;3848;2.12;181.7;;;
46.696936;5.931036;652.23;-82.5;4;103;3847;2.14;181.68;;;
46.696758;5.931067;653.03;-83.8;3;103;3847;2.16;181.66;;;
46.695144;5.930917;655.75;-96.2;1;106;3844;2.34;181.48;;;
46.694967;5.930883;655.84;-97.5;0;106;3844;2.36;181.46;;;
46.694789;5.930853;655.74;-97;-1;106;3844;2.38;181.44;;;
46.694608;5.930819;655.5;-97.5;-1;106;3844;2.4;181.42;;;
46.694431;5.930789;654.97;-97.5;-2;106;3844;2.42;181.4;;;
