latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.715181;5.925767;569.92;-62.4;5;22;3928;0;183.8;5;real;
46.714408;5.926433;575.13;-61.8;5;27;3923;0.1;183.7;;;
46.713619;5.927064;579.92;-61.8;6;32;3918;0.2;183.6;;;
46.712836;5.927706;586.03;-58.5;5;37;3913;0.3;183.5;;;
46.712064;5.928375;590.84;-58.5;5;42;3908;0.4;183.4;;;
46.711261;5.928964;594.96;-64.6;5;47;3903;0.5;183.3;;;
46.710439;5.9295;599.95;-66.4;6;52;3898;0.6;183.2;;;
46.709617;5.930031;605.7;-66.4;6;58;3892;0.7;183.1;;;
46.708803;5.930583;611.72;-66;5;63;3887;0.8;183;;;
46.707944;5.930967;616.66;-75;4;67;3883;0.9;182.9;;;
46.707072;5.931292;620.68;-76.6;4;72;3878;1;182.8;;;
46.706197;5.931597;624.83;-77.8;5;77;3873;1.1;182.7;;;
46.705317;5.931856;630.1;-80;5;82;3868;1.2;182.6;;;
46.704422;5.931997;634.65;-86.6;4;86;3864;1.3;182.5;;;
46.703528;5.931958;638.3;-98.8;3;89;3861;1.4;182.4;;;
46.702639;5.931753;641.47;-99.6;3;93;3857;1.5;182.3;;;
46.701747;5.931586;644.63;-97.5;2;94;3856;1.6;182.2;;;
46.700858;5.931392;645.68;-98.3;1;96;3854;1.7;182.1;;;
46.699967;5.931197;645.7;-98.8;0;97;3853;1.8;182;;;
46.699078;5.931006;646.13;-98.3;1;98;3852;1.9;181.9;;;
46.698186;5.930844;647.16;-95.3;2;99;3851;2;181.8;;;
46.697292;5.930961;649.98;-81.7;3;102;3848;2.1;181.7;;;
46.696397;5.931081;653.84;-90;2;105;3845;2.2;181.6;;;
46.695503;5.930983;655.18;-97.5;1;106;3844;2.3;181.5;;;
46.694608;5.930819;655.5;-97.5;-1;106;3844;2.4;181.4;;;
46.693717;5.930667;653.39;-97;-1;106;3844;2.5;181.3;;;
46.692819;5.930539;652.87;-96;0;106;3844;2.6;181.2;;;
46.692086;5.930408;652.47;-97.2;-1;106;3844;2.7;181.1;6;;
46.691194;5.930256;651.44;-95.7;-1;106;3844;2.8;181;;;
46.6903;5.930106;650.03;-95.7;-2;106;3844;2.9;180.9;;;
46.689406;5.929983;648.85;-94;-1;106;3844;3;180.8;;;
46.688508;5.930025;649.03;-82.5;0;106;3844;3.1;180.7;;;
46.687617;5.930208;648.96;-81.7;0;106;3844;3.2;180.6;;;
46.686728;5.930397;648.05;-87.8;-4;106;3844;3.3;180.5;;;
46.685831;5.930439;642.07;-88.7;-6;106;3844;3.4;180.4;;;
46.684931;5.930461;636.93;-90;-5;106;3844;3.5;180.3;7;;
46.684031;5.930492;632.7;-88.7;-5;106;3844;3.6;180.2;;;
46.683131;5.930528;626.77;-87.4;-5;106;3844;3.7;180.1;;;
46.682253;5.930781;623.21;-72.7;-3;106;3844;3.8;180;;;
46.681394;5.931178;620.65;-71.7;-2;106;3844;3.9;179.9;;;
46.680542;5.931586;618.68;-70.9;-2;106;3844;4;179.8;;;
46.679681;5.931975;616.95;-72.7;-3;106;3844;4.1;179.7;;;
46.678825;5.932367;613.55;-72.1;-3;106;3844;4.2;179.6;;;
46.677981;5.932817;610.32;-63.2;-4;106;3844;4.3;179.5;8;;
46.677186;5.933431;606.65;-60.6;-3;106;3844;4.4;179.4;;;
46.676394;5.934053;604.36;-62.7;-1;106;3844;4.5;179.3;;;
46.675611;5.934694;604.21;-61;0;107;3843;4.6;179.2;;;
46.674819;5.935317;605.71;-61.5;2;108;3842;4.7;179.1;;;
46.674047;5.935981;607.76;-56.3;3;111;3839;4.8;179;;;
46.673364;5.936828;611.29;-47.7;4;114;3836;4.9;178.9;;;
46.672711;5.937725;615.92;-50.9;4;118;3832;5;178.8;;;
46.671931;5.938358;619.27;-68.8;3;121;3829;5.1;178.7;;;
46.671069;5.938733;622.37;-75.4;4;124;3826;5.2;178.6;;;
46.6702;5.939067;626.16;-76.6;-3;128;3822;5.3;178.5;;;
46.669333;5.939419;626.75;-71.9;9;133;3817;5.4;178.4;;;
46.668503;5.939911;635.1;-64.7;9;137;3813;5.5;178.3;;;
46.667672;5.940392;643.69;-54.4;5;144;3806;5.6;178.2;;;
46.666986;5.941172;650.25;-63.8;5;150;3800;5.7;178.1;;;
46.666625;5.942325;653.79;-9.1;5;155;3795;5.8;178;;;
46.666939;5.943517;655.4;33.3;5;159;3791;5.9;177.9;;;
46.667189;5.944722;660.7;-11;5;163;3787;6;177.8;;;
46.666614;5.945664;666.41;-75.2;4;167;3783;6.1;177.7;;;
46.665739;5.945769;669.51;-62.4;5;172;3778;6.2;177.6;;;
46.66495;5.946389;673.91;-70.8;4;179;3771;6.3;177.5;;;
46.664078;5.946717;679.07;-74;11;188;3762;6.4;177.4;;;
46.663206;5.946772;695.24;-110.6;2;197;3753;6.5;177.3;;;
46.662364;5.946317;689.93;-108.1;2;197;3753;6.6;177.2;;;
46.661492;5.946019;692.96;-96.2;3;197;3753;6.7;177.1;;;
46.660606;5.945797;696.45;-101;4;199;3751;6.8;177;;;
46.659728;5.945511;700.5;-103.9;4;203;3747;6.9;176.9;;;
46.658844;5.945256;704.07;-98.3;3;207;3743;7;176.8;;;
46.657947;5.945208;706.47;-89.1;3;210;3740;7.1;176.7;;;
46.657214;5.944586;708.85;-139.8;3;212;3738;7.2;176.6;;;
46.656569;5.943689;711.93;-128.1;3;215;3735;7.3;176.5;9;;
46.655894;5.942831;714.75;-138.5;3;217;3733;7.4;176.4;;;
46.655408;5.941733;716.85;-151.8;1;220;3730;7.5;176.3;;;
46.654764;5.940922;714.88;-98.8;1;221;3729;7.6;176.2;;;
46.653886;5.9412;718.09;-74.5;2;222;3728;7.7;176.1;;;
46.653014;5.941519;720.86;-77;2;223;3727;7.8;176;;;
46.652139;5.941817;721.14;-77.8;0;224;3726;7.9;175.9;;;
46.651261;5.9421;721.46;-76.1;1;224;3726;8;175.8;;;
46.650369;5.942239;723.37;-90;0;224;3726;8.1;175.7;;;
46.649472;5.942181;722.24;-90.9;-1;224;3726;8.2;175.6;;;
46.648589;5.942006;721.06;-114;-2;224;3726;8.3;175.5;10;;
46.647806;5.941367;718.32;-116.5;-2;224;3726;8.4;175.4;;;
46.646975;5.940867;716.82;-110;-1;224;3726;8.5;175.3;;;
46.646092;5.940636;715.93;-97.5;0;224;3726;8.6;175.2;;;
46.645197;5.940464;716.39;-97.2;1;224;3726;8.7;175.1;;;
46.644308;5.940275;717.11;-98.3;0;224;3726;8.8;175;;;
46.643417;5.940106;717.02;-97;0;224;3726;8.9;174.9;;;
46.642522;5.939972;716.98;-91.3;0;225;3725;9;174.8;;;
46.641658;5.9403;717.55;-66.6;0;225;3725;9.1;174.7;11;;
46.640853;5.940881;717.86;-63.1;0;225;3725;9.2;174.6;;;
46.640053;5.941472;718.13;-63.5;0;226;3724;9.3;174.5;;;
46.639247;5.942058;718.6;-62.7;1;226;3724;9.4;174.4;;;
46.638442;5.942636;719.37;-63.5;1;227;3723;9.5;174.3;;;
46.63765;5.94325;720.73;-60.6;2;228;3722;9.6;174.2;;;
46.636878;5.943925;722.28;-59.5;1;230;3720;9.7;174.1;;;
46.636236;5.944806;723.77;-25.3;1;232;3718;9.8;174;;;
46.635919;5.946025;724.78;-29.9;2;234;3716;9.9;173.9;;;
46.635306;5.946953;728.12;-56.6;4;236;3714;10;173.8;;;
46.63445;5.947317;732.91;-86.2;5;240;3710;10.1;173.7;;;
46.633581;5.947036;737.2;-111.2;4;245;3705;10.2;173.6;;;
46.632711;5.946847;741.67;-77.8;5;249;3701;10.3;173.5;;;
46.631992;5.947583;746.23;-40.2;4;254;3696;10.4;173.4;;;
46.631308;5.9484;751.05;-65.4;5;259;3691;10.5;173.3;;;
46.630433;5.948669;755.85;-67;4;263;3687;10.6;173.2;;;
