latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.400489;6.594864;382.99;0;5;0;500;0;26.1;4;real;
46.400222;6.596106;387.79;-18.3;6;13;487;0.1;26;;;
46.399961;6.59735;393.68;-16.2;6;18;482;0.2;25.9;;;
46.399706;6.598597;399.38;-17.4;6;24;476;0.3;25.8;;;
46.399472;6.59985;404.57;-9;5;29;471;0.4;25.7;;;
46.399397;6.601144;408.88;-3.9;5;33;467;0.5;25.6;;;
46.399339;6.602444;413.46;-1.9;5;38;462;0.6;25.5;;;
46.399422;6.603733;418;-5.7;5;42;458;0.7;25.4;;;
46.399353;6.604992;421.69;6.9;5;47;453;0.8;25.3;;;
46.399378;6.606289;426.55;3.9;5;51;449;0.9;25.2;;;
46.399378;6.607589;431.07;-5.1;5;56;444;1;25.1;;;
46.398914;6.608669;435.57;-27.7;5;60;440;1.1;25;5;;
46.398825;6.609958;440.19;-3.8;5;65;435;1.2;24.9;;;
46.398328;6.610733;444.56;-85.1;4;69;431;1.3;24.8;;;
46.397825;6.611414;448.4;23.5;4;73;427;1.4;24.7;;;
46.398081;6.612625;452.72;-1.3;5;77;423;1.5;24.6;;;
46.398125;6.613914;457.26;3.8;5;81;419;1.6;24.5;;;
46.397664;6.614919;460.86;-56.5;4;85;415;1.7;24.4;;;
46.397033;6.615814;465.2;-29.8;5;90;410;1.8;24.3;;;
46.396422;6.615769;469.84;-171;5;94;406;1.9;24.2;;;
46.396342;6.614475;473.99;-172.9;4;98;402;2;24.1;;;
46.396006;6.613283;477.87;-145.6;4;102;398;2.1;24;;;
46.395408;6.612311;481.59;-137.6;4;106;394;2.2;23.9;;;
46.394803;6.611353;485.65;-139.1;4;110;390;2.3;23.8;;;
46.394514;6.610256;489.37;149.6;4;114;386;2.4;23.7;;;
46.39475;6.609036;492.92;180;4;118;382;2.5;23.6;;;
46.394544;6.607783;497.41;-157.7;4;122;378;2.6;23.5;;;
46.394211;6.606578;501.33;-159.3;4;126;374;2.7;23.4;;;
46.393872;6.605372;505.51;-157.7;4;130;370;2.8;23.3;;;
46.3935;6.604189;509.76;-154.2;5;135;365;2.9;23.2;;;
46.393092;6.603039;514.9;-139.9;5;140;360;3;23.1;;;
46.392597;6.601958;520.34;-154.8;5;145;355;3.1;23;;;
46.392231;6.600772;525.8;-158.3;6;151;349;3.2;22.9;;;
46.391819;6.599617;531.42;-151.9;6;156;344;3.3;22.8;;;
46.391442;6.598439;536.86;-158.6;5;161;339;3.4;22.7;;;
46.391097;6.597239;542;-158;5;167;333;3.5;22.6;;;
46.390761;6.596033;547.44;-158.3;5;172;328;3.6;22.5;;;
46.390428;6.594825;552.93;-158.6;6;178;322;3.7;22.4;;;
46.390089;6.593622;558.44;-158.3;6;183;317;3.8;22.3;6;;
46.389761;6.592411;563.91;-158.3;5;189;311;3.9;22.2;;;
46.389356;6.591256;569.2;-144.3;5;194;306;4;22.1;;;
46.388783;6.590253;574.5;-138.6;6;199;301;4.1;22;;;
46.388242;6.589219;580.2;-152.5;6;205;295;4.2;21.9;;;
46.387939;6.587994;585.51;-162;6;210;290;4.3;21.8;;;
46.387603;6.586792;591.25;-154;6;216;284;4.4;21.7;;;
46.387225;6.585611;596.71;-156.5;5;221;279;4.5;21.6;;;
46.386883;6.584408;602.01;-156.5;5;226;274;4.6;21.5;;;
46.386564;6.583194;606.93;-161.7;5;231;269;4.7;21.4;;;
46.386292;6.581956;611.91;-162.2;5;236;264;4.8;21.3;7-8;-chrono;
46.386064;6.5807;616.72;-168.8;5;241;259;4.9;21.2;;;
46.385644;6.579853;621.79;-82.5;4;245;255;5;21.1;;;
46.385375;6.578892;625.17;-167.8;4;250;250;5.1;21;;;
46.385108;6.577653;629.12;-156.3;4;253;247;5.2;20.9;;;
46.384869;6.576419;632.92;176.8;4;257;243;5.3;20.8;;;
46.384797;6.575147;636.5;-159.8;4;261;239;5.4;20.7;;;
46.384436;6.573956;640.15;-158.1;4;264;236;5.5;20.6;;;
46.384097;6.57275;643.28;-158;3;267;233;5.6;20.5;;;
46.383783;6.571533;646.14;-161.7;3;271;229;5.7;20.4;;;
46.383475;6.570311;648.71;-159.8;3;274;226;5.8;20.3;;;
46.383128;6.569114;652.14;-154.2;4;277;223;5.9;20.2;;;
46.382714;6.567961;655.83;-156.5;4;280;220;6;20.1;;;
46.382403;6.566742;658.57;-160.4;3;283;217;6.1;20;;;
46.382111;6.565511;661.68;-162;3;286;214;6.2;19.9;9;;
46.381792;6.564297;665.02;-158.3;3;289;211;6.3;19.8;;;
46.381425;6.563111;668.12;-156;3;292;208;6.4;19.7;;;
46.381042;6.561933;671.17;-154.2;3;296;204;6.5;19.6;;;
46.380631;6.560778;674.17;-152.5;3;299;201;6.6;19.5;;;
46.380169;6.559661;677.22;-152.5;3;301;199;6.7;19.4;;;
46.379789;6.558483;680.22;-156.5;3;304;196;6.8;19.3;;;
46.379433;6.557292;681.82;-156.3;2;306;194;6.9;19.2;;;
46.378858;6.55635;682.78;-112.3;1;307;193;7;19.1;;;
46.377967;6.556306;683.27;-82.5;1;308;192;7.1;19;10;;
46.377097;6.556228;684.27;-115.1;2;309;191;7.2;18.9;;;
46.376283;6.555667;686.34;-116.3;3;312;188;7.3;18.8;;;
46.3756;6.554844;689.25;-139.4;4;315;185;7.4;18.7;;;
46.374944;6.553969;693.94;-122.8;5;319;181;7.5;18.6;;;
46.374117;6.5535;698.72;-96.2;5;324;176;7.6;18.5;;;
46.373222;6.553417;704.06;-104.8;6;329;171;7.7;18.4;;;
46.372392;6.552925;710.06;-115.8;7;335;165;7.8;18.3;;;
46.371644;6.553375;716.8;-47.5;6;340;160;7.9;18.2;;;
46.371247;6.554492;721.51;-3.8;5;346;154;8;18.1;;;
46.3712;6.555789;726.29;-1.9;6;351;149;8.1;18;;;
46.371117;6.557083;732.73;-8.9;6;357;143;8.2;17.9;;;
46.370831;6.558303;737.66;-5.2;5;362;138;8.3;17.8;;;
46.371136;6.559517;743.01;28.1;6;368;132;8.4;17.7;;;
46.371578;6.560644;748.87;18.4;6;374;126;8.5;17.6;;;
46.370922;6.561419;755.24;-63.7;6;380;120;8.6;17.5;;;
46.370153;6.562089;761.26;-53.2;6;386;114;8.7;17.4;;;
46.369422;6.562836;766.69;-64.9;5;390;110;8.8;17.3;;;
46.368686;6.563572;770.23;-50.7;4;395;105;8.9;17.2;;;
