latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.635411;5.9127;276.91;99.8;-1;0;2200;0;174.61;6;real;
45.635586;5.912653;276.75;99.8;-1;0;2200;0.02;174.59;;;
45.635764;5.912606;276.59;101.1;-1;0;2200;0.04;174.57;;;
45.635942;5.912561;276.38;99.8;-1;0;2200;0.06;174.55;;;
45.636119;5.912514;276.12;101.2;-1;0;2200;0.08;174.53;;;
45.636294;5.912469;276.04;100.4;-1;0;2200;0.1;174.51;;;
45.636472;5.912422;275.88;99.8;-1;0;2200;0.12;174.49;;;
45.636825;5.912331;275.41;100.1;-1;0;2200;0.16;174.45;;;
45.637003;5.912283;275.28;100.2;-1;0;2200;0.18;174.43;;;
45.637181;5.912236;275.13;101.1;-1;0;2200;0.2;174.41;;;
45.637358;5.912192;274.94;99.8;-1;0;2200;0.22;174.39;;;
45.637533;5.912144;274.83;100.2;-1;0;2200;0.24;174.37;;;
45.637711;5.912097;274.62;99.8;-1;0;2200;0.26;174.35;;;
45.638064;5.912003;274.26;101.1;-1;0;2200;0.3;174.31;;;
45.638242;5.911956;274.01;101.1;-1;0;2200;0.32;174.29;;;
45.638419;5.911911;273.85;99.9;-1;0;2200;0.34;174.27;;;
45.638594;5.911864;273.7;100.1;-1;0;2200;0.36;174.25;;;
45.638772;5.911817;273.61;99.8;0;0;2200;0.38;174.23;;;
45.63895;5.911769;273.55;101.1;0;0;2200;0.4;174.21;;;
45.639128;5.911722;273.38;101.1;0;0;2200;0.42;174.19;;;
45.639303;5.911678;273.35;99.8;0;0;2200;0.44;174.17;;;
45.639481;5.911631;273.37;99.8;0;0;2200;0.46;174.15;;;
45.639658;5.911583;273.32;101.1;0;0;2200;0.48;174.13;;;
45.639833;5.911536;273.24;101.1;0;0;2200;0.5;174.11;;;
45.640011;5.911492;273.14;99.8;0;0;2200;0.52;174.09;;;
45.640189;5.911444;273.03;100.2;0;0;2200;0.54;174.07;;;
45.640719;5.911308;272.81;100.4;0;0;2200;0.6;174.01;;;
45.640897;5.911264;272.81;99.8;0;0;2200;0.62;173.99;;;
45.641075;5.911222;272.74;98.9;0;0;2200;0.64;173.97;;;
45.641253;5.911181;272.73;98.5;0;0;2200;0.66;173.95;;;
45.641431;5.911136;272.72;99.8;0;0;2200;0.68;173.93;;;
45.641606;5.911094;272.64;100.2;0;0;2200;0.7;173.91;;;
45.641783;5.911044;272.62;101.1;0;0;2200;0.72;173.89;;;
45.641961;5.911;272.57;98.5;0;0;2200;0.74;173.87;;;
45.642139;5.910961;272.62;98.9;0;0;2200;0.76;173.85;;;
45.642317;5.910925;272.67;98.5;0;0;2200;0.78;173.83;;;
45.642494;5.910933;272.68;81.4;0;0;2200;0.8;173.81;;;
45.642672;5.910972;272.44;80.2;0;0;2200;0.82;173.79;;;
45.642839;5.911044;271.73;84.2;0;0;2200;0.84;173.77;;;
45.642983;5.9109;272.47;126.1;1;0;2200;0.86;173.75;;;
45.643147;5.910797;272.85;112.8;1;0;2200;0.88;173.73;;;
45.643317;5.910714;273.05;105;1;0;2200;0.9;173.71;;;
45.643492;5.910661;273.13;102.8;1;37;2163;0.92;173.69;;;
45.643669;5.910606;273.27;102.1;1;37;2163;0.94;173.67;;;
45.643844;5.910553;273.47;102.5;1;37;2163;0.96;173.65;;;
45.644019;5.910503;273.56;101.5;0;37;2163;0.98;173.63;;;
45.644197;5.91045;273.56;101.1;0;37;2163;1;173.61;;;
45.644372;5.9104;273.56;101.5;0;37;2163;1.02;173.59;;;
45.64455;5.910347;273.51;101.1;0;37;2163;1.04;173.57;;;
45.644725;5.910297;273.51;101.5;0;37;2163;1.06;173.55;;;
45.644903;5.910253;273.39;99.8;0;37;2163;1.08;173.53;;;
45.645789;5.910022;273.24;101.1;0;37;2163;1.18;173.43;7;;
45.645967;5.909978;273.12;99.8;0;37;2163;1.2;173.41;;;
45.646142;5.909931;273.1;101.1;0;37;2163;1.22;173.39;;;
45.646319;5.909881;273.09;101.2;0;37;2163;1.24;173.37;;;
45.646497;5.909833;273.08;101.1;1;37;2163;1.26;173.35;;;
45.646672;5.909783;273.19;102.4;1;37;2163;1.28;173.33;;;
45.646847;5.909731;273.34;102.4;1;37;2163;1.3;173.31;;;
45.647025;5.909675;273.44;102.4;1;37;2163;1.32;173.29;;;
45.6472;5.909631;273.65;100.1;1;38;2162;1.34;173.27;;;
45.647378;5.909586;273.85;99.8;1;38;2162;1.36;173.25;;;
45.647556;5.909544;273.91;98.9;0;38;2162;1.38;173.23;;;
45.647733;5.909497;273.97;99.8;0;38;2162;1.4;173.21;;;
45.647911;5.90945;273.97;99.8;0;38;2162;1.42;173.19;;;
45.648086;5.909406;274;99.8;1;39;2161;1.44;173.17;;;
45.648264;5.909361;274.03;99.8;2;39;2161;1.46;173.15;;;
45.648442;5.909317;274.05;99.8;2;39;2161;1.48;173.13;;;
45.648619;5.909269;274.11;100.4;3;39;2161;1.5;173.11;;;
45.648603;5.909017;274.67;-174.9;3;39;2161;1.52;173.09;;;
45.648586;5.908761;275.65;-174.9;2;40;2160;1.54;173.07;;;
45.648569;5.908506;276.55;-174.2;2;40;2160;1.56;173.05;;;
