latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.635411;5.9127;276.91;99.8;-1;0;2200;0;174.6;6;real;
45.636294;5.912469;276.04;100.4;-1;0;2200;0.1;174.5;;;
45.637181;5.912236;275.13;101.1;-1;0;2200;0.2;174.4;;;
45.638064;5.912003;274.26;101.1;-1;0;2200;0.3;174.3;;;
45.63895;5.911769;273.55;101.1;0;0;2200;0.4;174.2;;;
45.639833;5.911536;273.24;101.1;0;0;2200;0.5;174.1;;;
45.640719;5.911308;272.81;100.4;0;0;2200;0.6;174;;;
45.641606;5.911094;272.64;100.2;0;0;2200;0.7;173.9;;;
45.642494;5.910933;272.68;81.4;0;0;2200;0.8;173.8;;;
45.643317;5.910714;273.05;105;1;0;2200;0.9;173.7;;;
45.644197;5.91045;273.56;101.1;0;37;2163;1;173.6;;;
45.645081;5.910208;273.37;100.2;0;37;2163;1.1;173.5;;;
45.645967;5.909978;273.12;99.8;0;37;2163;1.2;173.4;7;;
45.646847;5.909731;273.34;102.4;1;37;2163;1.3;173.3;;;
45.647733;5.909497;273.97;99.8;0;38;2162;1.4;173.2;;;
45.648619;5.909269;274.11;100.4;3;39;2161;1.5;173.1;;;
45.648528;5.907997;277.73;-173;1;40;2160;1.6;173;;;
45.648403;5.906725;277.9;-173;0;40;2160;1.7;172.9;;;
45.648444;5.905456;276.88;162;-4;40;2160;1.8;172.8;;;
45.648881;5.904481;270.12;-174.8;-9;40;2160;1.9;172.7;;;
45.649103;5.903869;262.87;70.3;-3;40;2160;2;172.6;;;
45.649928;5.904075;258.96;118.7;-1;40;2160;2.1;172.5;;;
45.649842;5.902994;251.55;-121.3;-6;40;2160;2.2;172.4;;;
45.648967;5.90305;262.16;-93.6;3;40;2160;2.3;172.3;;;
45.648139;5.902633;258.28;-134.2;-5;40;2160;2.4;172.2;;;
45.647689;5.901531;251.17;-153.7;-7;40;2160;2.5;172.1;;;
45.647164;5.900514;243.83;-131.1;-7;40;2160;2.6;172;;;
45.646519;5.899628;237.11;-134.2;-5;40;2160;2.7;171.9;;;
45.646389;5.898392;234.92;176.1;-1;40;2160;2.8;171.8;;;
45.646528;5.897128;234.74;158.3;0;40;2160;2.9;171.7;;;
45.647086;5.896133;234.28;139.7;0;40;2160;3;171.6;;;
45.647714;5.895214;234.1;135.1;-1;40;2160;3.1;171.5;;;
45.647906;5.894078;233.14;-156.1;0;40;2160;3.2;171.4;;;
45.647569;5.892944;234.14;174.9;1;40;2160;3.3;171.3;8;;
45.648308;5.893067;234.14;87.3;0;40;2160;3.4;171.2;;;
45.649208;5.893069;234.33;90;0;40;2160;3.5;171.1;;;
45.650108;5.893106;234.6;87.3;0;40;2160;3.6;171;;;
45.650981;5.893003;234.68;130.9;1;40;2160;3.7;170.9;;;
45.651833;5.893217;235.65;87.3;1;41;2159;3.8;170.8;;;
45.652733;5.893278;236.3;86;1;41;2159;3.9;170.7;;;
45.653631;5.893369;236.5;84.2;-1;42;2158;4;170.6;;;
45.654522;5.893531;235.7;78.9;0;42;2158;4.1;170.5;;;
45.655331;5.894056;235.54;53.2;0;42;2158;4.2;170.4;;;
45.656131;5.894606;236.14;78.9;0;42;2158;4.3;170.3;;;
45.657022;5.894561;235.45;99.8;-1;42;2158;4.4;170.2;;;
45.657914;5.894456;235.31;87.3;0;42;2158;4.5;170.1;;;
45.658811;5.894528;235.43;86;0;42;2158;4.6;170;;;
45.659703;5.894689;235.47;81.1;0;42;2158;4.7;169.9;;;
45.660581;5.894972;235.57;71.8;0;42;2158;4.8;169.8;;;
45.661439;5.895356;235.34;73.3;0;42;2158;4.9;169.7;;;
45.662297;5.895742;235.15;72.4;0;42;2158;5;169.6;;;
45.663167;5.896008;235.01;83.7;0;42;2158;5.1;169.5;;;
45.664064;5.896089;235.08;90;0;42;2158;5.2;169.4;;;
45.664964;5.896022;235.07;94.8;0;42;2158;5.3;169.3;;;
45.665839;5.895753;235.27;106.3;0;42;2158;5.4;169.2;;;
45.666683;5.895308;235.13;112.8;0;42;2158;5.5;169.1;;;
45.6675;5.894833;235.16;132.9;0;42;2158;5.6;169;;;
45.668339;5.894769;235.21;98.9;-1;42;2158;5.7;168.9;;;
45.669192;5.894364;235.12;116.6;0;42;2158;5.8;168.8;;;
45.669931;5.893647;235.35;114.6;0;42;2158;5.9;168.7;;;
45.670817;5.893456;235.41;94.9;0;42;2158;6;168.6;;;
45.671717;5.893475;235.27;86.5;0;42;2158;6.1;168.5;;;
45.672614;5.893581;235.34;84.8;0;42;2158;6.2;168.4;;;
45.673511;5.893647;235.44;87.8;0;42;2158;6.3;168.3;;;
45.674408;5.893717;235.36;85.1;0;42;2158;6.4;168.2;;;
45.675306;5.893811;235.22;86.4;0;42;2158;6.5;168.1;;;
45.676206;5.893903;235.09;86.1;0;42;2158;6.6;168;;;
45.677103;5.893967;235.05;88.7;0;42;2158;6.7;167.9;;;
45.678;5.894039;235.09;87.3;0;42;2158;6.8;167.8;;;
45.6789;5.894061;235.11;90;0;42;2158;6.9;167.7;;;
45.6798;5.894011;235.34;91.3;0;42;2158;7;167.6;;;
45.680694;5.894111;235.27;82.3;0;42;2158;7.1;167.5;;;
45.681583;5.894308;235.04;81.5;0;42;2158;7.2;167.4;9;;
45.682472;5.894503;234.79;82.4;0;42;2158;7.3;167.3;;;
45.683367;5.894658;234.83;81.5;0;42;2158;7.4;167.2;;;
45.684192;5.894867;234.86;81.1;0;42;2158;7.5;167.1;;;
45.685083;5.895028;234.93;83.7;0;42;2158;7.6;167;;;
45.685978;5.895178;235.01;83.7;0;42;2158;7.7;166.9;;;
45.686781;5.895336;235.01;85.1;0;43;2157;7.8;166.8;;;
45.687675;5.895475;235.06;83.7;0;43;2157;7.9;166.7;;;
45.688569;5.895614;235.28;85;0;43;2157;8;166.6;;;
45.689467;5.895633;235.56;87.8;0;43;2157;8.1;166.5;;;
45.690367;5.895675;235.8;87.3;0;43;2157;8.2;166.4;10;;
45.691264;5.895761;235.66;85.1;0;43;2157;8.3;166.3;;;
45.692158;5.895914;236.29;82.6;1;44;2156;8.4;166.2;;;
45.693053;5.896031;236.52;83.7;0;44;2156;8.5;166.1;;;
45.693511;5.896325;236.86;-32.4;0;44;2156;8.6;166;;;
45.693878;5.897461;237.1;34.3;0;45;2155;8.7;165.9;;;
45.694169;5.898669;237.32;12.3;0;45;2155;8.8;165.8;;;
45.694308;5.899908;237.26;-7.2;0;45;2155;8.9;165.7;;;
45.694428;5.900953;237.25;12.9;0;45;2155;9;165.6;;;
45.694589;5.902214;237.33;9.1;0;45;2155;9.1;165.5;;;
45.694744;5.903478;237.2;8.5;0;45;2155;9.2;165.4;;;
45.694908;5.904742;237.19;10.1;0;45;2155;9.3;165.3;;;
45.695069;5.906006;237.75;8.3;2;46;2154;9.4;165.2;;;
45.694975;5.907231;239.38;-12.3;1;47;2153;9.5;165.1;;;
45.695669;5.907469;240.18;99;1;48;2152;9.6;165;;;
45.696558;5.907536;242.16;69.7;1;49;2151;9.7;164.9;;;
45.697322;5.907675;242.4;76.3;0;49;2151;9.8;164.8;;;
45.698194;5.907989;242.6;76.2;0;50;2150;9.9;164.7;;;
45.699067;5.9083;243.02;75.9;1;51;2149;10;164.6;;;
