latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
44.580064;6.082086;904.24;91.4;9;4;3496;0;127.87;5;real;
44.580244;6.082081;905.72;90.9;8;5;3495;0.02;127.85;;;
44.580425;6.082064;907.72;93.5;8;7;3493;0.04;127.83;;;
44.580603;6.082047;909.47;94.1;9;8;3492;0.06;127.81;;;
44.580783;6.082025;911.24;93.7;9;10;3490;0.08;127.79;;;
44.580961;6.082003;913.1;95;10;11;3489;0.1;127.77;;;
44.581136;6.081947;915.15;105.7;10;12;3488;0.12;127.75;;;
44.581317;6.08155;919.27;173;8;15;3485;0.16;127.71;;;
44.581311;6.0813;920.57;-176.1;7;17;3483;0.18;127.69;;;
44.581286;6.08105;921.59;-171.1;6;18;3482;0.2;127.67;;;
44.581261;6.0808;922.46;-174.9;5;20;3480;0.22;127.65;;;
44.58135;6.080606;923.43;129.3;5;21;3479;0.24;127.63;;;
44.581514;6.080658;924.69;58.7;6;23;3477;0.26;127.61;;;
44.581608;6.081142;926.17;19.3;7;26;3474;0.3;127.57;;;
44.581697;6.081358;927.57;36.1;7;27;3473;0.32;127.55;;;
44.581817;6.081544;929.37;47.6;8;29;3471;0.34;127.53;;;
44.58195;6.081714;931.06;48.6;8;31;3469;0.36;127.51;;;
44.582081;6.081886;932.78;47.6;9;32;3468;0.38;127.49;;;
44.582214;6.082056;934.61;47.2;9;34;3466;0.4;127.47;;;
44.582347;6.082228;936.72;47.1;10;35;3465;0.42;127.45;;;
44.582489;6.082378;939.03;58.5;9;37;3463;0.44;127.43;;;
44.582658;6.082378;941.21;105.8;9;39;3461;0.46;127.41;;;
44.582711;6.082147;942.61;174.9;8;40;3460;0.48;127.39;;;
44.582667;6.081906;944.09;-160.5;8;42;3458;0.5;127.37;;;
44.582597;6.081672;945.54;-156.6;7;43;3457;0.52;127.35;;;
44.582525;6.081442;946.95;-156.5;6;45;3455;0.54;127.33;;;
44.582328;6.080753;950.26;180;5;50;3450;0.6;127.27;;;
44.582447;6.080594;951.01;113.1;4;51;3449;0.62;127.25;;;
44.582592;6.080722;951.81;43.3;5;52;3448;0.64;127.23;;;
44.582675;6.080944;952.68;28;6;54;3446;0.66;127.21;;;
44.582761;6.081167;953.69;29.1;6;55;3445;0.68;127.19;;;
44.582861;6.081375;955.09;35.8;7;57;3443;0.7;127.17;;;
44.582981;6.081561;956.63;43.4;8;58;3442;0.72;127.15;;;
44.583114;6.081733;958.35;47.6;8;59;3441;0.74;127.13;;;
44.583247;6.0819;960.2;50.1;8;61;3439;0.76;127.11;;;
44.583381;6.082067;962.37;48.2;8;62;3438;0.78;127.09;;;
44.583517;6.082233;964.13;48.6;8;64;3436;0.8;127.07;;;
44.583653;6.082397;965.79;49.6;8;65;3435;0.82;127.05;;;
44.583786;6.082569;967.36;47.6;7;66;3434;0.84;127.03;;;
44.583908;6.082753;968.81;40;7;68;3432;0.86;127.01;;;
44.584019;6.082947;969.9;37;6;69;3431;0.88;126.99;;;
44.584136;6.083142;971.17;43;6;71;3429;0.9;126.97;;;
44.5843;6.083167;972.18;104;5;72;3428;0.92;126.95;;;
44.584325;6.082939;973.13;-172.6;5;73;3427;0.94;126.93;;;
