latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
44.580064;6.082086;904.24;91.4;9;4;3496;0;127.9;5;real;
44.580961;6.082003;913.1;95;10;11;3489;0.1;127.8;;;
44.581286;6.08105;921.59;-171.1;6;18;3482;0.2;127.7;;;
44.581608;6.081142;926.17;19.3;7;26;3474;0.3;127.6;;;
44.582214;6.082056;934.61;47.2;9;34;3466;0.4;127.5;;;
44.582667;6.081906;944.09;-160.5;8;42;3458;0.5;127.4;;;
44.582328;6.080753;950.26;180;5;50;3450;0.6;127.3;;;
44.582861;6.081375;955.09;35.8;7;57;3443;0.7;127.2;;;
44.583517;6.082233;964.13;48.6;8;64;3436;0.8;127.1;;;
44.584136;6.083142;971.17;43;6;71;3429;0.9;127;;;
44.583972;6.082369;976.14;-148.8;7;77;3423;1;126.9;;;
44.584286;6.0816;983.47;90;6;83;3417;1.1;126.8;;;
44.585186;6.081572;989.57;95;6;89;3411;1.2;126.7;;;
44.586083;6.081481;994.9;93.7;5;94;3406;1.3;126.6;;;
44.586981;6.081383;1000.21;94.1;6;100;3400;1.4;126.5;;;
44.587878;6.081283;1005.79;95;5;105;3395;1.5;126.4;;;
44.588775;6.081189;1011.28;97.7;7;113;3387;1.6;126.3;;;
44.589397;6.080406;1020.58;145.5;8;121;3379;1.7;126.2;;;
44.589964;6.081117;1028.76;31.9;9;128;3372;1.8;126.1;;;
44.590536;6.08195;1037.43;106.6;9;137;3363;1.9;126;;;
44.590778;6.080767;1046.06;169.2;10;146;3354;2;125.9;;;
44.591253;6.080422;1055.29;33.8;8;155;3345;2.1;125.8;;;
44.591783;6.081439;1063.13;35.3;8;163;3337;2.2;125.7;;;
44.592272;6.081447;1070.79;-174.2;9;172;3328;2.3;125.6;;;
44.592833;6.080731;1080.91;90.9;10;181;3319;2.4;125.5;;;
44.593731;6.080758;1091.21;89.1;9;190;3310;2.5;125.4;;;
44.594631;6.080678;1100.49;94.9;9;199;3301;2.6;125.3;;;
44.595483;6.080917;1108.32;56.4;7;208;3292;2.7;125.2;;;
44.596233;6.081611;1115.85;56.8;9;218;3282;2.8;125.1;;;
