latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.100981;6.008939;712.22;99.9;0;0;5450;0;170.81;5;real;
45.101158;6.008897;712.16;99.9;0;0;5450;0.02;170.79;;;
45.101336;6.008858;712.25;99;0;0;5450;0.04;170.77;;;
45.101514;6.008817;712.26;98.6;0;0;5450;0.06;170.75;;;
45.101692;6.008775;712.23;98.6;0;0;5450;0.08;170.73;;;
45.101869;6.008733;712.2;99.1;0;0;5450;0.1;170.71;;;
45.102047;6.008692;712.22;98.6;0;0;5450;0.12;170.69;;;
45.1024;6.008608;712.15;99;0;0;5450;0.16;170.65;;;
45.102578;6.008567;712.11;99.9;0;0;5450;0.18;170.63;;;
45.102756;6.008528;712.07;98.6;0;0;5450;0.2;170.61;;;
45.102933;6.008486;712.07;99.9;0;0;5450;0.22;170.59;;;
45.103111;6.008444;712.09;99;0;0;5450;0.24;170.57;;;
45.103289;6.0084;712.01;99.9;0;0;5450;0.26;170.55;;;
45.103644;6.008314;711.97;100;0;0;5450;0.3;170.51;;;
45.103822;6.008272;711.92;99;0;0;5450;0.32;170.49;;;
45.104;6.008233;711.88;99;0;0;5450;0.34;170.47;;;
45.104175;6.008192;711.85;98.9;0;0;5450;0.36;170.45;;;
45.104353;6.00815;711.8;98.6;0;0;5450;0.38;170.43;;;
45.104531;6.008106;711.77;99.9;0;0;5450;0.4;170.41;;;
45.104708;6.008064;711.82;99.9;0;0;5450;0.42;170.39;;;
45.104886;6.008022;711.77;99;0;0;5450;0.44;170.37;;;
45.105064;6.007978;711.74;99.9;0;0;5450;0.46;170.35;;;
45.105242;6.007933;711.77;100.3;0;0;5450;0.48;170.33;;;
45.105417;6.007889;711.77;99.9;0;0;5450;0.5;170.31;;;
45.105597;6.007853;711.79;97.1;0;0;5450;0.52;170.29;;;
45.105772;6.007811;711.8;99.9;0;0;5450;0.54;170.27;;;
45.106306;6.007686;711.71;99;0;0;5450;0.6;170.21;;;
45.106483;6.007644;711.7;100.3;0;0;5450;0.62;170.19;;;
45.106661;6.007603;711.71;99.9;0;0;5450;0.64;170.17;;;
45.106839;6.007561;711.74;99;0;0;5450;0.66;170.15;;;
45.107017;6.007519;711.72;100.3;0;0;5450;0.68;170.13;;;
45.107194;6.007478;711.74;100;0;0;5450;0.7;170.11;;;
45.107372;6.007439;711.75;98.6;0;0;5450;0.72;170.09;;;
45.10755;6.007397;711.69;99;0;0;5450;0.74;170.07;6;;
45.107728;6.007356;711.74;98.6;0;0;5450;0.76;170.05;;;
45.107903;6.007311;711.75;99.9;0;0;5450;0.78;170.03;;;
45.108081;6.007269;711.72;100.3;0;0;5450;0.8;170.01;;;
45.108258;6.007228;711.69;98.6;0;0;5450;0.82;169.99;;;
45.108436;6.007183;711.62;100.3;0;0;5450;0.84;169.97;;;
45.108614;6.007142;711.63;99.9;0;0;5450;0.86;169.95;;;
45.108792;6.0071;711.64;99.9;0;0;5450;0.88;169.93;;;
45.108969;6.007058;711.62;100.5;0;0;5450;0.9;169.91;;;
45.109147;6.007017;711.6;99.9;0;0;5450;0.92;169.89;;;
