latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
48.868422;2.311839;32.58;154.6;0;1;621;0;88.7;6;real;
48.8685;2.311594;32.57;154.3;0;1;621;0.02;88.68;;;
48.868575;2.311347;32.61;155.8;0;1;621;0.04;88.66;;;
48.868653;2.3111;32.7;154.1;0;1;621;0.06;88.64;;;
48.868736;2.310858;32.81;154.3;0;2;620;0.08;88.62;;;
48.868811;2.310611;32.91;154.1;1;2;620;0.1;88.6;;;
48.868889;2.310367;33.09;151.8;1;2;620;0.12;88.58;;;
48.869058;2.309886;33.33;152.6;1;2;620;0.16;88.54;;;
48.869142;2.309644;33.47;154.3;1;3;619;0.18;88.52;;;
48.869217;2.309397;33.64;155.8;1;3;619;0.2;88.5;;;
48.869294;2.30915;33.75;154.7;1;3;619;0.22;88.48;;;
48.869369;2.308903;34;155.8;1;4;618;0.24;88.46;;;
48.869447;2.308656;34.25;154.6;1;4;618;0.26;88.44;;;
48.869606;2.308167;34.74;154.1;1;4;618;0.3;88.4;;;
48.869686;2.307922;35;154.1;1;5;617;0.32;88.38;;;
48.869767;2.307678;35.23;152.4;1;5;617;0.34;88.36;;;
48.869844;2.307433;35.45;154.8;1;5;617;0.36;88.34;;;
48.869925;2.307189;35.8;152.4;1;6;616;0.38;88.32;;;
48.870003;2.306942;36.07;154.6;1;6;616;0.4;88.3;;;
48.870078;2.306694;36.3;154.6;1;6;616;0.42;88.28;;;
48.87015;2.306447;36.54;156.4;1;7;615;0.44;88.26;;;
48.870225;2.306197;36.74;154.6;1;7;615;0.46;88.24;;;
48.8703;2.305953;37.06;155.8;1;8;614;0.48;88.22;;;
48.870378;2.305706;37.41;154.1;2;8;614;0.5;88.2;;;
48.870453;2.305458;37.74;154.3;2;8;614;0.52;88.18;;;
48.870528;2.305211;38.11;155.8;2;9;613;0.54;88.16;;;
48.870761;2.304472;39.26;154.1;2;10;612;0.6;88.1;;;
48.870836;2.304225;39.69;154.1;2;11;611;0.62;88.08;;;
