latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
48.868422;2.311839;32.58;154.6;0;1;621;0;88.7;6;real;
48.868811;2.310611;32.91;154.1;1;2;620;0.1;88.6;;;
48.869217;2.309397;33.64;155.8;1;3;619;0.2;88.5;;;
48.869606;2.308167;34.74;154.1;1;4;618;0.3;88.4;;;
48.870003;2.306942;36.07;154.6;1;6;616;0.4;88.3;;;
48.870378;2.305706;37.41;154.1;2;8;614;0.5;88.2;;;
48.870761;2.304472;39.26;154.1;2;10;612;0.6;88.1;;;
48.871147;2.303242;41.43;154.1;2;13;609;0.7;88;;;
48.871539;2.302014;43.9;154.1;3;15;607;0.8;87.9;;;
48.871947;2.3008;46.55;152.9;3;18;604;0.9;87.8;;;
48.872342;2.299575;49.34;152.4;3;21;601;1;87.7;;;
48.872736;2.298353;52.05;154.1;3;24;598;1.1;87.6;;;
48.873131;2.297128;54.98;153.5;3;26;596;1.2;87.5;;;
48.8735;2.295883;57.51;156.4;1;26;596;1.3;87.4;;;
48.874286;2.295622;57.29;142.5;0;26;596;1.4;87.3;;;
48.874258;2.294367;57.37;-145.6;0;26;596;1.5;87.2;;;
48.87345;2.294228;57.53;-63.5;0;26;596;1.6;87.1;;;
48.873261;2.295453;57.64;25.9;-1;26;596;1.7;87;;;
48.873294;2.296564;56.06;-24.8;-2;26;596;1.8;86.9;;;
48.872914;2.2978;53.39;-25.9;-3;26;596;1.9;86.8;;;
48.872528;2.299031;50.46;-23.6;-3;26;596;2;86.7;;;
48.872125;2.300247;47.82;-23.6;-3;26;596;2.1;86.6;;;
48.871722;2.301467;45.07;-25.7;-3;26;596;2.2;86.5;;;
48.871325;2.302689;42.46;-25.9;-2;26;596;2.3;86.4;;;
48.870936;2.303919;40.18;-27.6;-2;26;596;2.4;86.3;;;
48.87055;2.305147;38.27;-24.2;-2;26;596;2.5;86.2;;;
48.870169;2.306383;36.63;-24.8;-1;26;596;2.6;86.1;;;
48.869786;2.307617;35.27;-25.7;-1;26;596;2.7;86;;;
48.869389;2.308842;34.09;-25.4;-1;26;596;2.8;85.9;;;
48.868994;2.310064;33.3;-29.7;-1;26;596;2.9;85.8;;;
48.868594;2.311283;32.61;-25.9;0;26;596;3;85.7;;;
48.868211;2.312517;32.52;-25.7;0;27;595;3.1;85.6;;;
48.867819;2.313744;32.79;-25.9;0;27;595;3.2;85.5;;;
48.867428;2.314969;32.73;-25.9;0;27;595;3.3;85.4;;;
48.867044;2.316203;32.7;-24.2;0;27;595;3.4;85.3;;;
48.866661;2.317436;32.64;-25.9;0;27;595;3.5;85.2;;;
48.866269;2.318664;32.62;-27.6;0;27;595;3.6;85.1;;;
48.865872;2.319886;32.63;-25.9;0;27;595;3.7;85;;;
