latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.100981;6.008939;712.22;99.9;0;0;5450;0;170.8;5;real;
45.101869;6.008733;712.2;99.1;0;0;5450;0.1;170.7;;;
45.102756;6.008528;712.07;98.6;0;0;5450;0.2;170.6;;;
45.103644;6.008314;711.97;100;0;0;5450;0.3;170.5;;;
45.104531;6.008106;711.77;99.9;0;0;5450;0.4;170.4;;;
45.105417;6.007889;711.77;99.9;0;0;5450;0.5;170.3;;;
45.106306;6.007686;711.71;99;0;0;5450;0.6;170.2;;;
45.107194;6.007478;711.74;100;0;0;5450;0.7;170.1;;;
45.108081;6.007269;711.72;100.3;0;0;5450;0.8;170;6;;
45.108969;6.007058;711.62;100.5;0;0;5450;0.9;169.9;;;
45.109856;6.00685;711.6;98.6;0;0;5450;1;169.8;;;
45.110744;6.006636;711.65;100;0;0;5450;1.1;169.7;;;
45.111631;6.006428;711.57;99.9;0;0;5450;1.2;169.6;;;
45.112517;6.006211;711.33;99;0;0;5450;1.3;169.5;;;
45.113406;6.006014;711.52;99.9;0;0;5450;1.4;169.4;7;;
45.114231;6.005564;711.85;124.8;-1;18;5432;1.5;169.3;;;
45.11445;6.006792;711.13;9;0;18;5432;1.6;169.2;;;
45.114564;6.008053;711.24;6.9;0;18;5432;1.7;169.1;;;
45.114692;6.009311;711.21;8.8;0;18;5432;1.8;169;;;
45.114822;6.010567;711.47;9;0;18;5432;1.9;168.9;;;
45.114947;6.011825;711.87;9;1;18;5432;2;168.8;;;
45.115369;6.012922;713.6;46.1;0;20;5430;2.1;168.7;;;
45.116081;6.0137;712.51;54.1;0;20;5430;2.2;168.6;;;
45.116794;6.014475;712.44;51.4;0;20;5430;2.3;168.5;;;
45.117478;6.0153;712.61;48.8;0;20;5430;2.4;168.4;;;
45.118161;6.016125;713.17;49.5;0;21;5429;2.5;168.3;;;
45.118842;6.016958;713.44;48.8;1;21;5429;2.6;168.2;;;
45.119481;6.01785;714.12;39.9;1;22;5428;2.7;168.1;8;;
45.119994;6.018892;715.37;31;1;23;5427;2.8;168;;;
45.120439;6.019997;716.36;31;0;24;5426;2.9;167.9;;;
45.120875;6.021106;716.71;20.1;1;25;5425;3;167.8;;;
45.1212;6.022275;718.57;36.1;1;26;5424;3.1;167.7;;;
45.121997;6.022794;719.46;72.7;0;27;5423;3.2;167.6;;;
45.122475;6.023814;717.97;20.1;0;27;5423;3.3;167.5;;;
45.122878;6.024944;717.91;29.9;0;27;5423;3.4;167.4;;;
