latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
43.739288;7.427747;50.8;0;5;0;137;0;9.35;4;real;
43.739406;7.42756;51.6;0;5;1;136;0.02;9.33;;;
43.739541;7.427399;52.7;0;4;2;135;0.04;9.31;;;
43.739707;7.427304;53.9;0;4;3;134;0.06;9.29;;;
43.739812;7.427104;54.8;0;4;4;133;0.08;9.27;;;
43.739919;7.426904;55.4;0;5;5;132;0.1;9.25;;;
43.740025;7.426703;56;0;5;5;132;0.12;9.23;;;
43.740237;7.426301;57.8;0;7;7;130;0.16;9.19;;;
43.740342;7.426098;59.1;0;8;8;129;0.18;9.17;;;
43.740447;7.425897;60.9;0;8;10;127;0.2;9.15;5;;
43.74058;7.425739;64;0;8;13;124;0.22;9.13;;;
43.740749;7.425795;66.7;0;8;16;121;0.24;9.11;;;
43.740899;7.425932;67.9;0;7;17;120;0.26;9.09;;;
43.741183;7.426236;69.3;0;3;18;119;0.3;9.05;;;
43.741311;7.426411;69.8;0;2;19;118;0.32;9.03;;;
43.741435;7.426591;70;0;1;19;118;0.34;9.01;;;
43.741563;7.426765;70.1;0;0;19;118;0.36;8.99;;;
43.741692;7.42694;69.7;0;0;19;118;0.38;8.97;;;
43.741819;7.427116;69.5;0;-1;19;118;0.4;8.95;6;;
43.741944;7.427295;69.4;0;-2;19;118;0.42;8.93;;;
43.742066;7.427477;69.2;0;-2;19;118;0.44;8.91;;;
43.742189;7.427659;68.9;0;-2;19;118;0.46;8.89;;;
43.742322;7.427825;68;0;-2;19;118;0.48;8.87;;;
43.742477;7.427949;67.1;0;-2;19;118;0.5;8.85;;;
43.742646;7.428034;66.6;0;-2;19;118;0.52;8.83;;;
43.742816;7.428114;66.3;0;-2;19;118;0.54;8.81;;;
43.743324;7.428366;65.6;0;-1;19;118;0.6;8.75;;;
43.743489;7.428467;65.4;0;-1;19;118;0.62;8.73;;;
43.743653;7.428569;65.3;0;-1;19;118;0.64;8.71;;;
43.743817;7.42867;65.1;0;-1;19;118;0.66;8.69;;;
43.743985;7.428757;65;0;-1;19;118;0.68;8.67;;;
43.744155;7.428841;64.8;0;-1;19;118;0.7;8.65;;;
43.744325;7.428922;64.6;0;-1;19;118;0.72;8.63;;;
43.744495;7.429002;64.5;0;-1;19;118;0.74;8.61;;;
43.744666;7.429081;64.4;0;-1;19;118;0.76;8.59;;;
43.744836;7.429161;64.2;0;-1;19;118;0.78;8.57;;;
43.745007;7.429238;64.1;0;-1;19;118;0.8;8.55;;;
43.745178;7.429316;64;0;-1;19;118;0.82;8.53;;;
43.745346;7.429403;63.9;0;-1;19;118;0.84;8.51;;;
43.745514;7.429495;63.8;0;-1;19;118;0.86;8.49;;;
43.745656;7.429642;63.5;0;-1;19;118;0.88;8.47;;;
43.745776;7.429828;63.3;0;-1;19;118;0.9;8.45;;;
43.745895;7.430015;63;0;-1;19;118;0.92;8.43;;;
43.746041;7.430154;62.9;0;-1;19;118;0.94;8.41;;;
43.746202;7.430264;63;0;-1;19;118;0.96;8.39;;;
43.746339;7.430422;62.9;0;-2;19;118;0.98;8.37;;;
43.746455;7.430612;62.5;0;-1;19;118;1;8.35;;;
43.74657;7.430804;61.9;0;-1;19;118;1.02;8.33;;;
43.746683;7.430998;61.2;0;-1;19;118;1.04;8.31;;;
43.746801;7.431185;60.9;0;-1;19;118;1.06;8.29;;;
43.746928;7.431362;60.8;0;0;19;118;1.08;8.27;;;
43.747725;7.43181;62;0;-1;21;116;1.18;8.17;;;
43.747834;7.432005;61.7;0;0;21;116;1.2;8.15;7;;
43.747975;7.432154;61.2;0;-1;21;116;1.22;8.13;;;
43.747882;7.432271;60.1;0;-1;21;116;1.24;8.11;;;
43.747824;7.432042;60.1;0;-2;21;116;1.26;8.09;;;
43.747719;7.431842;60.3;0;-1;21;116;1.28;8.07;;;
43.747551;7.431769;60.1;0;-1;21;116;1.3;8.05;;;
43.747371;7.431773;59.8;0;0;21;116;1.32;8.03;;;
43.747199;7.431717;59.6;0;0;21;116;1.34;8.01;;;
43.747056;7.431566;59.5;0;0;21;116;1.36;7.99;;;
43.746928;7.431392;59.5;0;0;21;116;1.38;7.97;;;
43.746801;7.431216;59.6;0;1;21;116;1.4;7.95;;;
43.746684;7.431026;59.9;0;2;21;116;1.42;7.93;;;
43.746569;7.430835;60.4;0;2;22;115;1.44;7.91;;;
43.746453;7.430645;60.9;0;2;22;115;1.46;7.89;;;
43.746335;7.430457;61.5;0;2;23;114;1.48;7.87;;;
43.746196;7.430301;62.4;0;2;24;113;1.5;7.85;;;
43.746037;7.430185;62.7;0;2;24;113;1.52;7.83;;;
43.745889;7.430046;63;0;2;25;112;1.54;7.81;;;
43.745763;7.429868;63.4;0;2;25;112;1.56;7.79;;;
43.745644;7.429681;63.9;0;1;25;112;1.58;7.77;;;
43.745506;7.429529;64.3;0;1;26;111;1.6;7.75;;;
43.74534;7.429435;64.5;0;1;26;111;1.62;7.73;;;
43.745171;7.42935;64.6;0;1;26;111;1.64;7.71;;;
43.745002;7.429264;64.8;0;1;26;111;1.66;7.69;;;
43.744833;7.42918;65.1;0;1;27;110;1.68;7.67;;;
43.744662;7.4291;65.2;0;1;27;110;1.7;7.65;;;
43.744492;7.42902;65.4;0;1;27;110;1.72;7.63;;;
43.744322;7.42894;65.6;0;1;27;110;1.74;7.61;;;
43.74415;7.428864;65.8;0;1;27;110;1.76;7.59;;;
43.74398;7.428783;66;0;1;28;109;1.78;7.57;;;
43.743813;7.428692;66.1;0;1;28;109;1.8;7.55;;;
43.743648;7.428592;66.4;0;1;28;109;1.82;7.53;;;
43.743484;7.428491;66.5;0;1;28;109;1.84;7.51;;;
43.743319;7.428391;66.6;0;1;28;109;1.86;7.49;;;
43.743153;7.428296;66.7;0;0;28;109;1.88;7.47;;;
43.742982;7.428218;66.7;0;0;28;109;1.9;7.45;;;
43.742812;7.428138;66.8;0;0;28;109;1.92;7.43;;;
43.742641;7.428059;66.8;0;0;28;109;1.94;7.41;;;
43.742472;7.427974;66.8;0;0;28;109;1.96;7.39;;;
43.742316;7.427853;66.9;0;0;28;109;1.98;7.37;;;
43.742185;7.427683;66.8;0;-1;28;109;2;7.35;;;
43.742061;7.427503;66.8;0;-2;28;109;2.02;7.33;;;
43.741938;7.427322;66.6;0;-3;28;109;2.04;7.31;;;
43.741814;7.427141;66.3;0;-4;28;109;2.06;7.29;;;
43.741684;7.426972;65.7;0;-5;28;109;2.08;7.27;;;
43.741514;7.427036;64.1;0;-7;28;109;2.1;7.25;8;;
43.741338;7.427043;61.8;0;-9;28;109;2.12;7.23;;;
43.741177;7.426932;60.4;0;-10;28;109;2.14;7.21;;;
43.741011;7.426843;59;0;-10;28;109;2.16;7.19;;;
43.740652;7.428259;42.5;0;-6;28;109;2.34;7.01;9;;
43.740796;7.428408;41.8;0;-6;28;109;2.36;6.99;;;
43.74094;7.428558;41.1;0;-6;28;109;2.38;6.97;;;
43.741079;7.428715;39.9;0;-5;28;109;2.4;6.95;;;
43.741082;7.428945;37.6;0;-5;28;109;2.42;6.93;;;
43.740949;7.429094;36;0;-5;28;109;2.44;6.91;;;
43.74077;7.429117;35.5;0;-6;28;109;2.46;6.89;;;
43.740609;7.429222;34.7;0;-5;28;109;2.48;6.87;;;
43.74046;7.429361;34.1;0;-4;28;109;2.5;6.85;;;
43.740295;7.429457;33.5;0;-4;28;109;2.52;6.83;;;
43.74022;7.429646;32.2;0;-4;28;109;2.54;6.81;;;
43.740366;7.429712;30.8;0;-4;28;109;2.56;6.79;;;
43.740496;7.429541;30.4;0;-5;28;109;2.58;6.77;;;
43.740639;7.42939;30.2;0;-6;28;109;2.6;6.75;10;;
43.740799;7.429293;29.1;0;-5;28;109;2.62;6.73;;;
43.740929;7.42944;27.4;0;-5;28;109;2.64;6.71;;;
43.741032;7.42964;25.9;0;-5;28;109;2.66;6.69;;;
