latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
42.513549;1.552719;1138;0;3;0;3579;0;104.47;2;real;
42.513682;1.552882;1139;0;3;1;3578;0.02;104.45;;;
42.513833;1.553015;1140;0;4;2;3577;0.04;104.43;;;
42.513986;1.553143;1140;0;4;2;3577;0.06;104.41;;;
42.514139;1.553272;1141;0;4;3;3576;0.08;104.39;;;
42.514295;1.553391;1142;0;4;3;3576;0.1;104.37;;;
42.514456;1.5535;1143;0;4;4;3575;0.12;104.35;;;
42.514785;1.553697;1144;0;5;6;3573;0.16;104.31;;;
42.514951;1.553792;1146;0;5;7;3572;0.18;104.29;;;
42.515118;1.553881;1147;0;5;9;3570;0.2;104.27;;;
42.515288;1.553961;1148;0;6;10;3569;0.22;104.25;;;
42.515458;1.554041;1149;0;6;11;3568;0.24;104.23;;;
42.515628;1.55412;1150;0;6;12;3567;0.26;104.21;;;
42.515986;1.554139;1153;0;6;15;3564;0.3;104.17;;;
42.516163;1.554108;1155;0;6;16;3563;0.32;104.15;;;
42.516333;1.554028;1155;0;6;17;3562;0.34;104.13;;;
42.516502;1.553947;1156;0;6;18;3561;0.36;104.11;;;
42.516679;1.553905;1157;0;6;19;3560;0.38;104.09;;;
42.516857;1.553911;1158;0;5;20;3559;0.4;104.07;;;
42.517029;1.553976;1159;0;5;21;3558;0.42;104.05;;;
42.517186;1.554091;1161;0;5;22;3557;0.44;104.03;;;
42.517335;1.554229;1162;0;5;24;3555;0.46;104.01;;;
42.517471;1.554386;1163;0;5;25;3554;0.48;103.99;;;
42.517599;1.554558;1164;0;6;26;3553;0.5;103.97;;;
42.51772;1.554738;1165;0;7;27;3552;0.52;103.95;;;
42.517823;1.554938;1166;0;7;27;3552;0.54;103.93;;;
42.517934;1.555583;1172;0;6;33;3546;0.6;103.87;;;
42.518094;1.555664;1173;0;6;35;3544;0.62;103.85;;;
42.518239;1.555808;1173;0;5;35;3544;0.64;103.83;;;
42.518375;1.555967;1174;0;3;35;3544;0.66;103.81;;;
42.518511;1.556127;1174;0;2;36;3543;0.68;103.79;;;
42.518647;1.556286;1174;0;1;36;3543;0.7;103.77;;;
42.518798;1.556419;1175;0;1;37;3542;0.72;103.75;;;
42.518949;1.556551;1175;0;1;37;3542;0.74;103.73;;;
42.519106;1.556668;1175;0;1;37;3542;0.76;103.71;;;
42.519275;1.556753;1175;0;1;37;3542;0.78;103.69;;;
42.519435;1.556863;1175;0;1;37;3542;0.8;103.67;;;
42.519596;1.556972;1176;0;0;37;3542;0.82;103.65;;;
42.51975;1.557098;1176;0;0;37;3542;0.84;103.63;;;
42.519896;1.557239;1176;0;0;38;3541;0.86;103.61;;;
42.520043;1.557381;1176;0;0;38;3541;0.88;103.59;;;
42.520189;1.557523;1176;0;0;38;3541;0.9;103.57;;;
42.520335;1.557665;1176;0;1;38;3541;0.92;103.55;;;
42.520479;1.557812;1176;0;1;38;3541;0.94;103.53;;;
42.520623;1.557958;1176;0;1;38;3541;0.96;103.51;;;
42.520767;1.558105;1176;0;1;38;3541;0.98;103.49;;;
42.520909;1.558255;1176;0;1;38;3541;1;103.47;;;
42.521047;1.55841;1177;0;1;38;3541;1.02;103.45;;;
42.521186;1.558565;1177;0;1;38;3541;1.04;103.43;;;
42.521325;1.558721;1177;0;0;38;3541;1.06;103.41;;;
42.521456;1.558887;1177;0;0;39;3540;1.08;103.39;;;
42.522054;1.559796;1177;0;1;39;3540;1.18;103.29;;;
42.522168;1.559985;1177;0;1;39;3540;1.2;103.27;;;
42.522283;1.560173;1177;0;1;39;3540;1.22;103.25;;;
42.522398;1.560361;1178;0;1;39;3540;1.24;103.23;;;
42.522512;1.560549;1178;0;1;40;3539;1.26;103.21;;;
42.522626;1.560738;1178;0;1;40;3539;1.28;103.19;;;
42.522752;1.560911;1178;0;1;40;3539;1.3;103.17;;;
42.52288;1.561083;1178;0;2;40;3539;1.32;103.15;;;
42.523009;1.561254;1179;0;2;41;3538;1.34;103.13;;;
42.523137;1.561425;1179;0;2;41;3538;1.36;103.11;;;
42.523275;1.56158;1180;0;2;42;3537;1.38;103.09;;;
42.523423;1.561719;1180;0;2;42;3537;1.4;103.07;;;
42.523571;1.561858;1180;0;2;42;3537;1.42;103.05;;;
42.523721;1.561991;1181;0;2;43;3536;1.44;103.03;;;
42.523877;1.562112;1181;0;3;43;3536;1.46;103.01;;;
42.524034;1.562233;1182;0;3;44;3535;1.48;102.99;;;
42.524183;1.562369;1182;0;3;44;3535;1.5;102.97;;;
42.524332;1.562505;1183;0;3;45;3534;1.52;102.95;;;
42.524466;1.562668;1184;0;3;46;3533;1.54;102.93;;;
42.524574;1.562862;1185;0;4;46;3533;1.56;102.91;;;
42.524662;1.563074;1185;0;4;47;3532;1.58;102.89;;;
42.524738;1.563295;1186;0;4;48;3531;1.6;102.87;;;
42.524808;1.56352;1187;0;5;49;3530;1.62;102.85;;;
42.524877;1.563745;1188;0;6;49;3530;1.64;102.83;;;
42.524946;1.56397;1188;0;7;50;3529;1.66;102.81;;;
42.525015;1.564196;1189;0;7;51;3528;1.68;102.79;;;
42.525034;1.564432;1192;0;8;54;3525;1.7;102.77;3;;
42.525139;1.564615;1195;0;8;56;3523;1.72;102.75;;;
42.525203;1.564843;1196;0;9;58;3521;1.74;102.73;;;
42.525271;1.565069;1198;0;9;59;3520;1.76;102.71;;;
42.52535;1.565288;1199;0;8;61;3518;1.78;102.69;;;
42.525428;1.565507;1201;0;7;63;3516;1.8;102.67;4;;
42.525528;1.56571;1202;0;7;64;3515;1.82;102.65;;;
42.525628;1.565913;1203;0;7;65;3514;1.84;102.63;;;
42.52573;1.566114;1205;0;6;67;3512;1.86;102.61;;;
42.525837;1.56631;1206;0;6;68;3511;1.88;102.59;;;
42.525964;1.566483;1207;0;6;69;3510;1.9;102.57;;;
42.526095;1.56665;1208;0;6;70;3509;1.92;102.55;;;
42.526226;1.566817;1209;0;6;71;3508;1.94;102.53;;;
42.526357;1.566984;1210;0;6;72;3507;1.96;102.51;;;
42.526488;1.567151;1211;0;6;73;3506;1.98;102.49;;;
42.526619;1.567318;1212;0;6;74;3505;2;102.47;;;
42.52675;1.567485;1214;0;6;76;3503;2.02;102.45;;;
42.526874;1.567663;1215;0;7;77;3502;2.04;102.43;;;
42.526989;1.56785;1216;0;7;78;3501;2.06;102.41;;;
42.527089;1.568052;1218;0;7;80;3499;2.08;102.39;;;
42.527189;1.568255;1220;0;7;81;3498;2.1;102.37;;;
42.527289;1.568458;1221;0;8;83;3496;2.12;102.35;;;
42.527393;1.568657;1223;0;8;84;3495;2.14;102.33;;;
42.527498;1.568855;1224;0;8;86;3493;2.16;102.31;;;
42.52854;1.570533;1237;0;7;99;3480;2.34;102.13;;;
42.52866;1.570715;1238;0;7;100;3479;2.36;102.11;;;
42.528779;1.570898;1240;0;8;102;3477;2.38;102.09;;;
42.528902;1.571077;1241;0;8;103;3476;2.4;102.07;;;
42.529029;1.571249;1242;0;8;104;3475;2.42;102.05;;;
42.529157;1.571421;1244;0;8;105;3474;2.44;102.03;;;
42.529229;1.57164;1247;0;8;109;3470;2.46;102.01;;;
42.529279;1.571875;1248;0;8;110;3469;2.48;101.99;;;
42.529312;1.572114;1250;0;8;111;3468;2.5;101.97;;;
42.529334;1.572356;1251;0;7;113;3466;2.52;101.95;;;
42.52938;1.572591;1253;0;6;115;3464;2.54;101.93;;;
42.529472;1.572801;1254;0;6;116;3463;2.56;101.91;;;
42.529584;1.572988;1255;0;5;116;3463;2.58;101.89;;;
42.529717;1.573152;1255;0;4;117;3462;2.6;101.87;;;
42.529869;1.573281;1256;0;4;118;3461;2.62;101.85;;;
42.530037;1.573368;1257;0;4;119;3460;2.64;101.83;;;
42.530206;1.573452;1258;0;4;120;3459;2.66;101.81;;;
42.530374;1.573537;1258;0;4;120;3459;2.68;101.79;;;
42.530527;1.573662;1259;0;4;121;3458;2.7;101.77;;;
42.530669;1.573811;1260;0;4;122;3457;2.72;101.75;;;
42.530799;1.57398;1261;0;4;123;3456;2.74;101.73;;;
42.530926;1.574153;1262;0;4;123;3456;2.76;101.71;;;
42.531036;1.574345;1262;0;4;124;3455;2.78;101.69;;;
42.531135;1.574549;1263;0;4;125;3454;2.8;101.67;;;
42.531233;1.574754;1264;0;4;126;3453;2.82;101.65;;;
42.531315;1.574971;1264;0;3;126;3453;2.84;101.63;;;
42.531384;1.575195;1265;0;3;127;3452;2.86;101.61;;;
42.53143;1.575431;1266;0;3;128;3451;2.88;101.59;;;
42.531476;1.575668;1266;0;3;128;3451;2.9;101.57;;;
42.531521;1.575904;1267;0;3;129;3450;2.92;101.55;;;
42.531567;1.57614;1268;0;3;130;3449;2.94;101.53;;;
42.531613;1.576376;1268;0;3;130;3449;2.96;101.51;;;
42.531649;1.576615;1269;0;3;131;3448;2.98;101.49;;;
42.531679;1.576855;1269;0;3;131;3448;3;101.47;;;
42.531709;1.577096;1270;0;3;132;3447;3.02;101.45;;;
42.531735;1.577337;1271;0;3;133;3446;3.04;101.43;;;
42.531759;1.577579;1271;0;3;133;3446;3.06;101.41;;;
42.531768;1.577823;1272;0;3;134;3445;3.08;101.39;;;
42.531776;1.578067;1272;0;3;134;3445;3.1;101.37;;;
42.531785;1.578311;1273;0;3;135;3444;3.12;101.35;;;
42.531793;1.578555;1274;0;3;136;3443;3.14;101.33;;;
42.531796;1.578798;1274;0;4;136;3443;3.16;101.31;;;
42.531786;1.579042;1275;0;5;137;3442;3.18;101.29;;;
42.531776;1.579286;1276;0;6;138;3441;3.2;101.27;;;
42.531766;1.579529;1277;0;7;139;3440;3.22;101.25;;;
42.531821;1.579721;1279;0;7;140;3439;3.24;101.23;;;
42.531872;1.579926;1281;0;7;143;3436;3.26;101.21;;;
42.531748;1.580074;1283;0;7;145;3434;3.28;101.19;;;
42.531741;1.580318;1284;0;7;146;3433;3.3;101.17;;;
42.531733;1.580562;1285;0;6;147;3432;3.32;101.15;;;
42.531725;1.580806;1286;0;5;148;3431;3.34;101.13;;;
42.531717;1.58105;1287;0;4;148;3431;3.36;101.11;;;
42.531709;1.581294;1288;0;4;149;3430;3.38;101.09;;;
42.531701;1.581537;1288;0;5;150;3429;3.4;101.07;;;
42.531693;1.581781;1289;0;5;151;3428;3.42;101.05;;;
42.531685;1.582025;1290;0;5;152;3427;3.44;101.03;;;
42.531685;1.582269;1291;0;5;153;3426;3.46;101.01;;;
42.531708;1.582511;1292;0;5;154;3425;3.48;100.99;;;
42.531747;1.582748;1293;0;5;155;3424;3.5;100.97;;;
42.531803;1.58298;1294;0;5;156;3423;3.52;100.95;;;
42.531885;1.583197;1295;0;5;157;3422;3.54;100.93;;;
42.531991;1.583393;1296;0;5;158;3421;3.56;100.91;;;
42.532106;1.583581;1297;0;5;159;3420;3.58;100.89;;;
42.53222;1.583769;1298;0;5;160;3419;3.6;100.87;;;
42.532342;1.583948;1299;0;5;161;3418;3.62;100.85;;;
42.532479;1.584105;1300;0;5;162;3417;3.64;100.83;;;
42.532617;1.584262;1301;0;5;163;3416;3.66;100.81;;;
42.532755;1.584418;1302;0;5;164;3415;3.68;100.79;;;
42.532897;1.584568;1303;0;5;165;3414;3.7;100.77;;;
42.533038;1.584719;1305;0;5;166;3413;3.72;100.75;;;
42.533174;1.584878;1306;0;6;167;3412;3.74;100.73;;;
42.533276;1.585079;1307;0;6;168;3411;3.76;100.71;;;
42.533378;1.58528;1308;0;6;170;3409;3.78;100.69;;;
42.53348;1.585481;1309;0;6;171;3408;3.8;100.67;;;
42.533609;1.585648;1311;0;7;172;3407;3.82;100.65;;;
42.533767;1.585764;1312;0;7;174;3405;3.84;100.63;;;
42.533916;1.585898;1313;0;7;175;3404;3.86;100.61;;;
42.534045;1.586066;1315;0;7;177;3402;3.88;100.59;;;
42.534156;1.586257;1316;0;6;178;3401;3.9;100.57;;;
42.534255;1.586462;1318;0;6;180;3399;3.92;100.55;;;
42.534352;1.586667;1319;0;6;181;3398;3.94;100.53;;;
42.53445;1.586871;1320;0;6;182;3397;3.96;100.51;;;
42.534548;1.587076;1321;0;6;183;3396;3.98;100.49;;;
42.534661;1.587266;1322;0;6;184;3395;4;100.47;;;
42.534889;1.587643;1324;0;9;186;3393;4.04;100.43;;;
42.535126;1.588007;1327;0;9;189;3390;4.08;100.39;;;
