latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
41.121369;0.791409;268;0;-1;0;1529;0;173.13;3;real;
41.12124;0.791243;268;0;-1;0;1529;0.02;173.11;;;
41.12111;0.791078;268;0;-1;0;1529;0.04;173.09;;;
41.12098;0.790912;268;0;-1;0;1529;0.06;173.07;;;
41.120846;0.790754;268;0;-1;0;1529;0.08;173.05;;;
41.120704;0.790607;267;0;-1;0;1529;0.1;173.03;;;
41.120562;0.79046;267;0;-1;0;1529;0.12;173.01;;;
41.120275;0.790173;267;0;-1;0;1529;0.16;172.97;;;
41.120128;0.790035;267;0;-1;0;1529;0.18;172.95;;;
41.119971;0.789919;266;0;-1;0;1529;0.2;172.93;;;
41.119811;0.78981;266;0;-1;0;1529;0.22;172.91;;;
41.119643;0.789724;266;0;0;0;1529;0.24;172.89;;;
41.119476;0.789638;266;0;0;0;1529;0.26;172.87;;;
41.119124;0.789539;266;0;0;0;1529;0.3;172.83;;;
41.118946;0.789506;266;0;1;0;1529;0.32;172.81;;;
41.118767;0.789476;266;0;1;0;1529;0.34;172.79;;;
41.118589;0.789447;266;0;1;0;1529;0.36;172.77;;;
41.11841;0.789417;267;0;1;1;1528;0.38;172.75;;;
41.118232;0.789388;267;0;1;1;1528;0.4;172.73;;;
41.118053;0.789359;267;0;1;1;1528;0.42;172.71;;;
41.117875;0.78933;267;0;2;2;1527;0.44;172.69;;;
41.117696;0.789301;268;0;2;2;1527;0.46;172.67;;;
41.117518;0.789272;268;0;2;2;1527;0.48;172.65;;;
41.11734;0.789234;269;0;2;3;1526;0.5;172.63;;;
41.117164;0.789189;269;0;3;3;1526;0.52;172.61;;;
41.116987;0.789143;270;0;3;4;1525;0.54;172.59;;;
41.116463;0.788977;272;0;3;6;1523;0.6;172.53;;;
41.116293;0.788898;273;0;3;7;1522;0.62;172.51;;;
41.116127;0.788807;273;0;3;7;1522;0.64;172.49;;;
41.115973;0.788688;274;0;3;8;1521;0.66;172.47;;;
41.115826;0.788551;274;0;3;8;1521;0.68;172.45;;;
41.115679;0.788413;275;0;3;9;1520;0.7;172.43;;;
41.115531;0.788276;275;0;3;9;1520;0.72;172.41;;;
41.115384;0.788139;276;0;3;10;1519;0.74;172.39;;;
41.115235;0.788006;277;0;3;11;1518;0.76;172.37;;;
41.115083;0.787878;277;0;3;11;1518;0.78;172.35;;;
41.114931;0.787749;278;0;2;12;1517;0.8;172.33;;;
41.114777;0.787627;278;0;2;12;1517;0.82;172.31;;;
41.114623;0.787504;279;0;2;13;1516;0.84;172.29;;;
41.114468;0.787382;279;0;2;13;1516;0.86;172.27;;;
41.114314;0.787259;279;0;1;13;1516;0.88;172.25;;;
41.114159;0.787138;280;0;1;14;1515;0.9;172.23;;;
41.114005;0.787015;280;0;1;14;1515;0.92;172.21;;;
41.11385;0.786893;280;0;1;14;1515;0.94;172.19;;;
41.113694;0.786773;280;0;0;14;1515;0.96;172.17;;;
41.113539;0.786653;280;0;0;14;1515;0.98;172.15;;;
41.113383;0.786534;280;0;0;14;1515;1;172.13;;;
41.113228;0.786414;280;0;0;14;1515;1.02;172.11;;;
41.113072;0.786294;280;0;0;14;1515;1.04;172.09;;;
41.112917;0.786174;280;0;-1;14;1515;1.06;172.07;;;
41.112761;0.786054;280;0;-1;14;1515;1.08;172.05;;;
41.111983;0.785455;279;0;-2;14;1515;1.18;171.95;;;
41.111828;0.785335;278;0;-2;14;1515;1.2;171.93;;;
41.111672;0.785215;278;0;-2;14;1515;1.22;171.91;;;
41.111517;0.785096;277;0;-2;14;1515;1.24;171.89;;;
41.111363;0.78497;276;0;-2;14;1515;1.26;171.87;;;
41.111211;0.784844;276;0;-2;14;1515;1.28;171.85;;;
41.111054;0.784727;275;0;-2;14;1515;1.3;171.83;;;
41.110896;0.784613;275;0;-2;14;1515;1.32;171.81;;;
41.110738;0.7845;275;0;-2;14;1515;1.34;171.79;;;
41.110573;0.784406;274;0;-2;14;1515;1.36;171.77;;;
41.110406;0.784317;274;0;-3;14;1515;1.38;171.75;;;
41.110237;0.784237;273;0;-3;14;1515;1.4;171.73;;;
41.110061;0.784186;273;0;-3;14;1515;1.42;171.71;;;
41.109884;0.784153;272;0;-3;14;1515;1.44;171.69;;;
41.109704;0.78414;271;0;-3;14;1515;1.46;171.67;;;
41.109524;0.784131;271;0;-3;14;1515;1.48;171.65;;;
41.109345;0.784143;270;0;-3;14;1515;1.5;171.63;;;
41.109165;0.784154;270;0;-3;14;1515;1.52;171.61;;;
41.108985;0.784165;269;0;-2;14;1515;1.54;171.59;;;
41.108806;0.784177;269;0;-2;14;1515;1.56;171.57;;;
41.108626;0.784188;268;0;-3;14;1515;1.58;171.55;;;
41.108446;0.784199;268;0;-3;14;1515;1.6;171.53;;;
