latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
38.664319;-2.537449;834;0;-1;0;2595;0;184.54;3;real;
38.664326;-2.537679;834;0;-1;0;2595;0.02;184.52;;;
38.664334;-2.537909;834;0;-1;0;2595;0.04;184.5;;;
38.664342;-2.538139;834;0;-1;0;2595;0.06;184.48;;;
38.664349;-2.538370;833;0;-1;0;2595;0.08;184.46;;;
38.664356;-2.538600;833;0;-1;0;2595;0.1;184.44;;;
38.664364;-2.538830;833;0;-1;0;2595;0.12;184.42;;;
38.664379;-2.539290;832;0;-1;0;2595;0.16;184.38;;;
38.664387;-2.539520;832;0;-1;0;2595;0.18;184.36;;;
38.664394;-2.539750;832;0;-1;0;2595;0.2;184.34;;;
38.664402;-2.539981;832;0;-1;0;2595;0.22;184.32;;;
38.664409;-2.540211;831;0;-1;0;2595;0.24;184.3;;;
38.664414;-2.540441;831;0;-1;0;2595;0.26;184.28;;;
38.664424;-2.540902;831;0;-1;0;2595;0.3;184.24;;;
38.664429;-2.541132;830;0;-1;0;2595;0.32;184.22;;;
38.664434;-2.541362;830;0;-1;0;2595;0.34;184.2;;;
38.664439;-2.541592;830;0;-1;0;2595;0.36;184.18;;;
38.664444;-2.541823;830;0;-1;0;2595;0.38;184.16;;;
38.664449;-2.542053;830;0;-1;0;2595;0.4;184.14;;;
38.664454;-2.542283;829;0;-1;0;2595;0.42;184.12;;;
38.664459;-2.542513;829;0;-1;0;2595;0.44;184.1;;;
38.664464;-2.542744;829;0;-1;0;2595;0.46;184.08;;;
38.664469;-2.542974;829;0;-1;0;2595;0.48;184.06;;;
38.664471;-2.543204;828;0;-1;0;2595;0.5;184.04;;;
38.664473;-2.543435;828;0;-1;0;2595;0.52;184.02;;;
38.664475;-2.543665;828;0;-1;0;2595;0.54;184;;;
38.664481;-2.544356;827;0;-1;0;2595;0.6;183.94;;;
38.664483;-2.544586;827;0;-1;0;2595;0.62;183.92;;;
38.664485;-2.544817;827;0;-1;0;2595;0.64;183.9;;;
38.664487;-2.545047;826;0;-1;0;2595;0.66;183.88;;;
38.664488;-2.545277;826;0;-1;0;2595;0.68;183.86;;;
38.664483;-2.545508;826;0;-1;0;2595;0.7;183.84;;;
38.664463;-2.545736;826;0;-1;0;2595;0.72;183.82;;;
38.664422;-2.545960;825;0;-1;0;2595;0.74;183.8;;;
38.664363;-2.546177;825;0;-1;0;2595;0.76;183.78;;;
38.664303;-2.546394;825;0;-1;0;2595;0.78;183.76;;;
38.664213;-2.546591;825;0;-1;0;2595;0.8;183.74;;;
38.664099;-2.546769;824;0;-1;0;2595;0.82;183.72;;;
38.663981;-2.546943;824;0;-1;0;2595;0.84;183.7;;;
38.663862;-2.547116;824;0;-1;0;2595;0.86;183.68;;;
38.663745;-2.547291;824;0;0;0;2595;0.88;183.66;;;
38.663627;-2.547464;824;0;0;0;2595;0.9;183.64;;;
38.663507;-2.547636;824;0;0;0;2595;0.92;183.62;;;
38.663386;-2.547806;824;0;0;0;2595;0.94;183.6;;;
38.663265;-2.547977;824;0;0;0;2595;0.96;183.58;;;
38.663144;-2.548147;824;0;0;0;2595;0.98;183.56;;;
38.663022;-2.548317;824;0;0;0;2595;1;183.54;;;
38.662901;-2.548487;824;0;0;0;2595;1.02;183.52;;;
38.662780;-2.548657;824;0;0;0;2595;1.04;183.5;;;
38.662659;-2.548827;824;0;0;0;2595;1.06;183.48;;;
38.662537;-2.548997;824;0;0;0;2595;1.08;183.46;;;
38.661902;-2.549812;825;0;1;1;2594;1.18;183.36;;;
38.661765;-2.549962;825;0;1;1;2594;1.2;183.34;;;
38.661628;-2.550111;825;0;1;1;2594;1.22;183.32;;;
38.661491;-2.550260;825;0;1;1;2594;1.24;183.3;;;
38.661354;-2.550409;825;0;1;1;2594;1.26;183.28;;;
38.661218;-2.550559;825;0;1;1;2594;1.28;183.26;;;
38.661081;-2.550709;825;0;1;1;2594;1.3;183.24;;;
38.660944;-2.550858;826;0;1;2;2593;1.32;183.22;;;
38.660807;-2.551007;826;0;1;2;2593;1.34;183.2;;;
38.660670;-2.551157;826;0;1;2;2593;1.36;183.18;;;
38.660534;-2.551307;826;0;1;2;2593;1.38;183.16;;;
38.660397;-2.551456;826;0;1;2;2593;1.4;183.14;;;
38.660260;-2.551605;826;0;1;2;2593;1.42;183.12;;;
38.660123;-2.551755;827;0;1;3;2592;1.44;183.1;;;
38.659986;-2.551905;827;0;1;3;2592;1.46;183.08;;;
38.659849;-2.552054;827;0;1;3;2592;1.48;183.06;;;
38.659712;-2.552203;827;0;1;3;2592;1.5;183.04;;;
38.659575;-2.552353;827;0;1;3;2592;1.52;183.02;;;
38.659439;-2.552502;827;0;1;3;2592;1.54;183;;;
38.659302;-2.552652;827;0;1;3;2592;1.56;182.98;;;
38.659165;-2.552801;827;0;0;3;2592;1.58;182.96;;;
38.659028;-2.552950;827;0;0;3;2592;1.6;182.94;;;
38.658897;-2.553109;828;0;0;4;2591;1.62;182.92;;;
38.658767;-2.553267;828;0;0;4;2591;1.64;182.9;;;
38.658650;-2.553443;828;0;0;4;2591;1.66;182.88;;;
38.658539;-2.553624;828;0;0;4;2591;1.68;182.86;;;
38.658436;-2.553812;828;0;0;4;2591;1.7;182.84;;;
38.658333;-2.554001;828;0;0;4;2591;1.72;182.82;;;
38.658230;-2.554190;828;0;0;4;2591;1.74;182.8;;;
38.658127;-2.554378;828;0;0;4;2591;1.76;182.78;;;
38.658023;-2.554567;828;0;0;4;2591;1.78;182.76;;;
38.657920;-2.554755;828;0;0;4;2591;1.8;182.74;;;
38.657816;-2.554944;828;0;0;4;2591;1.82;182.72;;;
38.657713;-2.555132;828;0;0;4;2591;1.84;182.7;;;
38.657610;-2.555321;828;0;0;4;2591;1.86;182.68;;;
38.657507;-2.555510;828;0;0;4;2591;1.88;182.66;;;
38.657404;-2.555698;828;0;0;4;2591;1.9;182.64;;;
38.657301;-2.555887;827;0;0;4;2591;1.92;182.62;;;
38.657197;-2.556076;827;0;0;4;2591;1.94;182.6;;;
38.657094;-2.556264;827;0;-1;4;2591;1.96;182.58;;;
38.656990;-2.556453;827;0;-1;4;2591;1.98;182.56;;;
38.656886;-2.556640;827;0;-1;4;2591;2;182.54;;;
38.656770;-2.556816;827;0;-1;4;2591;2.02;182.52;;;
38.656641;-2.556976;827;0;-1;4;2591;2.04;182.5;;;
38.656505;-2.557126;826;0;-1;4;2591;2.06;182.48;;;
38.656368;-2.557276;826;0;-1;4;2591;2.08;182.46;;;
38.656232;-2.557426;826;0;-1;4;2591;2.1;182.44;;;
38.656095;-2.557576;826;0;-1;4;2591;2.12;182.42;;;
38.655959;-2.557726;826;0;-1;4;2591;2.14;182.4;;;
38.655823;-2.557876;825;0;-1;4;2591;2.16;182.38;;;
38.654594;-2.559226;823;0;-1;4;2591;2.34;182.2;;;
38.654457;-2.559376;823;0;-1;4;2591;2.36;182.18;;;
38.654316;-2.559518;823;0;-1;4;2591;2.38;182.16;;;
38.654172;-2.559656;822;0;-1;4;2591;2.4;182.14;;;
38.654027;-2.559792;822;0;-1;4;2591;2.42;182.12;;;
38.653873;-2.559910;822;0;-1;4;2591;2.44;182.1;;;
38.653717;-2.560026;822;0;-1;4;2591;2.46;182.08;;;
38.653561;-2.560142;822;0;-1;4;2591;2.48;182.06;;;
38.653406;-2.560257;821;0;-1;4;2591;2.5;182.04;;;
38.653250;-2.560372;821;0;-1;4;2591;2.52;182.02;;;
38.653094;-2.560487;821;0;-1;4;2591;2.54;182;;;
38.652939;-2.560603;821;0;-1;4;2591;2.56;181.98;;;
38.652783;-2.560718;820;0;-1;4;2591;2.58;181.96;;;
38.652627;-2.560833;820;0;-1;4;2591;2.6;181.94;;;
38.652471;-2.560948;820;0;-1;4;2591;2.62;181.92;;;
38.652316;-2.561063;820;0;-1;4;2591;2.64;181.9;;;
38.652160;-2.561179;820;0;-1;4;2591;2.66;181.88;;;
38.652005;-2.561295;819;0;-1;4;2591;2.68;181.86;;;
38.651849;-2.561410;819;0;-1;4;2591;2.7;181.84;;;
38.651693;-2.561525;819;0;-1;4;2591;2.72;181.82;;;
38.651537;-2.561641;819;0;-1;4;2591;2.74;181.8;;;
38.651382;-2.561756;818;0;-1;4;2591;2.76;181.78;;;
38.651226;-2.561871;818;0;-1;4;2591;2.78;181.76;;;
38.651070;-2.561986;818;0;-1;4;2591;2.8;181.74;;;
38.650915;-2.562103;818;0;-1;4;2591;2.82;181.72;;;
38.650760;-2.562220;818;0;-1;4;2591;2.84;181.7;;;
38.650605;-2.562336;818;0;-1;4;2591;2.86;181.68;;;
38.650450;-2.562453;817;0;-1;4;2591;2.88;181.66;;;
38.650295;-2.562570;817;0;-1;4;2591;2.9;181.64;;;
38.650140;-2.562687;817;0;-1;4;2591;2.92;181.62;;;
