latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.609559;-0.938649;41;0;1;0;1248;0;153.68;3;real;
37.609567;-0.938422;41;0;1;0;1248;0.02;153.66;;;
37.609575;-0.938195;41;0;1;0;1248;0.04;153.64;;;
37.609583;-0.937969;41;0;1;0;1248;0.06;153.62;;;
37.609590;-0.937742;42;0;1;1;1247;0.08;153.6;;;
37.609598;-0.937515;42;0;1;1;1247;0.1;153.58;;;
37.609606;-0.937288;42;0;1;1;1247;0.12;153.56;;;
37.609621;-0.936834;43;0;2;2;1246;0.16;153.52;;;
37.609629;-0.936607;43;0;2;2;1246;0.18;153.5;;;
37.609637;-0.936381;44;0;2;3;1245;0.2;153.48;;;
37.609645;-0.936154;44;0;2;3;1245;0.22;153.46;;;
37.609653;-0.935927;44;0;2;3;1245;0.24;153.44;;;
37.609660;-0.935700;45;0;2;4;1244;0.26;153.42;;;
37.609676;-0.935246;45;0;2;4;1244;0.3;153.38;;;
37.609684;-0.935020;46;0;2;5;1243;0.32;153.36;;;
37.609691;-0.934793;46;0;2;5;1243;0.34;153.34;;;
37.609699;-0.934566;46;0;2;5;1243;0.36;153.32;;;
37.609707;-0.934339;47;0;2;6;1242;0.38;153.3;;;
37.609715;-0.934112;47;0;2;6;1242;0.4;153.28;;;
37.609723;-0.933885;48;0;2;7;1241;0.42;153.26;;;
37.609730;-0.933659;48;0;2;7;1241;0.44;153.24;;;
37.609738;-0.933432;49;0;2;8;1240;0.46;153.22;;;
37.609746;-0.933205;49;0;2;8;1240;0.48;153.2;;;
37.609753;-0.932978;50;0;2;9;1239;0.5;153.18;;;
37.609761;-0.932751;50;0;2;9;1239;0.52;153.16;;;
37.609769;-0.932524;51;0;2;10;1238;0.54;153.14;;;
37.609785;-0.931844;52;0;2;11;1237;0.6;153.08;;;
37.609791;-0.931617;52;0;2;11;1237;0.62;153.06;;;
37.609796;-0.931390;53;0;2;12;1236;0.64;153.04;;;
37.609803;-0.931163;53;0;2;12;1236;0.66;153.02;;;
37.609811;-0.930936;54;0;2;13;1235;0.68;153;;;
37.609819;-0.930709;54;0;3;13;1235;0.7;152.98;;;
37.609827;-0.930482;55;0;3;14;1234;0.72;152.96;;;
37.609835;-0.930256;55;0;3;14;1234;0.74;152.94;;;
37.609844;-0.930029;56;0;2;15;1233;0.76;152.92;;;
37.609852;-0.929802;56;0;2;15;1233;0.78;152.9;;;
37.609859;-0.929575;57;0;2;16;1232;0.8;152.88;;;
37.609867;-0.929348;57;0;2;16;1232;0.82;152.86;;;
37.609876;-0.929121;58;0;2;17;1231;0.84;152.84;;;
37.609884;-0.928895;58;0;2;17;1231;0.86;152.82;;;
37.609892;-0.928668;59;0;2;18;1230;0.88;152.8;;;
37.609900;-0.928441;59;0;2;18;1230;0.9;152.78;;;
37.609908;-0.928214;60;0;2;19;1229;0.92;152.76;;;
37.609916;-0.927987;60;0;2;19;1229;0.94;152.74;;;
37.609924;-0.927761;61;0;3;20;1228;0.96;152.72;;;
37.609932;-0.927534;61;0;3;20;1228;0.98;152.7;;;
37.609940;-0.927307;62;0;3;21;1227;1;152.68;;;
37.609949;-0.927080;62;0;3;21;1227;1.02;152.66;;;
37.609956;-0.926853;63;0;3;22;1226;1.04;152.64;;;
37.609964;-0.926626;63;0;3;22;1226;1.06;152.62;;;
37.609972;-0.926400;64;0;3;23;1225;1.08;152.6;;;
37.610007;-0.925265;67;0;3;26;1222;1.18;152.5;;;
37.610014;-0.925038;67;0;3;26;1222;1.2;152.48;;;
37.610021;-0.924811;68;0;3;27;1221;1.22;152.46;;;
37.610028;-0.924585;68;0;2;27;1221;1.24;152.44;;;
37.610035;-0.924358;69;0;2;28;1220;1.26;152.42;;;
37.610042;-0.924131;69;0;2;28;1220;1.28;152.4;;;
37.610049;-0.923904;70;0;2;29;1219;1.3;152.38;;;
37.610056;-0.923677;70;0;2;29;1219;1.32;152.36;;;
37.610075;-0.923452;71;0;2;30;1218;1.34;152.34;;;
37.610101;-0.923227;71;0;2;30;1218;1.36;152.32;;;
37.610144;-0.923007;71;0;2;30;1218;1.38;152.3;;;
37.610187;-0.922786;72;0;2;31;1217;1.4;152.28;;;
37.610233;-0.922567;72;0;2;31;1217;1.42;152.26;;;
37.610300;-0.922356;72;0;1;31;1217;1.44;152.24;;;
37.610335;-0.922134;73;0;1;32;1216;1.46;152.22;;;
37.610302;-0.921912;73;0;1;32;1216;1.48;152.2;;;
37.610242;-0.921698;73;0;1;32;1216;1.5;152.18;;;
37.610182;-0.921484;73;0;1;32;1216;1.52;152.16;;;
37.610141;-0.921264;74;0;1;33;1215;1.54;152.14;;;
37.610114;-0.921039;74;0;0;33;1215;1.56;152.12;;;
37.610091;-0.920814;74;0;0;33;1215;1.58;152.1;;;
37.610068;-0.920589;74;0;0;33;1215;1.6;152.08;;;
37.610044;-0.920364;74;0;0;33;1215;1.62;152.06;;;
37.610021;-0.920139;74;0;0;33;1215;1.64;152.04;;;
37.610008;-0.919912;74;0;0;33;1215;1.66;152.02;;;
37.609999;-0.919686;74;0;0;33;1215;1.68;152;;;
37.610001;-0.919459;74;0;0;33;1215;1.7;151.98;;;
37.610003;-0.919232;74;0;-1;33;1215;1.72;151.96;;;
37.610004;-0.919005;74;0;-1;33;1215;1.74;151.94;;;
37.610006;-0.918778;73;0;-1;33;1215;1.76;151.92;;;
37.610007;-0.918550;73;0;-1;33;1215;1.78;151.9;;;
37.610008;-0.918323;73;0;-1;33;1215;1.8;151.88;;;
37.610009;-0.918096;73;0;-1;33;1215;1.82;151.86;;;
37.610010;-0.917869;72;0;-1;33;1215;1.84;151.84;;;
37.610011;-0.917642;72;0;-1;33;1215;1.86;151.82;;;
37.610011;-0.917415;72;0;-1;33;1215;1.88;151.8;;;
37.610011;-0.917188;72;0;-1;33;1215;1.9;151.78;;;
37.610012;-0.916961;71;0;-1;33;1215;1.92;151.76;;;
37.610013;-0.916734;71;0;-1;33;1215;1.94;151.74;;;
37.610013;-0.916507;71;0;-1;33;1215;1.96;151.72;;;
37.610013;-0.916280;71;0;-1;33;1215;1.98;151.7;;;
37.610014;-0.916053;71;0;-1;33;1215;2;151.68;;;
37.610015;-0.915826;71;0;-1;33;1215;2.02;151.66;;;
37.610015;-0.915599;70;0;-1;33;1215;2.04;151.64;;;
37.610015;-0.915372;70;0;-1;33;1215;2.06;151.62;;;
37.610016;-0.915145;70;0;-1;33;1215;2.08;151.6;;;
37.610016;-0.914918;70;0;-1;33;1215;2.1;151.58;;;
37.610017;-0.914691;70;0;-1;33;1215;2.12;151.56;;;
37.610017;-0.914464;70;0;-1;33;1215;2.14;151.54;;;
37.610018;-0.914237;69;0;0;33;1215;2.16;151.52;;;
37.610154;-0.912206;70;0;1;33;1215;2.34;151.34;;;
37.610185;-0.911982;70;0;1;33;1215;2.36;151.32;;;
37.610216;-0.911758;70;0;1;33;1215;2.38;151.3;;;
37.610248;-0.911535;70;0;1;34;1214;2.4;151.28;;;
37.610280;-0.911311;70;0;1;34;1214;2.42;151.26;;;
37.610311;-0.911088;71;0;1;34;1214;2.44;151.24;;;
37.610343;-0.910864;71;0;1;34;1214;2.46;151.22;;;
37.610375;-0.910641;71;0;2;35;1213;2.48;151.2;;;
37.610407;-0.910418;71;0;2;35;1213;2.5;151.18;;;
37.610438;-0.910194;72;0;2;35;1213;2.52;151.16;;;
37.610470;-0.909970;72;0;2;36;1212;2.54;151.14;;;
37.610502;-0.909747;73;0;2;36;1212;2.56;151.12;;;
37.610533;-0.909524;73;0;2;37;1211;2.58;151.1;;;
37.610566;-0.909300;74;0;2;37;1211;2.6;151.08;;;
37.610597;-0.909077;74;0;2;38;1210;2.62;151.06;;;
37.610629;-0.908853;74;0;2;38;1210;2.64;151.04;;;
37.610660;-0.908630;75;0;2;38;1210;2.66;151.02;;;
37.610692;-0.908406;75;0;3;39;1209;2.68;151;;;
37.610724;-0.908183;76;0;3;39;1209;2.7;150.98;;;
37.610756;-0.907959;76;0;3;40;1208;2.72;150.96;;;
37.610787;-0.907736;77;0;3;41;1207;2.74;150.94;;;
37.610818;-0.907512;78;0;3;41;1207;2.76;150.92;;;
37.610850;-0.907288;78;0;3;42;1206;2.78;150.9;;;
37.610882;-0.907065;79;0;3;42;1206;2.8;150.88;4;;
37.610914;-0.906842;79;0;3;43;1205;2.82;150.86;;;
37.610945;-0.906618;80;0;3;44;1204;2.84;150.84;;;
37.610977;-0.906394;81;0;3;44;1204;2.86;150.82;;;
37.611009;-0.906171;81;0;3;45;1203;2.88;150.8;;;
37.611041;-0.905948;82;0;3;46;1202;2.9;150.78;;;
37.611072;-0.905724;83;0;3;46;1202;2.92;150.76;;;
37.611104;-0.905501;83;0;3;47;1201;2.94;150.74;;;
37.611136;-0.905277;84;0;3;47;1201;2.96;150.72;;;
37.611168;-0.905054;85;0;3;48;1200;2.98;150.7;;;
37.611199;-0.904830;85;0;3;49;1199;3;150.68;;;
37.611231;-0.904607;86;0;3;49;1199;3.02;150.66;;;
37.611262;-0.904383;86;0;3;50;1198;3.04;150.64;;;
37.611294;-0.904159;87;0;3;51;1197;3.06;150.62;;;
37.611326;-0.903936;88;0;3;51;1197;3.08;150.6;;;
37.611357;-0.903712;88;0;3;52;1196;3.1;150.58;;;
37.611389;-0.903489;89;0;3;53;1195;3.12;150.56;;;
37.611420;-0.903265;90;0;3;53;1195;3.14;150.54;;;
37.611452;-0.903042;90;0;3;54;1194;3.16;150.52;;;
37.611484;-0.902819;91;0;3;54;1194;3.18;150.5;;;
37.611516;-0.902595;91;0;3;55;1193;3.2;150.48;;;
37.611547;-0.902372;92;0;3;56;1192;3.22;150.46;;;
37.611579;-0.902148;93;0;3;56;1192;3.24;150.44;;;
37.611611;-0.901925;93;0;3;57;1191;3.26;150.42;;;
37.611643;-0.901701;94;0;3;57;1191;3.28;150.4;;;
37.611675;-0.901478;94;0;3;58;1190;3.3;150.38;;;
