latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.257200;-1.890930;114;0;1;0;4591;0;166.39;3;real;
37.257285;-1.891129;114;0;1;0;4591;0.02;166.37;;;
37.257371;-1.891328;115;0;1;0;4591;0.04;166.35;;;
37.257456;-1.891526;115;0;2;1;4590;0.06;166.33;;;
37.257542;-1.891725;115;0;2;1;4590;0.08;166.31;;;
37.257627;-1.891924;115;0;2;1;4590;0.1;166.29;;;
37.257713;-1.892123;116;0;2;2;4589;0.12;166.27;;;
37.257884;-1.892521;117;0;2;3;4588;0.16;166.23;;;
37.257969;-1.892719;117;0;2;3;4588;0.18;166.21;;;
37.258055;-1.892918;117;0;2;3;4588;0.2;166.19;;;
37.258140;-1.893117;118;0;2;4;4587;0.22;166.17;;;
37.258226;-1.893316;118;0;2;4;4587;0.24;166.15;;;
37.258311;-1.893515;118;0;2;4;4587;0.26;166.13;;;
37.258482;-1.893912;119;0;2;5;4586;0.3;166.09;;;
37.258568;-1.894111;119;0;1;5;4586;0.32;166.07;;;
37.258653;-1.894310;120;0;1;6;4585;0.34;166.05;;;
37.258739;-1.894509;120;0;1;6;4585;0.36;166.03;;;
37.258824;-1.894708;120;0;1;6;4585;0.38;166.01;;;
37.258910;-1.894907;120;0;1;6;4585;0.4;165.99;;;
37.258989;-1.895109;121;0;1;6;4585;0.42;165.97;;;
37.259062;-1.895316;121;0;1;7;4584;0.44;165.95;;;
37.259135;-1.895522;121;0;1;7;4584;0.46;165.93;;;
37.259197;-1.895734;121;0;0;7;4584;0.48;165.91;;;
37.259248;-1.895951;121;0;0;7;4584;0.5;165.89;;;
37.259293;-1.896169;121;0;0;7;4584;0.52;165.87;;;
37.259312;-1.896394;121;0;0;7;4584;0.54;165.85;;;
37.259368;-1.897068;121;0;1;7;4584;0.6;165.79;;;
37.259387;-1.897293;122;0;1;7;4584;0.62;165.77;;;
37.259406;-1.897517;122;0;1;7;4584;0.64;165.75;;;
37.259425;-1.897742;122;0;1;8;4583;0.66;165.73;;;
37.259444;-1.897967;122;0;1;8;4583;0.68;165.71;;;
37.259463;-1.898191;122;0;1;8;4583;0.7;165.69;;;
37.259482;-1.898416;122;0;1;8;4583;0.72;165.67;;;
37.259501;-1.898641;122;0;1;8;4583;0.74;165.65;;;
37.259519;-1.898866;122;0;1;8;4583;0.76;165.63;;;
37.259541;-1.899090;123;0;1;8;4583;0.78;165.61;;;
37.259564;-1.899314;123;0;1;9;4582;0.8;165.59;;;
37.259586;-1.899539;123;0;1;9;4582;0.82;165.57;;;
37.259608;-1.899763;123;0;1;9;4582;0.84;165.55;;;
37.259647;-1.899983;124;0;1;9;4582;0.86;165.53;;;
37.259706;-1.900196;124;0;1;10;4581;0.88;165.51;;;
37.259813;-1.900375;124;0;1;10;4581;0.9;165.49;;;
37.259885;-1.900569;124;0;1;10;4581;0.92;165.47;;;
37.259834;-1.900786;124;0;1;10;4581;0.94;165.45;;;
37.259780;-1.901001;124;0;1;10;4581;0.96;165.43;;;
37.259750;-1.901222;125;0;1;10;4581;0.98;165.41;;;
37.259769;-1.901447;125;0;1;10;4581;1;165.39;;;
37.259788;-1.901672;125;0;1;11;4580;1.02;165.37;;;
37.259807;-1.901897;125;0;0;11;4580;1.04;165.35;;;
37.259825;-1.902121;125;0;0;11;4580;1.06;165.33;;;
37.259844;-1.902346;125;0;0;11;4580;1.08;165.31;;;
37.260007;-1.903432;125;0;0;11;4580;1.18;165.21;;;
37.260107;-1.903611;125;0;1;11;4580;1.2;165.19;;;
37.260043;-1.903810;126;0;1;11;4580;1.22;165.17;;;
37.259986;-1.904018;126;0;1;11;4580;1.24;165.15;;;
37.259986;-1.904244;126;0;1;12;4579;1.26;165.13;;;
37.259995;-1.904469;126;0;1;12;4579;1.28;165.11;;;
37.260004;-1.904695;126;0;1;12;4579;1.3;165.09;;;
37.260018;-1.904920;127;0;2;13;4578;1.32;165.07;;;
37.260039;-1.905145;127;0;2;13;4578;1.34;165.05;;;
37.260060;-1.905369;127;0;2;13;4578;1.36;165.03;;;
37.260081;-1.905593;128;0;2;14;4577;1.38;165.01;;;
37.260098;-1.905818;128;0;2;14;4577;1.4;164.99;;;
37.260116;-1.906043;128;0;2;14;4577;1.42;164.97;;;
37.260133;-1.906268;129;0;2;14;4577;1.44;164.95;;;
37.260151;-1.906493;129;0;2;15;4576;1.46;164.93;;;
37.260168;-1.906718;129;0;2;15;4576;1.48;164.91;;;
37.260186;-1.906943;130;0;2;15;4576;1.5;164.89;;;
37.260203;-1.907168;130;0;2;16;4575;1.52;164.87;;;
37.260221;-1.907393;130;0;2;16;4575;1.54;164.85;;;
37.260238;-1.907618;131;0;2;16;4575;1.56;164.83;;;
37.260256;-1.907843;131;0;2;17;4574;1.58;164.81;;;
37.260275;-1.908067;131;0;2;17;4574;1.6;164.79;;;
37.260294;-1.908292;132;0;1;17;4574;1.62;164.77;;;
37.260313;-1.908517;132;0;1;18;4573;1.64;164.75;;;
37.260332;-1.908742;132;0;1;18;4573;1.66;164.73;;;
37.260359;-1.908964;132;0;1;18;4573;1.68;164.71;;;
37.260420;-1.909176;132;0;1;18;4573;1.7;164.69;;;
37.260490;-1.909374;132;0;1;18;4573;1.72;164.67;;;
37.260442;-1.909585;133;0;0;18;4573;1.74;164.65;;;
37.260435;-1.909809;133;0;0;19;4572;1.76;164.63;;;
37.260478;-1.910028;133;0;1;19;4572;1.78;164.61;;;
