latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.257200;-1.890930;114;0;1;0;4591;0;166.4;3;real;
37.257627;-1.891924;115;0;2;1;4590;0.1;166.3;;;
37.258055;-1.892918;117;0;2;3;4588;0.2;166.2;;;
37.258482;-1.893912;119;0;2;5;4586;0.3;166.1;;;
37.258910;-1.894907;120;0;1;6;4585;0.4;166;;;
37.259248;-1.895951;121;0;0;7;4584;0.5;165.9;;;
37.259368;-1.897068;121;0;1;7;4584;0.6;165.8;;;
37.259463;-1.898191;122;0;1;8;4583;0.7;165.7;;;
37.259564;-1.899314;123;0;1;9;4582;0.8;165.6;;;
37.259813;-1.900375;124;0;1;10;4581;0.9;165.5;;;
37.259769;-1.901447;125;0;1;10;4581;1;165.4;;;
37.259863;-1.902571;125;0;0;11;4580;1.1;165.3;;;
37.260107;-1.903611;125;0;1;11;4580;1.2;165.2;;;
37.260004;-1.904695;126;0;1;12;4579;1.3;165.1;;;
37.260098;-1.905818;128;0;2;14;4577;1.4;165;;;
37.260186;-1.906943;130;0;2;15;4576;1.5;164.9;;;
37.260275;-1.908067;131;0;2;17;4574;1.6;164.8;;;
37.260420;-1.909176;132;0;1;18;4573;1.7;164.7;;;
37.260522;-1.910248;133;0;1;19;4572;1.8;164.6;;;
37.260805;-1.911318;134;0;1;20;4571;1.9;164.5;;;
37.261144;-1.912365;136;0;2;21;4570;2;164.4;;;
37.261483;-1.913411;138;0;2;23;4568;2.1;164.3;;;
37.262025;-1.914283;139;0;1;25;4566;2.2;164.2;4;;
37.262831;-1.914733;140;0;1;26;4565;2.3;164.1;;;
37.263716;-1.914747;140;0;0;26;4565;2.4;164;;;
37.264594;-1.914505;140;0;0;26;4565;2.5;163.9;;;
37.265470;-1.914247;140;0;0;26;4565;2.6;163.8;;;
37.266337;-1.914461;140;0;0;27;4564;2.7;163.7;;;
37.267017;-1.915187;140;0;0;27;4564;2.8;163.6;;;
37.267644;-1.915998;141;0;1;27;4564;2.9;163.5;;;
37.268270;-1.916809;141;0;1;28;4563;3;163.4;;;
37.268897;-1.917619;142;0;1;28;4563;3.1;163.3;;;
37.269524;-1.918429;143;0;1;29;4562;3.2;163.2;;;
37.270164;-1.919223;143;0;0;30;4561;3.3;163.1;;;
37.270796;-1.920027;144;0;0;30;4561;3.4;163;;;
37.271426;-1.920833;144;0;0;30;4561;3.5;162.9;;;
37.272038;-1.921573;144;0;0;30;4561;3.6;162.8;;;
37.272649;-1.922397;144;0;0;31;4560;3.7;162.7;;;
37.273283;-1.923199;144;0;0;31;4560;3.8;162.6;;;
37.273917;-1.924001;144;0;0;31;4560;3.9;162.5;;;
37.274544;-1.924811;144;0;0;31;4560;4;162.4;;;
37.275309;-1.925368;145;0;2;32;4559;4.1;162.3;;;
37.276197;-1.925328;148;0;2;34;4557;4.2;162.2;;;
37.277074;-1.925080;149;0;1;36;4555;4.3;162.1;;;
37.277951;-1.924833;151;0;2;37;4554;4.4;162;;;
37.278836;-1.924675;153;0;2;39;4552;4.5;161.9;;;
37.279610;-1.924998;156;0;2;42;4549;4.6;161.8;5;;
37.280187;-1.925858;156;0;0;43;4548;4.7;161.7;;;
37.280813;-1.926669;156;0;1;43;4548;4.8;161.6;;;
37.281349;-1.927566;157;0;1;44;4547;4.9;161.5;;;
37.281791;-1.928546;158;0;1;44;4547;5;161.4;;;
37.282496;-1.929242;159;0;1;45;4546;5.1;161.3;;;
37.283176;-1.929972;160;0;1;46;4545;5.2;161.2;;;
37.282905;-1.931020;161;0;1;48;4543;5.3;161.1;;;
37.282709;-1.932119;163;0;2;49;4542;5.4;161;;;
37.282583;-1.933238;166;0;3;53;4538;5.5;160.9;;;
37.282463;-1.934358;169;0;2;56;4535;5.6;160.8;;;
37.282547;-1.935478;169;0;0;56;4535;5.7;160.7;;;
37.282716;-1.936589;170;0;1;57;4534;5.8;160.6;;;
37.282868;-1.937702;171;0;2;58;4533;5.9;160.5;;;
37.283231;-1.938735;174;0;3;61;4530;6;160.4;;;
37.283431;-1.939831;176;0;1;63;4528;6.1;160.3;;;
37.283513;-1.940956;177;0;1;64;4527;6.2;160.2;;;
37.283590;-1.942082;179;0;2;66;4525;6.3;160.1;;;
37.283599;-1.943212;180;0;1;67;4524;6.4;160;;;
37.283529;-1.944338;181;0;1;68;4523;6.5;159.9;;;
37.283444;-1.945464;182;0;1;69;4522;6.6;159.8;;;
37.283358;-1.946589;183;0;1;70;4521;6.7;159.7;;;
37.283292;-1.947713;183;0;-1;71;4520;6.8;159.6;;;
37.283436;-1.948788;182;0;0;71;4520;6.9;159.5;;;
37.283475;-1.949888;183;0;1;72;4519;7;159.4;;;
37.283816;-1.950934;185;0;2;74;4517;7.1;159.3;;;
37.284063;-1.952017;187;0;2;75;4516;7.2;159.2;;;
37.284172;-1.953139;189;0;2;78;4513;7.3;159.1;;;
37.284152;-1.954261;191;0;1;79;4512;7.4;159;;;
37.283719;-1.955247;192;0;1;81;4510;7.5;158.9;;;
37.283322;-1.956251;193;0;0;81;4510;7.6;158.8;;;
37.283243;-1.957358;194;0;3;83;4508;7.7;158.7;6;;
37.282962;-1.958431;197;0;4;87;4504;7.8;158.6;;;
37.282978;-1.959534;201;0;5;91;4500;7.9;158.5;;;
37.283053;-1.960648;207;0;6;97;4494;8;158.4;;;
37.283133;-1.961773;212;0;3;102;4489;8.1;158.3;;;
37.283275;-1.962889;213;0;1;103;4488;8.2;158.2;;;
37.283378;-1.964010;215;0;2;105;4486;8.3;158.1;;;
37.283488;-1.965128;217;0;2;107;4484;8.4;158;;;
37.283536;-1.966256;219;0;2;108;4483;8.5;157.9;;;
37.283551;-1.967385;220;0;2;110;4481;8.6;157.8;;;
37.283402;-1.968499;222;0;1;112;4479;8.7;157.7;;;
37.283252;-1.969614;223;0;1;112;4479;8.8;157.6;;;
37.283177;-1.970736;225;0;3;115;4476;8.9;157.5;;;
37.283171;-1.971867;228;0;4;118;4473;9;157.4;;;
37.283091;-1.972992;233;0;5;123;4468;9.1;157.3;;;
37.283003;-1.974117;238;0;4;128;4463;9.2;157.2;;;
37.282958;-1.975242;241;0;2;131;4460;9.3;157.1;;;
37.283221;-1.976323;241;0;0;132;4459;9.4;157;;;
37.283253;-1.977427;243;0;5;135;4456;9.5;156.9;;;
37.283226;-1.978537;249;0;5;141;4450;9.6;156.8;;;
37.283127;-1.979630;254;0;4;146;4445;9.7;156.7;;;
37.282876;-1.980710;258;0;2;150;4441;9.8;156.6;;;
37.282770;-1.981832;259;0;1;151;4440;9.9;156.5;;;
37.282886;-1.982948;261;0;3;153;4438;10;156.4;;;
37.283075;-1.984053;264;0;3;156;4435;10.1;156.3;;;
37.283387;-1.985104;266;0;2;158;4433;10.2;156.2;;;
37.283800;-1.986108;267;0;0;159;4432;10.3;156.1;;;
37.283977;-1.987203;267;0;0;159;4432;10.4;156;;;
37.284031;-1.988330;267;0;1;160;4431;10.5;155.9;;;
37.283855;-1.989438;269;0;1;162;4429;10.6;155.8;;;
37.283934;-1.990541;269;0;-1;162;4429;10.7;155.7;;;
37.284222;-1.991611;269;0;4;163;4428;10.8;155.6;;;
37.284520;-1.992661;275;0;5;169;4422;10.9;155.5;;;
37.284672;-1.993775;278;0;3;172;4419;11;155.4;;;
37.284825;-1.994889;281;0;2;175;4416;11.1;155.3;;;
37.285017;-1.995988;282;0;2;177;4414;11.2;155.2;;;
37.285615;-1.996790;285;0;3;180;4411;11.3;155.1;;;
37.285700;-1.997914;288;0;2;183;4408;11.4;155;;;
37.285770;-1.999041;290;0;2;185;4406;11.5;154.9;;;
37.285839;-2.000168;292;0;3;186;4405;11.6;154.8;;;
37.286014;-2.001275;295;0;4;190;4401;11.7;154.7;;;
37.286230;-2.002372;299;0;3;194;4397;11.8;154.6;;;
37.286445;-2.003470;301;0;2;196;4395;11.9;154.5;;;
37.286484;-2.004578;303;0;2;198;4393;12;154.4;;;
37.286198;-2.005645;305;0;1;200;4391;12.1;154.3;;;
37.285868;-2.006696;306;0;1;201;4390;12.2;154.2;;;
37.285585;-2.007763;306;0;0;202;4389;12.3;154.1;;;
37.285370;-2.008611;308;0;2;203;4388;12.4;154;;;
37.285834;-2.009579;309;0;1;205;4386;12.5;153.9;;;
37.286298;-2.010547;311;0;3;207;4384;12.6;153.8;;;
37.286613;-2.011598;314;0;4;210;4381;12.7;153.7;;;
37.286962;-2.012621;319;0;5;215;4376;12.8;153.6;;;
37.287498;-2.013529;324;0;1;220;4371;12.9;153.5;;;
37.287702;-2.014491;322;0;2;220;4371;13;153.4;;;
37.286924;-2.014928;328;0;7;226;4365;13.1;153.3;;;
37.286505;-2.015919;335;0;7;233;4358;13.2;153.2;;;
37.286168;-2.016897;342;0;5;239;4352;13.3;153.1;;;
37.286870;-2.017535;343;0;-1;242;4349;13.4;153;;;
37.287659;-2.017838;341;0;2;242;4349;13.5;152.9;;;
37.288293;-2.017222;347;0;5;248;4343;13.6;152.8;;;
37.288679;-2.018181;350;0;3;251;4340;13.7;152.7;;;
37.288864;-2.019281;354;0;3;255;4336;13.8;152.6;;;
37.289323;-2.020215;357;0;6;258;4333;13.9;152.5;;;
37.289560;-2.021295;364;0;6;265;4326;14;152.4;;;
37.289604;-2.022407;369;0;6;270;4321;14.1;152.3;;;
37.289624;-2.023514;376;0;6;277;4314;14.2;152.2;;;
37.289510;-2.024604;381;0;5;282;4309;14.3;152.1;;;
37.289507;-2.025728;385;0;5;286;4305;14.4;152;;;
37.289104;-2.026729;390;0;6;291;4300;14.5;151.9;;;
37.288317;-2.027165;395;0;3;297;4294;14.6;151.8;;;
37.287887;-2.028101;398;0;0;299;4292;14.7;151.7;;;
37.288137;-2.028575;397;0;2;299;4292;14.8;151.6;;;
37.288728;-2.028234;402;0;6;304;4287;14.9;151.5;;;
37.289133;-2.029048;408;0;5;310;4281;15;151.4;;;
37.289440;-2.030042;413;0;5;315;4276;15.1;151.3;;;
37.290047;-2.029960;420;0;6;322;4269;15.2;151.2;;;
37.290283;-2.029426;427;0;7;329;4262;15.3;151.1;;;
37.290081;-2.030463;433;0;6;334;4257;15.4;151;;;
37.289280;-2.030930;438;0;4;340;4251;15.5;150.9;;;
37.288866;-2.030054;441;0;5;343;4248;15.6;150.8;;;
37.288477;-2.030259;449;0;7;350;4241;15.7;150.7;;;
37.288871;-2.031262;455;0;7;357;4234;15.8;150.6;;;
37.289524;-2.031683;462;0;6;364;4227;15.9;150.5;;;
37.289301;-2.032723;467;0;6;369;4222;16;150.4;7;summit;3
37.289691;-2.033419;472;0;1;374;4217;16.1;150.3;;;
37.290589;-2.033350;473;0;0;375;4216;16.2;150.2;;;
37.291324;-2.033927;470;0;-5;375;4216;16.3;150.1;;;
37.291913;-2.034782;465;0;-6;375;4216;16.4;150;;;
37.292602;-2.035498;459;0;-4;375;4216;16.5;149.9;;;
37.293376;-2.036074;456;0;-1;375;4216;16.6;149.8;;;
37.294035;-2.036799;457;0;2;377;4214;16.7;149.7;;;
37.294322;-2.037870;460;0;2;379;4212;16.8;149.6;;;
37.294635;-2.038920;461;0;0;380;4211;16.9;149.5;;;
37.295468;-2.038997;461;0;0;381;4210;17;149.4;;;
37.296321;-2.038640;461;0;-1;381;4210;17.1;149.3;;;
37.297168;-2.038566;459;0;-2;381;4210;17.2;149.2;;;
37.297824;-2.039279;457;0;-3;381;4210;17.3;149.1;;;
37.297881;-2.040406;453;0;-4;381;4210;17.4;149;;;
37.297919;-2.041535;449;0;-4;381;4210;17.5;148.9;;;
37.297957;-2.042665;445;0;-3;381;4210;17.6;148.8;;;
37.298645;-2.043076;443;0;0;381;4210;17.7;148.7;;;
37.299534;-2.042913;446;0;3;384;4207;17.8;148.6;;;
37.300402;-2.043192;447;0;0;386;4205;17.9;148.5;;;
37.301171;-2.043738;447;0;2;386;4205;18;148.4;;;
37.302061;-2.043903;452;0;6;391;4200;18.1;148.3;;;
37.302730;-2.044588;459;0;6;398;4193;18.2;148.2;;;
37.303272;-2.045489;463;0;4;402;4189;18.3;148.1;;;
37.303945;-2.046236;467;0;2;406;4185;18.4;148;;;
37.304340;-2.047172;466;0;-2;407;4184;18.5;147.9;;;
37.304628;-2.048201;463;0;-2;407;4184;18.6;147.8;;;
37.305240;-2.049029;462;0;-1;407;4184;18.7;147.7;;;
37.305852;-2.049857;461;0;-1;407;4184;18.8;147.6;;;
37.306585;-2.050446;460;0;-4;407;4184;18.9;147.5;;;
37.307482;-2.050488;454;0;-6;407;4184;19;147.4;;;
37.308201;-2.050978;448;0;-6;407;4184;19.1;147.3;;;
37.308364;-2.052083;443;0;-7;407;4184;19.2;147.2;;;
37.308983;-2.052877;435;0;-8;407;4184;19.3;147.1;;;
