latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
36.744028;-3.637528;120;0;-2;0;3085;0;192.65;3;real;
36.743937;-3.637334;119;0;-2;0;3085;0.02;192.63;;;
36.743851;-3.637137;119;0;-2;0;3085;0.04;192.61;;;
36.743779;-3.636933;119;0;-2;0;3085;0.06;192.59;;;
36.743723;-3.636719;118;0;-1;0;3085;0.08;192.57;;;
36.743680;-3.636501;118;0;-1;0;3085;0.1;192.55;;;
36.743666;-3.636278;118;0;-1;0;3085;0.12;192.53;;;
36.743662;-3.635830;117;0;-1;0;3085;0.16;192.49;;;
36.743659;-3.635605;117;0;-1;0;3085;0.18;192.47;;;
36.743663;-3.635381;117;0;-2;0;3085;0.2;192.45;;;
36.743670;-3.635157;117;0;-2;0;3085;0.22;192.43;;;
36.743678;-3.634932;116;0;-2;0;3085;0.24;192.41;;;
36.743684;-3.634708;116;0;-2;0;3085;0.26;192.39;;;
36.743698;-3.634259;115;0;-3;0;3085;0.3;192.35;;;
36.743705;-3.634035;114;0;-3;0;3085;0.32;192.33;;;
36.743712;-3.633811;113;0;-3;0;3085;0.34;192.31;;;
36.743720;-3.633587;113;0;-3;0;3085;0.36;192.29;;;
36.743745;-3.633364;112;0;-3;0;3085;0.38;192.27;;;
36.743790;-3.633147;111;0;-3;0;3085;0.4;192.25;;;
36.743844;-3.632934;111;0;-3;0;3085;0.42;192.23;;;
36.743910;-3.632724;110;0;-3;0;3085;0.44;192.21;;;
36.743986;-3.632521;109;0;-3;0;3085;0.46;192.19;;;
36.744063;-3.632318;109;0;-3;0;3085;0.48;192.17;;;
36.744139;-3.632115;108;0;-3;0;3085;0.5;192.15;;;
36.744217;-3.631912;108;0;-3;0;3085;0.52;192.13;;;
36.744294;-3.631710;107;0;-4;0;3085;0.54;192.11;;;
36.744501;-3.631090;105;0;-4;0;3085;0.6;192.05;;;
36.744516;-3.630867;104;0;-4;0;3085;0.62;192.03;;;
36.744489;-3.630646;103;0;-4;0;3085;0.64;192.01;;;
36.744416;-3.630442;102;0;-3;0;3085;0.66;191.99;;;
36.744334;-3.630242;102;0;-3;0;3085;0.68;191.97;;;
