latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.777809;-3.741139;394;0;1;0;4059;0;154.34;3;real;
37.777814;-3.740912;394;0;1;0;4059;0.02;154.32;;;
37.777818;-3.740684;394;0;1;0;4059;0.04;154.3;;;
37.777823;-3.740457;394;0;1;0;4059;0.06;154.28;;;
37.777827;-3.740229;394;0;1;1;4058;0.08;154.26;;;
37.777822;-3.740002;394;0;1;1;4058;0.1;154.24;;;
37.777811;-3.739775;395;0;1;1;4058;0.12;154.22;;;
37.777783;-3.739322;395;0;1;2;4057;0.16;154.18;;;
37.777732;-3.739103;396;0;1;2;4057;0.18;154.16;;;
37.777681;-3.738885;396;0;1;2;4057;0.2;154.14;;;
37.777630;-3.738667;396;0;1;3;4056;0.22;154.12;;;
37.777580;-3.738448;396;0;1;3;4056;0.24;154.1;;;
37.777529;-3.738230;397;0;1;3;4056;0.26;154.08;;;
37.777437;-3.737790;397;0;1;3;4056;0.3;154.04;;;
37.777396;-3.737569;397;0;1;4;4055;0.32;154.02;;;
37.777372;-3.737344;397;0;1;4;4055;0.34;154;;;
37.777361;-3.737117;397;0;1;4;4055;0.36;153.98;;;
37.777368;-3.736890;398;0;0;4;4055;0.38;153.96;;;
37.777401;-3.736666;398;0;0;4;4055;0.4;153.94;;;
37.777435;-3.736443;398;0;0;4;4055;0.42;153.92;;;
37.777469;-3.736219;398;0;0;4;4055;0.44;153.9;;;
37.777504;-3.735996;398;0;0;4;4055;0.46;153.88;;;
37.777539;-3.735773;397;0;0;4;4055;0.48;153.86;;;
37.777572;-3.735549;397;0;0;4;4055;0.5;153.84;;;
37.777620;-3.735331;397;0;0;4;4055;0.52;153.82;;;
37.777682;-3.735117;397;0;0;4;4055;0.54;153.8;;;
37.777888;-3.734487;397;0;0;4;4055;0.6;153.74;;;
37.777969;-3.734284;397;0;0;4;4055;0.62;153.72;;;
37.778050;-3.734081;397;0;0;4;4055;0.64;153.7;;;
37.778132;-3.733878;397;0;0;4;4055;0.66;153.68;;;
37.778213;-3.733675;398;0;1;4;4055;0.68;153.66;;;
37.778297;-3.733474;398;0;1;4;4055;0.7;153.64;;;
37.778393;-3.733281;398;0;1;5;4054;0.72;153.62;;;
37.778505;-3.733104;398;0;1;5;4054;0.74;153.6;;;
37.778625;-3.732935;398;0;1;5;4054;0.76;153.58;;;
37.778753;-3.732774;399;0;1;5;4054;0.78;153.56;;;
37.778891;-3.732629;399;0;1;5;4054;0.8;153.54;;;
37.779028;-3.732482;399;0;1;6;4053;0.82;153.52;;;
37.779182;-3.732366;399;0;1;6;4053;0.84;153.5;;;
37.779340;-3.732255;399;0;1;6;4053;0.86;153.48;;;
37.779501;-3.732156;400;0;1;6;4053;0.88;153.46;;;
37.779667;-3.732067;400;0;1;7;4052;0.9;153.44;;;
37.779838;-3.731999;400;0;1;7;4052;0.92;153.42;;;
37.780012;-3.731941;401;0;1;7;4052;0.94;153.4;;;
37.780185;-3.731881;401;0;1;8;4051;0.96;153.38;;;
37.780359;-3.731822;401;0;1;8;4051;0.98;153.36;;;
37.780533;-3.731764;401;0;1;8;4051;1;153.34;;;
37.780707;-3.731705;402;0;1;8;4051;1.02;153.32;;;
37.780880;-3.731645;402;0;1;8;4051;1.04;153.3;;;
37.781049;-3.731567;402;0;1;9;4050;1.06;153.28;;;
37.781215;-3.731479;402;0;1;9;4050;1.08;153.26;;;
37.781994;-3.730917;403;0;2;10;4049;1.18;153.16;;;
37.782127;-3.730765;404;0;2;10;4049;1.2;153.14;;;
37.782260;-3.730611;404;0;2;11;4048;1.22;153.12;;;
37.782390;-3.730454;404;0;2;11;4048;1.24;153.1;;;
37.782513;-3.730288;405;0;2;11;4048;1.26;153.08;;;
37.782635;-3.730121;405;0;2;12;4047;1.28;153.06;;;
37.782758;-3.729954;405;0;2;12;4047;1.3;153.04;;;
37.782881;-3.729788;406;0;2;12;4047;1.32;153.02;;;
37.783003;-3.729621;406;0;2;13;4046;1.34;153;;;
37.783133;-3.729464;406;0;2;13;4046;1.36;152.98;;;
37.783267;-3.729313;407;0;2;13;4046;1.38;152.96;;;
37.783413;-3.729179;407;0;2;14;4045;1.4;152.94;;;
37.783558;-3.729045;408;0;2;14;4045;1.42;152.92;;;
37.783703;-3.728911;408;0;2;15;4044;1.44;152.9;;;
37.783861;-3.728803;409;0;3;15;4044;1.46;152.88;;;
37.784024;-3.728706;409;0;3;16;4043;1.48;152.86;;;
37.784187;-3.728611;410;0;3;16;4043;1.5;152.84;;;
37.784357;-3.728537;410;0;3;17;4042;1.52;152.82;;;
37.784527;-3.728462;411;0;3;18;4041;1.54;152.8;;;
37.784698;-3.728392;411;0;3;18;4041;1.56;152.78;;;
37.784869;-3.728322;412;0;3;18;4041;1.58;152.76;;;
37.785040;-3.728252;412;0;3;19;4040;1.6;152.74;;;
37.785211;-3.728181;413;0;3;20;4039;1.62;152.72;;;
37.785382;-3.728111;414;0;3;20;4039;1.64;152.7;;;
37.785553;-3.728041;414;0;3;21;4038;1.66;152.68;;;
37.785725;-3.727971;415;0;3;21;4038;1.68;152.66;;;
37.785896;-3.727900;415;0;3;22;4037;1.7;152.64;;;
37.786067;-3.727830;416;0;3;23;4036;1.72;152.62;;;
37.786238;-3.727760;417;0;4;24;4035;1.74;152.6;;;
37.786409;-3.727690;418;0;4;24;4035;1.76;152.58;;;
37.786580;-3.727619;418;0;4;25;4034;1.78;152.56;;;
37.786751;-3.727549;419;0;4;26;4033;1.8;152.54;;;
37.786922;-3.727479;420;0;4;27;4032;1.82;152.52;;;
37.787093;-3.727409;421;0;4;27;4032;1.84;152.5;;;
37.787264;-3.727339;422;0;4;28;4031;1.86;152.48;;;
37.787435;-3.727269;422;0;4;29;4030;1.88;152.46;;;
37.787606;-3.727198;423;0;5;30;4029;1.9;152.44;;;
37.787778;-3.727128;424;0;5;31;4028;1.92;152.42;;;
37.787949;-3.727058;425;0;5;32;4027;1.94;152.4;;;
37.788120;-3.726987;426;0;5;33;4026;1.96;152.38;;;
37.788291;-3.726917;427;0;5;34;4025;1.98;152.36;;;
