latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.777809;-3.741139;394;0;1;0;4059;0;154.3;3;real;
37.777822;-3.740002;394;0;1;1;4058;0.1;154.2;;;
37.777681;-3.738885;396;0;1;2;4057;0.2;154.1;;;
37.777437;-3.737790;397;0;1;3;4056;0.3;154;;;
37.777401;-3.736666;398;0;0;4;4055;0.4;153.9;;;
37.777572;-3.735549;397;0;0;4;4055;0.5;153.8;;;
37.777888;-3.734487;397;0;0;4;4055;0.6;153.7;;;
37.778297;-3.733474;398;0;1;4;4055;0.7;153.6;;;
37.778891;-3.732629;399;0;1;5;4054;0.8;153.5;;;
37.779667;-3.732067;400;0;1;7;4052;0.9;153.4;;;
37.780533;-3.731764;401;0;1;8;4051;1;153.3;;;
37.781375;-3.731375;402;0;1;9;4050;1.1;153.2;;;
37.782127;-3.730765;404;0;2;10;4049;1.2;153.1;;;
37.782758;-3.729954;405;0;2;12;4047;1.3;153;;;
37.783413;-3.729179;407;0;2;14;4045;1.4;152.9;;;
37.784187;-3.728611;410;0;3;16;4043;1.5;152.8;;;
37.785040;-3.728252;412;0;3;19;4040;1.6;152.7;;;
37.785896;-3.727900;415;0;3;22;4037;1.7;152.6;;;
37.786751;-3.727549;419;0;4;26;4033;1.8;152.5;;;
37.787606;-3.727198;423;0;5;30;4029;1.9;152.4;;;
37.788462;-3.726847;428;0;5;35;4024;2;152.3;;;
37.789328;-3.726544;433;0;6;40;4019;2.1;152.2;;;
37.790223;-3.726491;439;0;5;46;4013;2.2;152.1;;;
37.791122;-3.726528;443;0;4;50;4009;2.3;152;;;
37.792020;-3.726512;447;0;4;54;4005;2.4;151.9;;;
37.792891;-3.726260;451;0;3;58;4001;2.5;151.8;;;
37.793717;-3.725811;454;0;2;60;3999;2.6;151.7;;;
37.794537;-3.725343;455;0;1;62;3997;2.7;151.6;;;
37.795356;-3.724874;456;0;1;63;3996;2.8;151.5;;;
37.796109;-3.724262;457;0;0;64;3995;2.9;151.4;;;
37.796690;-3.723397;457;0;-1;64;3995;3;151.3;;;
37.797107;-3.722390;455;0;-1;64;3995;3.1;151.2;;;
37.797533;-3.721391;454;0;-1;64;3995;3.2;151.1;;;
37.798131;-3.720546;453;0;-1;64;3995;3.3;151;;;
37.798836;-3.719847;452;0;0;64;3995;3.4;150.9;4;;
37.799251;-3.718870;453;0;1;64;3995;3.5;150.8;;;
37.799571;-3.717806;454;0;1;65;3994;3.6;150.7;;;
37.799890;-3.716742;455;0;2;66;3993;3.7;150.6;;;
37.800210;-3.715679;457;0;2;68;3991;3.8;150.5;;;
37.800530;-3.714615;459;0;2;70;3989;3.9;150.4;;;
37.800849;-3.713551;461;0;3;73;3986;4;150.3;;;
37.801169;-3.712487;464;0;3;75;3984;4.1;150.2;;;
37.801347;-3.711376;467;0;3;78;3981;4.2;150.1;;;
37.801234;-3.710255;470;0;3;82;3977;4.3;150;;;
37.800935;-3.709182;474;0;4;85;3974;4.4;149.9;;;
