latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.888036;-6.802674;618;0;3;0;1815;0;180.95;3;real;
37.887886;-6.802799;619;0;3;0;1815;0.02;180.93;;;
37.887722;-6.802883;620;0;3;1;1814;0.04;180.91;;;
37.887549;-6.802842;620;0;3;2;1813;0.06;180.89;;;
37.887381;-6.802759;621;0;3;2;1813;0.08;180.87;;;
37.887214;-6.802676;621;0;3;3;1812;0.1;180.85;;;
37.887046;-6.802593;622;0;3;3;1812;0.12;180.83;;;
37.886767;-6.802309;623;0;3;4;1811;0.16;180.79;;;
37.886636;-6.802152;623;0;3;5;1810;0.18;180.77;;;
37.886511;-6.801989;624;0;2;5;1810;0.2;180.75;;;
37.886387;-6.801823;624;0;2;6;1809;0.22;180.73;;;
37.886264;-6.801658;625;0;2;6;1809;0.24;180.71;;;
37.886140;-6.801492;625;0;2;7;1808;0.26;180.69;;;
37.885893;-6.801161;626;0;2;8;1807;0.3;180.65;;;
37.885769;-6.800995;626;0;2;8;1807;0.32;180.63;;;
37.885646;-6.800830;627;0;2;9;1806;0.34;180.61;;;
37.885522;-6.800664;627;0;2;9;1806;0.36;180.59;;;
37.885398;-6.800499;628;0;3;9;1806;0.38;180.57;;;
37.885275;-6.800333;628;0;3;10;1805;0.4;180.55;;;
37.885151;-6.800168;629;0;3;11;1804;0.42;180.53;;;
37.885019;-6.800015;630;0;3;11;1804;0.44;180.51;;;
37.884850;-6.799950;631;0;3;12;1803;0.46;180.49;;;
37.884672;-6.799959;631;0;3;13;1802;0.48;180.47;;;
37.884493;-6.799988;632;0;3;13;1802;0.5;180.45;;;
37.884315;-6.800015;632;0;2;14;1801;0.52;180.43;;;
37.884136;-6.800043;632;0;2;14;1801;0.54;180.41;;;
37.883601;-6.800127;633;0;2;15;1800;0.6;180.35;;;
37.883421;-6.800129;634;0;2;16;1799;0.62;180.33;;;
37.883259;-6.800041;634;0;1;16;1799;0.64;180.31;;;
37.883100;-6.799934;635;0;1;16;1799;0.66;180.29;;;
37.882941;-6.799827;635;0;1;17;1798;0.68;180.27;;;
37.882776;-6.799737;635;0;0;17;1798;0.7;180.25;;;
37.882604;-6.799670;635;0;0;17;1798;0.72;180.23;;;
37.882432;-6.799605;635;0;-1;17;1798;0.74;180.21;;;
37.882260;-6.799538;635;0;-1;17;1798;0.76;180.19;;;
37.882087;-6.799473;634;0;-2;17;1798;0.78;180.17;;;
37.881915;-6.799408;634;0;-2;17;1798;0.8;180.15;;;
37.881743;-6.799342;633;0;-3;17;1798;0.82;180.13;;;
37.881571;-6.799276;633;0;-3;17;1798;0.84;180.11;;;
37.881398;-6.799210;632;0;-3;17;1798;0.86;180.09;;;
37.881226;-6.799145;631;0;-3;17;1798;0.88;180.07;;;
37.881054;-6.799079;631;0;-3;17;1798;0.9;180.05;;;
37.880882;-6.799014;630;0;-3;17;1798;0.92;180.03;;;
37.880709;-6.798949;629;0;-3;17;1798;0.94;180.01;;;
37.880537;-6.798884;629;0;-4;17;1798;0.96;179.99;;;
37.880364;-6.798820;628;0;-4;17;1798;0.98;179.97;;;
37.880192;-6.798756;627;0;-4;17;1798;1;179.95;;;
37.880019;-6.798691;626;0;-4;17;1798;1.02;179.93;;;
37.879847;-6.798626;626;0;-4;17;1798;1.04;179.91;;;
37.879674;-6.798561;625;0;-5;17;1798;1.06;179.89;;;
37.879502;-6.798497;624;0;-5;17;1798;1.08;179.87;;;
37.878726;-6.797969;619;0;-4;17;1798;1.18;179.77;;;
37.878619;-6.797787;618;0;-4;17;1798;1.2;179.75;;;
37.878529;-6.797590;618;0;-3;17;1798;1.22;179.73;;;
37.878438;-6.797393;617;0;-3;17;1798;1.24;179.71;;;
37.878348;-6.797196;617;0;-3;17;1798;1.26;179.69;;;
37.878257;-6.796999;616;0;-3;17;1798;1.28;179.67;;;
37.878167;-6.796802;615;0;-3;17;1798;1.3;179.65;;;
37.878076;-6.796605;615;0;-2;17;1798;1.32;179.63;;;
37.877986;-6.796408;615;0;-2;17;1798;1.34;179.61;;;
37.877895;-6.796211;614;0;-2;17;1798;1.36;179.59;;;
37.877805;-6.796014;614;0;-2;17;1798;1.38;179.57;;;
37.877714;-6.795817;613;0;-2;17;1798;1.4;179.55;;;
37.877624;-6.795620;613;0;-2;17;1798;1.42;179.53;;;
37.877533;-6.795423;613;0;-2;17;1798;1.44;179.51;;;
37.877443;-6.795227;612;0;-2;17;1798;1.46;179.49;;;
37.877352;-6.795030;612;0;-2;17;1798;1.48;179.47;;;
37.877262;-6.794833;612;0;-2;17;1798;1.5;179.45;;;
37.877171;-6.794636;611;0;-2;17;1798;1.52;179.43;;;
37.877081;-6.794439;611;0;-2;17;1798;1.54;179.41;;;
37.876990;-6.794242;611;0;-2;17;1798;1.56;179.39;;;
37.876896;-6.794048;610;0;-2;17;1798;1.58;179.37;;;
37.876784;-6.793871;610;0;-2;17;1798;1.6;179.35;;;
37.876650;-6.793720;609;0;-2;17;1798;1.62;179.33;;;
37.876508;-6.793579;609;0;-2;17;1798;1.64;179.31;;;
37.876367;-6.793439;608;0;-2;17;1798;1.66;179.29;;;
37.876225;-6.793298;608;0;-3;17;1798;1.68;179.27;;;
37.876084;-6.793158;607;0;-3;17;1798;1.7;179.25;;;
37.875942;-6.793017;607;0;-3;17;1798;1.72;179.23;;;
37.875801;-6.792876;606;0;-3;17;1798;1.74;179.21;;;
37.875659;-6.792735;606;0;-3;17;1798;1.76;179.19;;;
37.875518;-6.792595;605;0;-3;17;1798;1.78;179.17;;;
37.875376;-6.792454;604;0;-3;17;1798;1.8;179.15;;;
37.875235;-6.792313;604;0;-4;17;1798;1.82;179.13;;;
37.875093;-6.792172;603;0;-4;17;1798;1.84;179.11;;;
37.874952;-6.792032;602;0;-4;17;1798;1.86;179.09;;;
