latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.226297;-5.924206;34;0;0;0;811;0;184.8;3;real;
37.225529;-5.923619;34;0;-1;0;811;0.1;184.7;;;
37.224745;-5.923068;33;0;-1;0;811;0.2;184.6;;;
37.223916;-5.922636;32;0;-1;0;811;0.3;184.5;;;
37.223053;-5.922317;30;0;-1;0;811;0.4;184.4;;;
37.222188;-5.922007;29;0;-1;0;811;0.5;184.3;;;
37.221321;-5.921708;28;0;-2;0;811;0.6;184.2;;;
37.220454;-5.921409;26;0;-2;0;811;0.7;184.1;;;
37.219587;-5.921110;24;0;-1;0;811;0.8;184;;;
37.218714;-5.920844;23;0;-1;0;811;0.9;183.9;;;
37.217818;-5.920829;22;0;-1;0;811;1;183.8;;;
37.216941;-5.921052;21;0;-1;0;811;1.1;183.7;;;
37.216137;-5.921543;20;0;-1;0;811;1.2;183.6;;;
37.215307;-5.921887;19;0;-1;0;811;1.3;183.5;;;
37.214445;-5.922094;19;0;0;0;811;1.4;183.4;;;
37.213602;-5.921700;19;0;0;0;811;1.5;183.3;;;
37.212727;-5.921475;19;0;0;1;810;1.6;183.2;;;
37.211849;-5.921692;20;0;0;1;810;1.7;183.1;;;
37.210981;-5.921985;20;0;0;1;810;1.8;183;;;
37.210107;-5.922251;20;0;0;1;810;1.9;182.9;;;
37.209239;-5.922545;21;0;0;2;809;2;182.8;;;
37.208371;-5.922842;21;0;1;2;809;2.1;182.7;;;
37.207503;-5.923140;22;0;1;3;808;2.2;182.6;;;
37.206642;-5.923466;22;0;1;4;807;2.3;182.5;;;
37.205779;-5.923780;23;0;1;4;807;2.4;182.4;;;
37.204915;-5.924094;24;0;1;5;806;2.5;182.3;;;
37.204051;-5.924408;24;0;1;5;806;2.6;182.2;;;
37.203187;-5.924721;25;0;1;6;805;2.7;182.1;;;
37.202323;-5.925035;25;0;1;6;805;2.8;182;;;
37.201450;-5.925306;26;0;0;7;804;2.9;181.9;;;
37.200566;-5.925509;26;0;0;7;804;3;181.8;;;
37.199673;-5.925636;26;0;0;7;804;3.1;181.7;;;
37.198775;-5.925681;26;0;0;7;804;3.2;181.6;;;
37.197876;-5.925626;26;0;0;7;804;3.3;181.5;;;
37.196984;-5.925501;25;0;-1;7;804;3.4;181.4;;;
37.196097;-5.925310;25;0;-1;7;804;3.5;181.3;;;
37.195211;-5.925118;24;0;-1;7;804;3.6;181.2;;;
37.194325;-5.924927;23;0;-1;7;804;3.7;181.1;;;
37.193432;-5.924799;22;0;-1;7;804;3.8;181;;;
37.192534;-5.924729;21;0;-1;7;804;3.9;180.9;;;
37.191637;-5.924659;19;0;-1;7;804;4;180.8;;;
37.190739;-5.924592;18;0;-1;7;804;4.1;180.7;;;
37.189841;-5.924528;17;0;-1;7;804;4.2;180.6;;;
37.188943;-5.924465;16;0;-1;7;804;4.3;180.5;;;
37.188045;-5.924414;15;0;-1;7;804;4.4;180.4;;;
37.187146;-5.924439;14;0;-1;7;804;4.5;180.3;;;
37.186248;-5.924493;14;0;0;7;804;4.6;180.2;;;
37.185366;-5.924671;14;0;0;7;804;4.7;180.1;;;
37.184727;-5.925431;14;0;0;7;804;4.8;180;;;
37.184502;-5.926515;14;0;0;8;803;4.9;179.9;;;
37.183813;-5.926940;14;0;1;8;803;5;179.8;;;
37.183271;-5.926298;15;0;1;9;802;5.1;179.7;;;
37.182690;-5.925444;15;0;0;9;802;5.2;179.6;;;
37.182062;-5.924646;15;0;0;9;802;5.3;179.5;;;
37.181212;-5.924374;15;0;0;9;802;5.4;179.4;;;
37.180322;-5.924535;15;0;-1;9;802;5.5;179.3;;;
37.179432;-5.924696;14;0;-1;9;802;5.6;179.2;;;
37.178542;-5.924856;13;0;-1;9;802;5.7;179.1;;;
37.177645;-5.924934;13;0;-1;9;802;5.8;179;;;
37.176747;-5.925005;12;0;-1;9;802;5.9;178.9;;;
37.175850;-5.925075;11;0;-1;9;802;6;178.8;;;
37.174951;-5.925127;10;0;-1;9;802;6.1;178.7;;;
37.174055;-5.925212;10;0;-1;9;802;6.2;178.6;;;
37.173184;-5.925479;9;0;-1;9;802;6.3;178.5;;;
37.172329;-5.925827;8;0;-1;9;802;6.4;178.4;;;
37.171443;-5.926002;7;0;-1;9;802;6.5;178.3;4;;
37.170547;-5.925965;7;0;0;9;802;6.6;178.2;;;
37.169652;-5.925851;7;0;0;9;802;6.7;178.1;;;
