latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
36.596898;-6.232852;15;0;-2;0;229;0;32.07;4;real;
36.596746;-6.232971;15;0;-2;0;229;0.02;32.05;;;
36.596593;-6.233089;14;0;-1;0;229;0.04;32.03;;;
36.596436;-6.233198;14;0;-1;0;229;0.06;32.01;;;
36.596291;-6.233326;13;0;-1;0;229;0.08;31.99;;;
36.596189;-6.233510;13;0;-1;0;229;0.1;31.97;;;
36.596057;-6.233661;13;0;-1;0;229;0.12;31.95;;;
36.595778;-6.233944;13;0;-1;0;229;0.16;31.91;;;
36.595635;-6.234080;12;0;-1;0;229;0.18;31.89;;;
36.595492;-6.234215;12;0;-1;0;229;0.2;31.87;;;
36.595348;-6.234350;12;0;-1;0;229;0.22;31.85;;;
36.595205;-6.234486;12;0;-1;0;229;0.24;31.83;;;
36.595062;-6.234622;12;0;-1;0;229;0.26;31.81;;;
36.594776;-6.234893;12;0;-1;0;229;0.3;31.77;;;
36.594632;-6.235028;12;0;-1;0;229;0.32;31.75;;;
36.594489;-6.235164;12;0;-2;0;229;0.34;31.73;;;
36.594346;-6.235299;11;0;-1;0;229;0.36;31.71;;;
36.594203;-6.235435;11;0;-2;0;229;0.38;31.69;;;
36.594059;-6.235570;10;0;-3;0;229;0.4;31.67;;;
36.593904;-6.235680;9;0;-3;0;229;0.42;31.65;;;
36.593730;-6.235684;10;0;-3;1;228;0.44;31.63;;;
36.593556;-6.235628;9;0;-3;1;228;0.46;31.61;;;
36.593424;-6.235490;7;0;-2;1;228;0.48;31.59;;;
36.593326;-6.235302;7;0;-2;1;228;0.5;31.57;;;
36.593260;-6.235095;7;0;-2;1;228;0.52;31.55;;;
36.593207;-6.234882;6;0;-2;1;228;0.54;31.53;;;
36.593230;-6.234214;6;0;-1;1;228;0.6;31.47;;;
36.593247;-6.233991;6;0;-1;1;228;0.62;31.45;;;
36.593265;-6.233768;6;0;0;1;228;0.64;31.43;;;
36.593285;-6.233545;6;0;0;1;228;0.66;31.41;;;
36.593305;-6.233323;6;0;0;1;228;0.68;31.39;;;
36.593324;-6.233100;6;0;1;1;228;0.7;31.37;;;
36.593344;-6.232877;6;0;1;1;228;0.72;31.35;;;
36.593363;-6.232654;5;0;1;1;228;0.74;31.33;;;
36.593374;-6.232431;6;0;1;2;227;0.76;31.31;;;
36.593374;-6.232208;7;0;1;2;227;0.78;31.29;;;
36.593339;-6.231988;7;0;1;2;227;0.8;31.27;;;
36.593280;-6.231777;7;0;2;2;227;0.82;31.25;;;
36.593200;-6.231577;7;0;1;2;227;0.84;31.23;;;
36.593105;-6.231387;7;0;1;3;226;0.86;31.21;;;
36.592991;-6.231214;8;0;1;3;226;0.88;31.19;;;
36.592876;-6.231043;8;0;1;4;225;0.9;31.17;;;
36.592759;-6.230872;8;0;1;4;225;0.92;31.15;;;
36.592646;-6.230698;8;0;0;4;225;0.94;31.13;;;
36.592533;-6.230523;8;0;-1;4;225;0.96;31.11;;;
36.592421;-6.230349;8;0;-1;4;225;0.98;31.09;;;
36.592308;-6.230174;8;0;-1;4;225;1;31.07;;;
36.592196;-6.229999;8;0;-1;4;225;1.02;31.05;;;
36.592088;-6.229823;5;0;-1;4;225;1.04;31.03;;;
36.592143;-6.229639;7;0;-1;5;224;1.06;31.01;;;
36.592284;-6.229501;7;0;-1;5;224;1.08;30.99;;;
36.592991;-6.228808;7;0;1;5;224;1.18;30.89;;;
36.593132;-6.228669;7;0;1;6;223;1.2;30.87;;;
