latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.178895;-3.087341;1182;0;0;0;4748;0;186.55;3;real;
37.178892;-3.087567;1182;0;0;0;4748;0.02;186.53;;;
37.178888;-3.087792;1182;0;0;0;4748;0.04;186.51;;;
37.178885;-3.088018;1182;0;0;0;4748;0.06;186.49;;;
37.178881;-3.088244;1182;0;0;0;4748;0.08;186.47;;;
37.178878;-3.088470;1182;0;0;0;4748;0.1;186.45;;;
37.178874;-3.088695;1182;0;0;0;4748;0.12;186.43;;;
37.178865;-3.089147;1182;0;0;0;4748;0.16;186.39;;;
37.178859;-3.089372;1182;0;0;0;4748;0.18;186.37;;;
37.178854;-3.089598;1182;0;0;0;4748;0.2;186.35;;;
37.178848;-3.089823;1182;0;0;0;4748;0.22;186.33;;;
37.178843;-3.090049;1182;0;0;0;4748;0.24;186.31;;;
37.178837;-3.090275;1182;0;0;0;4748;0.26;186.29;;;
37.178827;-3.090726;1182;0;0;0;4748;0.3;186.25;;;
37.178827;-3.090952;1182;0;0;0;4748;0.32;186.23;;;
37.178824;-3.091177;1182;0;0;0;4748;0.34;186.21;;;
37.178819;-3.091403;1182;0;0;0;4748;0.36;186.19;;;
37.178814;-3.091629;1182;0;0;0;4748;0.38;186.17;;;
37.178809;-3.091854;1182;0;0;0;4748;0.4;186.15;;;
37.178804;-3.092080;1182;0;0;0;4748;0.42;186.13;;;
37.178799;-3.092306;1182;0;0;0;4748;0.44;186.11;;;
37.178794;-3.092531;1182;0;0;0;4748;0.46;186.09;;;
37.178789;-3.092757;1182;0;0;0;4748;0.48;186.07;;;
37.178785;-3.092983;1182;0;0;0;4748;0.5;186.05;;;
37.178780;-3.093208;1182;0;0;0;4748;0.52;186.03;;;
37.178775;-3.093434;1182;0;0;0;4748;0.54;186.01;;;
37.178760;-3.094111;1182;0;0;1;4747;0.6;185.95;;;
37.178755;-3.094337;1182;0;0;1;4747;0.62;185.93;;;
37.178750;-3.094562;1182;0;0;1;4747;0.64;185.91;;;
37.178745;-3.094788;1182;0;0;1;4747;0.66;185.89;;;
37.178740;-3.095014;1182;0;0;1;4747;0.68;185.87;;;
37.178735;-3.095239;1182;0;0;1;4747;0.7;185.85;;;
37.178730;-3.095465;1182;0;0;1;4747;0.72;185.83;;;
37.178726;-3.095691;1182;0;0;1;4747;0.74;185.81;;;
37.178720;-3.095916;1182;0;0;1;4747;0.76;185.79;;;
37.178715;-3.096142;1182;0;0;1;4747;0.78;185.77;;;
37.178711;-3.096368;1182;0;0;1;4747;0.8;185.75;;;
37.178706;-3.096593;1183;0;0;1;4747;0.82;185.73;;;
37.178701;-3.096819;1183;0;0;1;4747;0.84;185.71;;;
37.178696;-3.097045;1183;0;0;1;4747;0.86;185.69;;;
37.178691;-3.097270;1183;0;0;1;4747;0.88;185.67;;;
37.178687;-3.097496;1183;0;0;1;4747;0.9;185.65;;;
37.178682;-3.097722;1183;0;0;1;4747;0.92;185.63;;;
37.178676;-3.097947;1183;0;0;1;4747;0.94;185.61;;;
37.178672;-3.098173;1183;0;0;1;4747;0.96;185.59;;;
37.178667;-3.098399;1183;0;0;1;4747;0.98;185.57;;;
37.178662;-3.098624;1183;0;0;1;4747;1;185.55;;;
37.178657;-3.098850;1183;0;0;1;4747;1.02;185.53;;;
37.178652;-3.099076;1183;0;0;1;4747;1.04;185.51;;;
37.178647;-3.099301;1183;0;0;1;4747;1.06;185.49;;;
37.178642;-3.099527;1183;0;0;1;4747;1.08;185.47;;;
37.178617;-3.100655;1183;0;0;1;4747;1.18;185.37;;;
37.178613;-3.100881;1183;0;0;1;4747;1.2;185.35;;;
37.178608;-3.101107;1183;0;0;1;4747;1.22;185.33;;;
37.178603;-3.101332;1183;0;0;2;4746;1.24;185.31;;;
37.178598;-3.101558;1183;0;0;2;4746;1.26;185.29;;;
37.178593;-3.101784;1183;0;0;2;4746;1.28;185.27;;;
37.178588;-3.102009;1183;0;0;2;4746;1.3;185.25;;;
37.178583;-3.102235;1183;0;0;2;4746;1.32;185.23;;;
37.178578;-3.102461;1184;0;0;2;4746;1.34;185.21;;;
37.178574;-3.102686;1184;0;0;2;4746;1.36;185.19;;;
37.178568;-3.102912;1184;0;0;2;4746;1.38;185.17;;;
37.178563;-3.103138;1184;0;1;2;4746;1.4;185.15;;;
37.178559;-3.103363;1184;0;1;2;4746;1.42;185.13;;;
37.178553;-3.103589;1184;0;1;2;4746;1.44;185.11;;;
37.178548;-3.103814;1184;0;1;3;4745;1.46;185.09;;;
37.178540;-3.104040;1184;0;1;3;4745;1.48;185.07;;;
37.178533;-3.104266;1184;0;1;3;4745;1.5;185.05;;;
37.178526;-3.104491;1184;0;0;3;4745;1.52;185.03;;;
37.178518;-3.104717;1185;0;0;3;4745;1.54;185.01;;;
37.178511;-3.104942;1185;0;0;3;4745;1.56;184.99;;;
37.178503;-3.105168;1185;0;0;3;4745;1.58;184.97;;;
37.178496;-3.105393;1185;0;0;3;4745;1.6;184.95;;;
37.178489;-3.105619;1185;0;0;3;4745;1.62;184.93;;;
37.178482;-3.105845;1185;0;0;3;4745;1.64;184.91;;;
37.178475;-3.106070;1185;0;0;3;4745;1.66;184.89;;;
37.178467;-3.106296;1185;0;1;3;4745;1.68;184.87;;;
37.178465;-3.106521;1185;0;1;3;4745;1.7;184.85;;;
37.178466;-3.106747;1185;0;1;4;4744;1.72;184.83;;;
37.178475;-3.106972;1185;0;1;4;4744;1.74;184.81;;;
37.178510;-3.107192;1186;0;1;4;4744;1.76;184.79;;;
37.178458;-3.107407;1186;0;1;5;4743;1.78;184.77;;;
37.178426;-3.107629;1186;0;1;5;4743;1.8;184.75;;;
37.178409;-3.107854;1187;0;1;5;4743;1.82;184.73;;;
37.178398;-3.108079;1187;0;1;5;4743;1.84;184.71;;;
37.178398;-3.108305;1187;0;1;5;4743;1.86;184.69;;;
37.178398;-3.108531;1187;0;1;6;4742;1.88;184.67;;;
37.178390;-3.108756;1187;0;1;6;4742;1.9;184.65;;;
37.178377;-3.108981;1188;0;1;6;4742;1.92;184.63;;;
37.178377;-3.109207;1188;0;1;6;4742;1.94;184.61;;;
37.178377;-3.109433;1188;0;1;6;4742;1.96;184.59;;;
37.178377;-3.109658;1188;0;1;6;4742;1.98;184.57;;;
37.178376;-3.109884;1188;0;1;7;4741;2;184.55;4;;
37.178370;-3.110110;1188;0;1;7;4741;2.02;184.53;;;
37.178364;-3.110335;1189;0;1;7;4741;2.04;184.51;;;
37.178358;-3.110561;1189;0;1;7;4741;2.06;184.49;;;
37.178352;-3.110787;1189;0;1;8;4740;2.08;184.47;;;
37.178346;-3.111012;1189;0;1;8;4740;2.1;184.45;;;
37.178339;-3.111238;1190;0;1;8;4740;2.12;184.43;;;
37.178333;-3.111464;1190;0;1;8;4740;2.14;184.41;;;
37.178327;-3.111689;1190;0;1;9;4739;2.16;184.39;;;
37.178272;-3.113720;1192;0;1;11;4737;2.34;184.21;;;
37.178267;-3.113945;1193;0;1;11;4737;2.36;184.19;;;
37.178261;-3.114171;1193;0;2;11;4737;2.38;184.17;;;
37.178254;-3.114397;1193;0;2;12;4736;2.4;184.15;;;
37.178248;-3.114622;1193;0;2;12;4736;2.42;184.13;;;
37.178248;-3.114848;1194;0;2;12;4736;2.44;184.11;;;
37.178243;-3.115074;1194;0;2;13;4735;2.46;184.09;;;
37.178239;-3.115299;1195;0;2;13;4735;2.48;184.07;;;
37.178234;-3.115525;1195;0;2;13;4735;2.5;184.05;;;
37.178229;-3.115751;1195;0;1;14;4734;2.52;184.03;;;
37.178224;-3.115976;1195;0;1;14;4734;2.54;184.01;;;
37.178220;-3.116202;1196;0;1;14;4734;2.56;183.99;;;
37.178215;-3.116428;1196;0;1;14;4734;2.58;183.97;;;
37.178211;-3.116653;1196;0;2;15;4733;2.6;183.95;;;
37.178206;-3.116879;1197;0;2;15;4733;2.62;183.93;;;
37.178201;-3.117105;1197;0;2;15;4733;2.64;183.91;;;
37.178195;-3.117330;1197;0;2;16;4732;2.66;183.89;;;
37.178190;-3.117556;1198;0;2;16;4732;2.68;183.87;;;
37.178183;-3.117781;1198;0;2;16;4732;2.7;183.85;;;
37.178178;-3.118007;1198;0;1;17;4731;2.72;183.83;;;
37.178173;-3.118233;1199;0;1;17;4731;2.74;183.81;;;
37.178167;-3.118458;1199;0;1;17;4731;2.76;183.79;;;
37.178161;-3.118684;1199;0;1;17;4731;2.78;183.77;;;
37.178156;-3.118910;1199;0;1;18;4730;2.8;183.75;;;
37.178150;-3.119135;1200;0;1;18;4730;2.82;183.73;;;
37.178145;-3.119361;1200;0;1;18;4730;2.84;183.71;;;
37.178141;-3.119587;1200;0;1;18;4730;2.86;183.69;;;
37.178140;-3.119812;1200;0;1;19;4729;2.88;183.67;;;
37.178132;-3.120038;1201;0;1;19;4729;2.9;183.65;;;
37.178124;-3.120263;1201;0;1;19;4729;2.92;183.63;;;
37.178116;-3.120489;1201;0;2;20;4728;2.94;183.61;;;
37.178108;-3.120714;1202;0;1;20;4728;2.96;183.59;;;
37.178100;-3.120940;1202;0;1;20;4728;2.98;183.57;;;
37.178112;-3.121164;1202;0;1;20;4728;3;183.55;;;
37.178173;-3.121375;1202;0;1;21;4727;3.02;183.53;;;
37.178266;-3.121567;1203;0;1;21;4727;3.04;183.51;;;
37.178363;-3.121758;1203;0;1;21;4727;3.06;183.49;;;
37.178459;-3.121949;1203;0;1;21;4727;3.08;183.47;;;
37.178555;-3.122139;1203;0;1;22;4726;3.1;183.45;;;
37.178652;-3.122330;1203;0;1;22;4726;3.12;183.43;;;
37.178748;-3.122521;1203;0;1;22;4726;3.14;183.41;;;
37.178844;-3.122711;1204;0;1;22;4726;3.16;183.39;;;
37.178940;-3.122902;1204;0;1;22;4726;3.18;183.37;;;
37.179037;-3.123093;1204;0;1;22;4726;3.2;183.35;;;
37.179133;-3.123283;1204;0;1;22;4726;3.22;183.33;;;
37.179229;-3.123474;1204;0;1;23;4725;3.24;183.31;;;
37.179325;-3.123665;1204;0;1;23;4725;3.26;183.29;;;
37.179421;-3.123856;1205;0;1;23;4725;3.28;183.27;;;
