latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
37.178895;-3.087341;1182;0;0;0;4748;0;186.6;3;real;
37.178878;-3.088470;1182;0;0;0;4748;0.1;186.5;;;
37.178854;-3.089598;1182;0;0;0;4748;0.2;186.4;;;
37.178827;-3.090726;1182;0;0;0;4748;0.3;186.3;;;
37.178809;-3.091854;1182;0;0;0;4748;0.4;186.2;;;
37.178785;-3.092983;1182;0;0;0;4748;0.5;186.1;;;
37.178760;-3.094111;1182;0;0;1;4747;0.6;186;;;
37.178735;-3.095239;1182;0;0;1;4747;0.7;185.9;;;
37.178711;-3.096368;1182;0;0;1;4747;0.8;185.8;;;
37.178687;-3.097496;1183;0;0;1;4747;0.9;185.7;;;
37.178662;-3.098624;1183;0;0;1;4747;1;185.6;;;
37.178637;-3.099753;1183;0;0;1;4747;1.1;185.5;;;
37.178613;-3.100881;1183;0;0;1;4747;1.2;185.4;;;
37.178588;-3.102009;1183;0;0;2;4746;1.3;185.3;;;
37.178563;-3.103138;1184;0;1;2;4746;1.4;185.2;;;
37.178533;-3.104266;1184;0;1;3;4745;1.5;185.1;;;
37.178496;-3.105393;1185;0;0;3;4745;1.6;185;;;
37.178465;-3.106521;1185;0;1;3;4745;1.7;184.9;;;
37.178426;-3.107629;1186;0;1;5;4743;1.8;184.8;;;
37.178390;-3.108756;1187;0;1;6;4742;1.9;184.7;;;
37.178376;-3.109884;1188;0;1;7;4741;2;184.6;4;;
37.178346;-3.111012;1189;0;1;8;4740;2.1;184.5;;;
37.178315;-3.112140;1191;0;1;9;4739;2.2;184.4;;;
37.178284;-3.113268;1192;0;1;10;4738;2.3;184.3;;;
37.178254;-3.114397;1193;0;2;12;4736;2.4;184.2;;;
37.178234;-3.115525;1195;0;2;13;4735;2.5;184.1;;;
37.178211;-3.116653;1196;0;2;15;4733;2.6;184;;;
37.178183;-3.117781;1198;0;2;16;4732;2.7;183.9;;;
37.178156;-3.118910;1199;0;1;18;4730;2.8;183.8;;;
37.178132;-3.120038;1201;0;1;19;4729;2.9;183.7;;;
37.178112;-3.121164;1202;0;1;20;4728;3;183.6;;;
37.178555;-3.122139;1203;0;1;22;4726;3.1;183.5;;;
37.179037;-3.123093;1204;0;1;22;4726;3.2;183.4;;;
37.179517;-3.124047;1205;0;1;23;4725;3.3;183.3;;;
37.179999;-3.125000;1206;0;1;24;4724;3.4;183.2;;;
37.180499;-3.125938;1206;0;1;25;4723;3.5;183.1;;;
37.180899;-3.126938;1207;0;1;26;4722;3.6;183;;;
37.181161;-3.128018;1209;0;1;27;4721;3.7;182.9;;;
37.181433;-3.129093;1210;0;2;29;4719;3.8;182.8;;;
37.181534;-3.130203;1212;0;2;30;4718;3.9;182.7;;;
37.181487;-3.131330;1214;0;2;32;4716;4;182.6;;;
37.181438;-3.132457;1216;0;2;35;4713;4.1;182.5;;;
37.181012;-3.133326;1219;0;3;38;4710;4.2;182.4;;;
37.180155;-3.133666;1223;0;3;41;4707;4.3;182.3;;;
37.179270;-3.133816;1226;0;4;45;4703;4.4;182.2;;;
37.178382;-3.133954;1231;0;5;49;4699;4.5;182.1;;;
