latitude;longitude;altitude;azimuth;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
43.739288;7.427747;50.8;0;5;0;137;0;9.4;4;real;
43.739919;7.426904;55.4;0;5;5;132;0.1;9.3;;;
43.740447;7.425897;60.9;0;8;10;127;0.2;9.2;5;;
43.741183;7.426236;69.3;0;3;18;119;0.3;9.1;;;
43.741819;7.427116;69.5;0;-1;19;118;0.4;9;6;;
43.742477;7.427949;67.1;0;-2;19;118;0.5;8.9;;;
43.743324;7.428366;65.6;0;-1;19;118;0.6;8.8;;;
43.744155;7.428841;64.8;0;-1;19;118;0.7;8.7;;;
43.745007;7.429238;64.1;0;-1;19;118;0.8;8.6;;;
43.745776;7.429828;63.3;0;-1;19;118;0.9;8.5;;;
43.746455;7.430612;62.5;0;-1;19;118;1;8.4;;;
43.74706;7.431531;60.8;0;0;19;118;1.1;8.3;;;
43.747834;7.432005;61.7;0;0;21;116;1.2;8.2;7;;
43.747551;7.431769;60.1;0;-1;21;116;1.3;8.1;;;
43.746801;7.431216;59.6;0;1;21;116;1.4;8;;;
43.746196;7.430301;62.4;0;2;24;113;1.5;7.9;;;
43.745506;7.429529;64.3;0;1;26;111;1.6;7.8;;;
43.744662;7.4291;65.2;0;1;27;110;1.7;7.7;;;
43.743813;7.428692;66.1;0;1;28;109;1.8;7.6;;;
43.742982;7.428218;66.7;0;0;28;109;1.9;7.5;;;
43.742185;7.427683;66.8;0;-1;28;109;2;7.4;;;
43.741514;7.427036;64.1;0;-7;28;109;2.1;7.3;8;;
43.740683;7.426989;53;0;-10;28;109;2.2;7.2;;;
43.74036;7.427968;44.1;0;-6;28;109;2.3;7.1;9;;
43.741079;7.428715;39.9;0;-5;28;109;2.4;7;;;
43.74046;7.429361;34.1;0;-4;28;109;2.5;6.9;;;
43.740639;7.42939;30.2;0;-6;28;109;2.6;6.8;10;;
43.741379;7.429737;24;0;-6;28;109;2.7;6.7;11;;
43.742031;7.430365;19.4;0;-3;28;109;2.8;6.6;;;
43.742923;7.430515;17.3;0;-2;28;109;2.9;6.5;;;
43.74377;7.430924;16.3;0;0;29;108;3;6.4;;;
43.744602;7.431395;16.1;0;0;29;108;3.1;6.3;;;
43.745427;7.431889;15.9;0;-1;29;108;3.2;6.2;;;
43.746196;7.432524;14.9;0;-1;29;108;3.3;6.1;;;
43.746876;7.433332;15.2;0;1;29;108;3.4;6;;;
43.74745;7.434287;16;0;0;30;107;3.5;5.9;12;;
43.747389;7.434565;16.2;0;0;30;107;3.6;5.8;;;
43.746834;7.433586;15.7;0;0;30;107;3.7;5.7;;;
43.746216;7.432682;15.8;0;1;31;106;3.8;5.6;;;
43.745469;7.432003;16.7;0;0;32;105;3.9;5.5;;;
43.744628;7.43157;16.1;0;-1;32;105;4;5.4;;;
43.743793;7.431107;15.1;0;-1;32;105;4.1;5.3;;;
43.742952;7.430675;13.8;0;-1;32;105;4.2;5.2;;;
43.742058;7.430542;13.5;0;-1;32;105;4.3;5.1;;;
43.741165;7.430401;12.8;0;0;32;105;4.4;5;13;;
43.740268;7.430316;13.5;0;1;32;105;4.5;4.9;14;;
43.739394;7.430045;14.7;0;1;33;104;4.6;4.8;;;
43.738617;7.429434;15.9;0;1;35;102;4.7;4.7;;;
43.738009;7.428523;16.4;0;0;35;102;4.8;4.6;;;
43.737578;7.427432;16.4;0;0;35;102;4.9;4.5;;;
43.737312;7.426247;15.3;0;-2;35;102;5;4.4;;;
43.737171;7.425018;13.8;0;-1;35;102;5.1;4.3;;;
43.737039;7.423787;12.5;0;-3;35;102;5.2;4.2;15;;
43.73683;7.422599;8.3;0;-5;35;102;5.3;4.1;;;
43.736222;7.42185;3.7;0;-5;35;102;5.4;4;;;
43.735339;7.421869;-1;0;-4;35;102;5.5;3.9;;;
43.734532;7.422338;-2.8;0;0;35;102;5.6;3.8;16;chrono;
43.733656;7.422436;-1.4;0;3;37;100;5.7;3.7;;;
43.732934;7.423127;2.6;0;8;41;96;5.8;3.6;17;;
43.732835;7.424206;13.5;0;9;52;85;5.9;3.5;;;
43.732273;7.424315;37;0;9;75;62;6;3.4;18;;
43.731928;7.423171;45;0;6;83;54;6.1;3.3;;;
43.731776;7.421946;47.8;0;1;86;51;6.2;3.2;;;
43.731659;7.420713;47.4;0;-4;86;51;6.3;3.1;;;
43.731372;7.419534;39.4;0;-10;86;51;6.4;3;;;
43.731008;7.418412;25.6;0;-10;86;51;6.5;2.9;;;
43.730389;7.417509;17.4;0;-10;86;51;6.6;2.8;;;
