latitude;longitude;altitude;slope;dvdone;dvrest;cpnumero;cptype;kmdone;kmto;sumcategory
42.513549;1.552719;1138.00;3;0;3579;2;real;0;104.5;
42.514295;1.553391;1142.00;4;3;3576;;;0.1;104.4;
42.515118;1.553881;1147.00;5;9;3570;;;0.2;104.3;
42.515986;1.554139;1153.00;6;15;3564;;;0.3;104.2;
42.516857;1.553911;1158.00;5;20;3559;;;0.4;104.1;
42.517599;1.554558;1164.00;6;26;3553;;;0.5;104;
42.517934;1.555583;1172.00;6;33;3546;;;0.6;103.9;
42.518647;1.556286;1174.00;1;36;3543;;;0.7;103.8;
42.519435;1.556863;1175.00;1;37;3542;;;0.8;103.7;
42.520189;1.557523;1176.00;0;38;3541;;;0.9;103.6;
42.520909;1.558255;1176.00;1;38;3541;;;1;103.5;
42.521586;1.559056;1177.00;0;39;3540;;;1.1;103.4;
42.522168;1.559985;1177.00;1;39;3540;;;1.2;103.3;
42.522752;1.560911;1178.00;1;40;3539;;;1.3;103.2;
42.523423;1.561719;1180.00;2;42;3537;;;1.4;103.1;
42.524183;1.562369;1182.00;3;44;3535;;;1.5;103;
42.524738;1.563295;1186.00;4;48;3531;;;1.6;102.9;
42.525034;1.564432;1192.00;8;54;3525;3;;1.7;102.8;
42.525428;1.565507;1201.00;7;63;3516;4;;1.8;102.7;
42.525964;1.566483;1207.00;6;69;3510;;;1.9;102.6;
42.526619;1.567318;1212.00;6;74;3505;;;2;102.5;
42.527189;1.568255;1220.00;7;81;3498;;;2.1;102.4;
42.52771;1.569249;1227.00;7;89;3490;;;2.2;102.3;
42.528301;1.570169;1234.00;7;96;3483;;;2.3;102.2;
42.528902;1.571077;1241.00;8;103;3476;;;2.4;102.1;
42.529312;1.572114;1250.00;8;111;3468;;;2.5;102;
42.529717;1.573152;1255.00;4;117;3462;;;2.6;101.9;
42.530527;1.573662;1259.00;4;121;3458;;;2.7;101.8;
42.531135;1.574549;1263.00;4;125;3454;;;2.8;101.7;
42.531476;1.575668;1266.00;3;128;3451;;;2.9;101.6;
42.531679;1.576855;1269.00;3;131;3448;;;3;101.5;
42.531776;1.578067;1272.00;3;134;3445;;;3.1;101.4;
42.531776;1.579286;1276.00;6;138;3441;;;3.2;101.3;
42.531741;1.580318;1284.00;7;146;3433;;;3.3;101.2;
42.531701;1.581537;1288.00;5;150;3429;;;3.4;101.1;
42.531747;1.582748;1293.00;5;155;3424;;;3.5;101;
42.53222;1.583769;1298.00;5;160;3419;;;3.6;100.9;
42.532897;1.584568;1303.00;5;165;3414;;;3.7;100.8;
42.53348;1.585481;1309.00;6;171;3408;;;3.8;100.7;
42.534156;1.586257;1316.00;6;178;3401;;;3.9;100.6;
42.534661;1.587266;1322.00;6;184;3395;;;4;100.5;
42.535194;1.588226;1331.00;9;193;3386;;;4.1;100.4;
42.536015;1.588703;1343.00;7;205;3374;;;4.2;100.3;
42.53684;1.589174;1349.00;6;211;3368;;;4.3;100.2;
42.537321;1.590193;1355.00;6;217;3362;;;4.4;100.1;
42.537818;1.59121;1362.00;7;223;3356;;;4.5;100;
42.538584;1.591782;1369.00;6;231;3348;;;4.6;99.9;
42.539482;1.591837;1374.00;5;236;3343;;;4.7;99.8;
42.540352;1.592075;1380.00;7;242;3337;;;4.8;99.7;
42.541184;1.592318;1387.00;7;249;3330;;;4.9;99.6;
42.541948;1.591694;1393.00;5;255;3324;;;5;99.5;
42.542841;1.591574;1398.00;4;259;3320;;;5.1;99.4;
42.543719;1.591797;1401.00;3;263;3316;;;5.2;99.3;
42.544602;1.59181;1403.00;2;265;3314;;;5.3;99.2;
42.545459;1.591444;1404.00;1;266;3313;;;5.4;99.1;
42.546345;1.591536;1405.00;1;267;3312;;;5.5;99;
42.547218;1.591821;1405.00;0;267;3312;;;5.6;98.9;
42.548115;1.591808;1405.00;0;267;3312;;;5.7;98.8;
42.549001;1.591604;1406.00;0;268;3311;;;5.8;98.7;
42.549881;1.591354;1406.00;0;268;3311;;;5.9;98.6;
42.550749;1.591037;1406.00;0;268;3311;;;6;98.5;
42.551489;1.590548;1406.00;1;269;3310;;;6.1;98.4;
42.552183;1.589783;1407.00;1;269;3310;;;6.2;98.3;
42.552842;1.588965;1409.00;3;271;3308;;;6.3;98.2;
42.55371;1.588715;1413.00;4;275;3304;;;6.4;98.1;
42.554602;1.588593;1417.00;5;279;3300;;;6.5;98;
42.555498;1.588529;1423.00;8;286;3293;;;6.6;97.9;
42.556374;1.588729;1432.00;9;295;3284;;;6.7;97.8;
42.557271;1.588691;1441.00;9;303;3276;;;6.8;97.7;
42.558154;1.588898;1453.00;9;315;3264;;;6.9;97.6;
42.559005;1.589267;1463.00;9;325;3254;;;7;97.5;
42.559844;1.589597;1476.00;9;338;3241;;;7.1;97.4;
